City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Abbeville,2955.0,8.0,0.0,1.0,1.0,6.0,105.0,16.0,83.0,6.0,
Adamsville,4771.0,53.0,0.0,1.0,20.0,32.0,416.0,45.0,351.0,20.0,
Addison,720.0,4.0,0.0,0.0,0.0,4.0,23.0,1.0,21.0,1.0,
Alabaster,28904.0,33.0,1.0,0.0,18.0,14.0,659.0,68.0,545.0,46.0,
Alexander City,15053.0,131.0,2.0,14.0,24.0,91.0,1016.0,182.0,784.0,50.0,
Aliceville,2457.0,3.0,0.0,1.0,1.0,1.0,43.0,11.0,25.0,7.0,
Andalusia,8727.0,40.0,0.0,3.0,7.0,30.0,381.0,63.0,300.0,18.0,
Anniston,23736.0,541.0,9.0,20.0,188.0,324.0,2912.0,942.0,1723.0,247.0,
Arab,7694.0,34.0,0.0,1.0,1.0,32.0,579.0,105.0,445.0,29.0,
Ardmore,1145.0,0.0,0.0,0.0,0.0,0.0,41.0,9.0,27.0,5.0,
Ariton,747.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
Ashford,1967.0,2.0,0.0,0.0,0.0,2.0,34.0,10.0,21.0,3.0,
Ashland,1856.0,3.0,0.0,0.0,0.0,3.0,26.0,2.0,21.0,3.0,
Ashville,2503.0,4.0,0.0,0.0,2.0,2.0,54.0,9.0,40.0,5.0,
Atmore,7452.0,83.0,0.0,5.0,19.0,59.0,568.0,131.0,420.0,17.0,
Auburn,53160.0,176.0,2.0,25.0,44.0,105.0,2559.0,630.0,1838.0,91.0,
Autaugaville,885.0,2.0,0.0,0.0,0.0,2.0,27.0,12.0,13.0,2.0,
Bay Minette,7674.0,54.0,1.0,3.0,9.0,41.0,376.0,73.0,281.0,22.0,
Bayou La Batre,2761.0,25.0,0.0,1.0,4.0,20.0,325.0,70.0,229.0,26.0,
Bear Creek,1016.0,6.0,0.0,0.0,0.0,6.0,24.0,2.0,19.0,3.0,
Berry,1212.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,
Bessemer,28217.0,502.0,10.0,34.0,195.0,263.0,3534.0,903.0,2373.0,258.0,
Birmingham,227686.0,3320.0,86.0,229.0,1609.0,1396.0,19638.0,4864.0,12528.0,2246.0,221.0
Blountsville,1969.0,3.0,0.0,1.0,0.0,2.0,49.0,18.0,29.0,2.0,
Boaz,8175.0,22.0,0.0,3.0,5.0,14.0,554.0,83.0,450.0,21.0,
Brantley,906.0,1.0,0.0,0.0,0.0,1.0,47.0,10.0,37.0,0.0,
Brent,4328.0,3.0,0.0,0.0,2.0,1.0,71.0,17.0,52.0,2.0,
Brewton,5304.0,103.0,0.0,2.0,12.0,89.0,254.0,43.0,205.0,6.0,
Bridgeport,2698.0,2.0,0.0,0.0,1.0,1.0,121.0,27.0,77.0,17.0,
Brighton,3358.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
Brilliant,732.0,3.0,0.0,0.0,0.0,3.0,40.0,14.0,25.0,1.0,
Brundidge,2305.0,21.0,0.0,1.0,4.0,16.0,97.0,13.0,80.0,4.0,
Butler,1747.0,1.0,0.0,0.0,0.0,1.0,17.0,10.0,7.0,0.0,
Carbon Hill,2048.0,7.0,0.0,1.0,1.0,5.0,153.0,28.0,107.0,18.0,
Carrollton,953.0,1.0,0.0,0.0,1.0,0.0,20.0,5.0,15.0,0.0,
Cedar Bluff,1580.0,6.0,0.0,0.0,0.0,6.0,104.0,39.0,59.0,6.0,
Centre,3411.0,3.0,0.0,1.0,1.0,1.0,166.0,19.0,139.0,8.0,
Centreville,2511.0,11.0,0.0,0.0,0.0,11.0,40.0,8.0,28.0,4.0,
Chatom,1172.0,5.0,0.0,0.0,0.0,5.0,18.0,1.0,17.0,0.0,
Cherokee,1177.0,1.0,0.0,0.0,0.0,1.0,12.0,6.0,6.0,0.0,
Chickasaw,6000.0,29.0,0.0,2.0,10.0,17.0,348.0,83.0,242.0,23.0,
Childersburg,4978.0,41.0,0.0,0.0,11.0,30.0,465.0,71.0,383.0,11.0,
Citronelle,3716.0,31.0,2.0,4.0,2.0,23.0,212.0,49.0,142.0,21.0,
Clanton,8602.0,57.0,1.0,3.0,11.0,42.0,359.0,68.0,282.0,9.0,
Clayton,1383.0,12.0,0.0,0.0,0.0,12.0,39.0,8.0,31.0,0.0,
Clio,2209.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0
Coffeeville,354.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
Collinsville,1693.0,1.0,0.0,0.0,0.0,1.0,41.0,4.0,33.0,4.0,
Columbiana,3809.0,19.0,0.0,1.0,1.0,17.0,129.0,22.0,106.0,1.0,
Coosada,1590.0,2.0,0.0,0.0,0.0,2.0,23.0,2.0,21.0,0.0,
Cottonwood,1172.0,2.0,0.0,0.0,0.0,2.0,17.0,4.0,10.0,3.0,
Courtland,760.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,3.0,4.0,0.0
Creola,2084.0,6.0,0.0,0.0,1.0,5.0,75.0,9.0,62.0,4.0,
Crossville,1463.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,
Cullman,14914.0,23.0,0.0,3.0,6.0,14.0,899.0,143.0,704.0,52.0,
Dadeville,3239.0,60.0,0.0,2.0,9.0,49.0,247.0,56.0,179.0,12.0,
Daleville,4503.0,12.0,0.0,3.0,4.0,5.0,74.0,32.0,39.0,3.0,
Daphne,19352.0,25.0,0.0,3.0,8.0,14.0,583.0,139.0,419.0,25.0,
Dauphin Island,1568.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,3.0,1.0,
Decatur,56019.0,251.0,0.0,28.0,105.0,118.0,3624.0,830.0,2584.0,210.0,
Demopolis,7523.0,93.0,0.0,11.0,17.0,65.0,492.0,84.0,395.0,13.0,
Dora,2441.0,6.0,0.0,2.0,1.0,3.0,103.0,17.0,74.0,12.0,
Dothan,64931.0,418.0,8.0,46.0,190.0,174.0,3345.0,790.0,2369.0,186.0,
Double Springs,989.0,4.0,1.0,0.0,0.0,3.0,13.0,2.0,10.0,1.0,
Douglas,581.0,9.0,0.0,0.0,1.0,8.0,88.0,34.0,44.0,10.0,
Dozier,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
East Brewton,2512.0,3.0,0.0,0.0,1.0,2.0,55.0,7.0,43.0,5.0,
Eclectic,1148.0,1.0,0.0,0.0,0.0,1.0,17.0,2.0,10.0,5.0,
Elba,4136.0,19.0,0.0,1.0,5.0,13.0,131.0,46.0,82.0,3.0,
Elberta,591.0,7.0,0.0,0.0,2.0,5.0,78.0,16.0,54.0,8.0,
Enterprise,24035.0,98.0,1.0,11.0,41.0,45.0,433.0,213.0,184.0,36.0,
Eutaw,3001.0,27.0,0.0,1.0,9.0,17.0,156.0,46.0,109.0,1.0,
Evergreen,3446.0,14.0,0.0,0.0,3.0,11.0,125.0,19.0,104.0,2.0,
Excel,605.0,1.0,0.0,0.0,0.0,1.0,17.0,2.0,14.0,1.0,
Fairfield,11443.0,209.0,4.0,12.0,84.0,109.0,1212.0,238.0,877.0,97.0,
Fairhope,16735.0,12.0,0.0,2.0,6.0,4.0,344.0,76.0,257.0,11.0,
Falkville,1185.0,2.0,0.0,1.0,0.0,1.0,15.0,5.0,9.0,1.0,
Fayette,4694.0,11.0,0.0,2.0,4.0,5.0,211.0,36.0,159.0,16.0,
Flomaton,1541.0,4.0,1.0,0.0,0.0,3.0,32.0,4.0,23.0,5.0,
Florala,1904.0,19.0,0.0,1.0,2.0,16.0,77.0,11.0,63.0,3.0,
Florence,36784.0,117.0,0.0,8.0,47.0,62.0,1775.0,403.0,1315.0,57.0,3.0
Foley,13463.0,113.0,3.0,6.0,35.0,69.0,1051.0,173.0,803.0,75.0,
Fort Payne,13889.0,44.0,1.0,3.0,3.0,37.0,691.0,96.0,557.0,38.0,
Fyffe,1045.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,
Gadsden,37066.0,174.0,2.0,15.0,102.0,55.0,2515.0,541.0,1793.0,181.0,10.0
Gardendale,13235.0,20.0,1.0,0.0,9.0,10.0,458.0,60.0,380.0,18.0,
Geneva,4415.0,17.0,0.0,1.0,4.0,12.0,134.0,31.0,93.0,10.0,
Georgiana,1593.0,13.0,0.0,1.0,2.0,10.0,59.0,13.0,43.0,3.0,
Geraldine,837.0,2.0,0.0,0.0,0.0,2.0,31.0,3.0,24.0,4.0,
Glencoe,5311.0,9.0,0.0,1.0,2.0,6.0,106.0,30.0,71.0,5.0,
Goodwater,1542.0,3.0,0.0,0.0,0.0,3.0,22.0,5.0,15.0,2.0,
Gordo,1589.0,4.0,0.0,1.0,1.0,2.0,45.0,11.0,26.0,8.0,
Grant,692.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,5.0,1.0,
Graysville,2399.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,4.0,3.0,
Greensboro,2579.0,38.0,1.0,1.0,7.0,29.0,160.0,46.0,104.0,10.0,1.0
Greenville,7067.0,41.0,1.0,1.0,7.0,32.0,491.0,94.0,380.0,17.0,0.0
Guin,2223.0,3.0,0.0,0.0,1.0,2.0,27.0,9.0,17.0,1.0,
Gulf Shores,9486.0,86.0,1.0,8.0,57.0,20.0,450.0,101.0,341.0,8.0,
Gurley,850.0,2.0,0.0,1.0,0.0,1.0,29.0,5.0,22.0,2.0,
Hackleburg,1472.0,1.0,0.0,0.0,0.0,1.0,18.0,5.0,10.0,3.0,
Haleyville,4178.0,46.0,0.0,2.0,2.0,42.0,268.0,57.0,201.0,10.0,
Hamilton,6478.0,15.0,0.0,5.0,2.0,8.0,194.0,47.0,138.0,9.0,1.0
Hammondville,545.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,
Hanceville,3261.0,10.0,0.0,1.0,0.0,9.0,165.0,41.0,114.0,10.0,
Hartford,2401.0,9.0,0.0,0.0,2.0,7.0,147.0,31.0,110.0,6.0,
Hartselle,13650.0,12.0,0.0,4.0,1.0,7.0,460.0,72.0,376.0,12.0,
Hayneville,1112.0,10.0,0.0,0.0,1.0,9.0,56.0,34.0,19.0,3.0,
Headland,3864.0,25.0,0.0,1.0,8.0,16.0,132.0,35.0,94.0,3.0,
Helena,14429.0,15.0,0.0,1.0,0.0,14.0,110.0,24.0,84.0,2.0,
Henagar,2560.0,7.0,0.0,1.0,4.0,2.0,45.0,9.0,29.0,7.0,
Hobson City,867.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,2.0,
Hokes Bluff,4363.0,11.0,0.0,0.0,2.0,9.0,72.0,19.0,51.0,2.0,
Hollywood,931.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,11.0,1.0,
Hoover,69527.0,121.0,0.0,18.0,71.0,32.0,2443.0,372.0,1910.0,161.0,1.0
Hueytown,15816.0,40.0,1.0,3.0,14.0,22.0,430.0,98.0,297.0,35.0,
Huntsville,169391.0,1379.0,21.0,96.0,586.0,676.0,10731.0,2283.0,7282.0,1166.0,49.0
Ider,715.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,
Irondale,9471.0,51.0,3.0,1.0,24.0,23.0,564.0,146.0,360.0,58.0,
Jasper,14117.0,76.0,1.0,7.0,33.0,35.0,1244.0,182.0,980.0,82.0,
Killen,1123.0,6.0,0.0,0.0,0.0,6.0,78.0,11.0,67.0,0.0,
Kimberly,2592.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,18.0,5.0,
Lafayette,3054.0,43.0,0.0,1.0,1.0,41.0,160.0,37.0,117.0,6.0,
Lake View,1982.0,2.0,0.0,1.0,1.0,0.0,80.0,25.0,50.0,5.0,
Leeds,11169.0,67.0,1.0,2.0,35.0,29.0,569.0,119.0,419.0,31.0,
Leesburg,839.0,3.0,0.0,0.0,0.0,3.0,50.0,7.0,40.0,3.0,
