State,Total law enforcement employees,"Total
officers Male",Female,"Total
civilians Male",Female,"Number 
of 
agencies","2007 
estimated 
population"
ALABAMA,16347.0,9919.0,752.0,2048.0,3628.0,363.0,4533379.0
ALASKA,1888.0,1088.0,116.0,235.0,449.0,40.0,681180.0
ARIZONA,22144.0,11041.0,1313.0,4469.0,5321.0,94.0,6054541.0
ARKANSAS,8455.0,5006.0,580.0,1107.0,1762.0,272.0,2832708.0
CALIFORNIA,120976.0,68521.0,9995.0,15269.0,27191.0,459.0,31683834.0
COLORADO,16756.0,9939.0,1448.0,1754.0,3615.0,228.0,4807287.0
CONNECTICUT,9873.0,7262.0,711.0,783.0,1117.0,101.0,3502309.0
DELAWARE,3125.0,1952.0,284.0,337.0,552.0,53.0,853364.0
DISTRICT OF COLUMBIA,5021.0,3320.0,982.0,291.0,428.0,3.0,588292.0
FLORIDA,74562.0,38409.0,6251.0,11046.0,18856.0,461.0,18251243.0
GEORGIA,28979.0,17594.0,3391.0,2508.0,5486.0,350.0,7708266.0
HAWAII,3678.0,2596.0,285.0,237.0,560.0,4.0,1283388.0
IDAHO,4068.0,2484.0,174.0,424.0,986.0,107.0,1496944.0
ILLINOIS,53537.0,31524.0,5778.0,7748.0,8487.0,757.0,12813230.0
INDIANA,16163.0,9944.0,766.0,2460.0,2993.0,242.0,5961949.0
IOWA,7812.0,4760.0,394.0,995.0,1663.0,234.0,2976754.0
KANSAS,10532.0,6567.0,654.0,1295.0,2016.0,330.0,2691761.0
KENTUCKY,10301.0,7524.0,545.0,844.0,1388.0,377.0,4210320.0
LOUISIANA,20981.0,12577.0,2556.0,2018.0,3830.0,185.0,3983159.0
MAINE,3012.0,2125.0,136.0,339.0,412.0,132.0,1294381.0
MARYLAND,20600.0,13396.0,2069.0,1957.0,3178.0,130.0,5439792.0
MASSACHUSETTS,20325.0,15479.0,1348.0,1421.0,2077.0,333.0,6366891.0
MICHIGAN,26318.0,16835.0,2645.0,2990.0,3848.0,624.0,10018999.0
MINNESOTA,13514.0,7676.0,1038.0,1999.0,2801.0,320.0,5065797.0
MISSISSIPPI,8651.0,4782.0,440.0,1303.0,2126.0,170.0,2375636.0
MISSOURI,19951.0,12740.0,1382.0,2187.0,3642.0,576.0,5835175.0
MONTANA,2741.0,1625.0,109.0,454.0,553.0,108.0,957619.0
NEBRASKA,4621.0,2988.0,361.0,343.0,929.0,158.0,1700074.0
NEVADA,9537.0,5718.0,677.0,747.0,2395.0,37.0,2565382.0
NEW HAMPSHIRE,3256.0,2287.0,179.0,248.0,542.0,148.0,1167387.0
NEW JERSEY,41672.0,29733.0,2674.0,3395.0,5870.0,529.0,8405701.0
NEW MEXICO,5644.0,3710.0,373.0,499.0,1062.0,95.0,1850280.0
NEW YORK,86952.0,53742.0,8579.0,8019.0,16612.0,427.0,18883746.0
NORTH CAROLINA,30631.0,19098.0,2405.0,3932.0,5196.0,496.0,9036361.0
NORTH DAKOTA,1664.0,1090.0,110.0,181.0,283.0,99.0,638897.0
OHIO,30950.0,19591.0,2299.0,3547.0,5513.0,625.0,10072335.0
OKLAHOMA,11266.0,6735.0,548.0,1657.0,2326.0,294.0,3617316.0
OREGON,10022.0,5349.0,623.0,1680.0,2370.0,202.0,3712636.0
PENNSYLVANIA,29582.0,22245.0,2696.0,1771.0,2870.0,997.0,9052251.0
RHODE ISLAND,3240.0,2392.0,186.0,305.0,357.0,47.0,1057832.0
SOUTH CAROLINA,14999.0,9739.0,1295.0,1384.0,2581.0,379.0,4406102.0
SOUTH DAKOTA,2220.0,1323.0,97.0,346.0,454.0,142.0,792578.0
TENNESSEE,24698.0,13898.0,1448.0,4349.0,5003.0,446.0,6150558.0
TEXAS,84403.0,45425.0,5552.0,14424.0,19002.0,995.0,23413736.0
UTAH,7827.0,4315.0,315.0,1579.0,1618.0,131.0,2644187.0
VERMONT,1481.0,1019.0,88.0,123.0,251.0,63.0,342945.0
VIRGINIA,23306.0,15987.0,2094.0,1444.0,3781.0,280.0,7710724.0
WASHINGTON,14637.0,9394.0,973.0,1423.0,2847.0,248.0,6459529.0
WEST VIRGINIA,4212.0,3189.0,110.0,351.0,562.0,345.0,1799090.0
WISCONSIN,18732.0,11175.0,1795.0,2119.0,3643.0,373.0,5598633.0
WYOMING,2092.0,1280.0,124.0,179.0,509.0,67.0,519988.0
