State,State/Tribal/Other Agencies,Unit/Office,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
ALABAMA–Tribal Agencies,Poarch Creek Tribal,,9.0,0.0,0.0,3.0,6.0,385.0,9.0,363.0,13.0,0.0
ALASKA–State Agencies,Alaska State Troopers,,1210.0,18.0,227.0,38.0,927.0,3309.0,1065.0,1763.0,481.0,49.0
ALASKA–Other Agencies,Fairbanks International Airport,,0.0,0.0,0.0,0.0,0.0,16.0,0.0,14.0,2.0,1.0
,Ted Stevens Anchorage International Airport,,5.0,0.0,0.0,1.0,4.0,232.0,5.0,124.0,103.0,0.0
ARIZONA–State Agencies,Arizona Department of Public Safety,,77.0,2.0,1.0,7.0,67.0,23.0,4.0,19.0,0.0,1.0
ARIZONA–Tribal Agencies,Ak-Chin Tribal,,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
,Cocopah Tribal,,12.0,0.0,0.0,0.0,12.0,9.0,1.0,7.0,1.0,0.0
,Colorado River Tribal,,26.0,0.0,6.0,0.0,20.0,91.0,7.0,81.0,3.0,
,Fort Apache Agency,,47.0,0.0,25.0,1.0,21.0,3.0,3.0,0.0,0.0,
,Fort McDowell Tribal,,16.0,0.0,0.0,1.0,15.0,29.0,4.0,23.0,2.0,0.0
,Fort Mojave Tribal,,16.0,0.0,0.0,0.0,16.0,24.0,4.0,18.0,2.0,
,Gila River Indian Community,,337.0,9.0,38.0,13.0,277.0,512.0,60.0,376.0,76.0,57.0
,Hopi Tribal,,31.0,0.0,2.0,1.0,28.0,155.0,62.0,87.0,6.0,0.0
,Hualapai Tribal,,26.0,1.0,2.0,0.0,23.0,115.0,39.0,70.0,6.0,0.0
,Kaibab Paiute Tribal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Navajo Nation,,2524.0,26.0,160.0,27.0,2311.0,937.0,307.0,352.0,278.0,34.0
,Pascua Yaqui Tribal,,48.0,1.0,2.0,10.0,35.0,268.0,35.0,219.0,14.0,1.0
,Salt River Tribal,,604.0,0.0,1.0,4.0,599.0,736.0,63.0,582.0,91.0,3.0
,San Carlos Agency,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
,Tohono O'odham Nation,,201.0,3.0,5.0,15.0,178.0,306.0,89.0,161.0,56.0,14.0
,Tonto Apache Tribal,,1.0,0.0,0.0,0.0,1.0,18.0,4.0,12.0,2.0,0.0
,White Mountain Apache Tribal,,275.0,0.0,28.0,2.0,245.0,285.0,80.0,200.0,5.0,
,Yavapai-Apache Nation,,5.0,0.0,0.0,0.0,5.0,7.0,0.0,4.0,3.0,0.0
,Yavapai-Prescott Tribal,,1.0,0.0,0.0,0.0,1.0,75.0,4.0,70.0,1.0,
ARIZONA–Other Agencies,Tucson Airport Authority,,2.0,0.0,0.0,0.0,2.0,50.0,3.0,25.0,22.0,0.0
ARKANSAS–State Agencies,Camp Robinson,,2.0,0.0,1.0,0.0,1.0,7.0,1.0,4.0,2.0,0.0
,State Capitol Police,,0.0,0.0,0.0,0.0,0.0,45.0,0.0,44.0,1.0,0.0
CALIFORNIA–State Agencies,Atascadero State Hospital,,217.0,0.0,0.0,0.0,217.0,1.0,0.0,1.0,0.0,0.0
,California State Fair,,7.0,0.0,0.0,2.0,5.0,61.0,10.0,49.0,2.0,3.0
,Coalinga State Hospital,,231.0,0.0,1.0,1.0,229.0,3.0,1.0,2.0,0.0,0.0
,Department of Parks and Recreation:,Angeles,2.0,0.0,0.0,0.0,2.0,33.0,2.0,31.0,0.0,0.0
,,Bay Area,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0
,,Calaveras County,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,,Capital,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0
,,Channel Coast,3.0,0.0,0.0,1.0,2.0,75.0,7.0,67.0,1.0,0.0
,,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Four Rivers District,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,,Gold Fields District,0.0,0.0,0.0,0.0,0.0,49.0,0.0,48.0,1.0,0.0
,,Hollister Hills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Hungry Valley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Inland Empire,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0
,,Marin County,2.0,0.0,0.0,0.0,2.0,11.0,7.0,4.0,0.0,0.0
,,Monterey County,0.0,0.0,0.0,0.0,0.0,56.0,11.0,45.0,0.0,0.0
,,North Coast Redwoods,2.0,0.0,1.0,0.0,1.0,26.0,2.0,21.0,3.0,0.0
,,Northern Buttes,1.0,0.0,0.0,0.0,1.0,14.0,0.0,14.0,0.0,1.0
,,Oceano Dunes,8.0,0.0,0.0,1.0,7.0,30.0,0.0,29.0,1.0,6.0
,,Ocotillo Wells,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0
,,Orange Coast,0.0,0.0,0.0,0.0,0.0,113.0,49.0,64.0,0.0,0.0
,,San Diego Coast,5.0,0.0,0.0,0.0,5.0,64.0,7.0,51.0,6.0,1.0
,,San Joaquin,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
,,San Luis Obispo Coast,0.0,0.0,0.0,0.0,0.0,23.0,1.0,22.0,0.0,0.0
,,Santa Cruz Mountains,0.0,0.0,0.0,0.0,0.0,133.0,31.0,101.0,1.0,4.0
,,Sierra,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0
,,Silverado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Sonoma-Mendocino Coast,2.0,0.0,1.0,0.0,1.0,43.0,0.0,42.0,1.0,2.0
,,Tehachapi District,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0
,,Twin Cities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Fairview Developmental Center,,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0
,Highway Patrol:,Alameda County,13.0,0.0,0.0,2.0,11.0,253.0,2.0,64.0,187.0,0.0
,,Alpine County,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0
,,Amador County,0.0,0.0,0.0,0.0,0.0,42.0,0.0,15.0,27.0,0.0
,,Butte County,0.0,0.0,0.0,0.0,0.0,290.0,1.0,88.0,201.0,0.0
,,Calaveras County,0.0,0.0,0.0,0.0,0.0,145.0,1.0,68.0,76.0,0.0
,,Colusa County,2.0,0.0,0.0,0.0,2.0,22.0,4.0,4.0,14.0,0.0
,,Contra Costa County,11.0,2.0,0.0,0.0,9.0,609.0,0.0,29.0,580.0,0.0
,,Del Norte County,0.0,0.0,0.0,0.0,0.0,116.0,2.0,35.0,79.0,0.0
,,El Dorado County,1.0,0.0,0.0,0.0,1.0,170.0,0.0,83.0,87.0,0.0
,,Fresno County,2.0,0.0,0.0,0.0,2.0,213.0,5.0,35.0,173.0,2.0
,,Glenn County,0.0,0.0,0.0,0.0,0.0,52.0,0.0,9.0,43.0,0.0
,,Humboldt County,2.0,1.0,0.0,1.0,0.0,465.0,1.0,78.0,386.0,0.0
,,Imperial County,0.0,0.0,0.0,0.0,0.0,47.0,0.0,10.0,37.0,0.0
,,Inyo County,0.0,0.0,0.0,0.0,0.0,48.0,0.0,8.0,40.0,0.0
,,Kern County,1.0,0.0,0.0,0.0,1.0,260.0,1.0,26.0,233.0,0.0
,,Kings County,0.0,0.0,0.0,0.0,0.0,131.0,1.0,28.0,102.0,0.0
,,Lake County,3.0,0.0,0.0,1.0,2.0,207.0,1.0,42.0,164.0,0.0
,,Lassen County,1.0,0.0,0.0,0.0,1.0,50.0,1.0,4.0,45.0,0.0
,,Los Angeles County,46.0,1.0,0.0,3.0,42.0,837.0,20.0,153.0,664.0,0.0
,,Madera County,0.0,0.0,0.0,0.0,0.0,227.0,3.0,49.0,175.0,0.0
,,Marin County,4.0,0.0,0.0,0.0,4.0,80.0,5.0,32.0,43.0,0.0
