State,"Total 
aggravated 
assaults1",Firearms,"Knives or 
cutting 
instruments","Other 
weapons","Personal 
weapons","Agency 
count",Population
Alabama,15072.0,2872.0,1589.0,9182.0,1429.0,242.0,4175710.0
Alaska,4236.0,1015.0,712.0,1314.0,1195.0,32.0,736205.0
Arizona,22279.0,5410.0,3214.0,5203.0,8452.0,97.0,6732019.0
Arkansas,11822.0,4311.0,1555.0,2536.0,3420.0,265.0,2774792.0
California,104181.0,19143.0,17111.0,36546.0,31381.0,729.0,39379687.0
Colorado,12237.0,3919.0,2950.0,2997.0,2371.0,202.0,5221193.0
Connecticut,4424.0,700.0,1000.0,1544.0,1180.0,106.0,3569335.0
Delaware,2891.0,953.0,569.0,1070.0,299.0,61.0,961939.0
District of Columbia,3791.0,937.0,1048.0,1327.0,479.0,3.0,693972.0
Florida,57986.0,17697.0,10415.0,20289.0,9585.0,603.0,20971216.0
Georgia,22130.0,7907.0,3132.0,5815.0,5276.0,484.0,9793925.0
Hawaii,1894.0,180.0,448.0,652.0,614.0,4.0,1427538.0
Idaho,2735.0,508.0,459.0,774.0,994.0,82.0,1533625.0
Illinois2,1773.0,1036.0,146.0,260.0,331.0,1.0,146770.0
Indiana,14364.0,3372.0,1452.0,3998.0,5542.0,206.0,4497992.0
Iowa,6160.0,921.0,946.0,1279.0,3014.0,200.0,2839614.0
Kansas,7107.0,2484.0,1315.0,1884.0,1424.0,226.0,2325762.0
Kentucky,5141.0,1861.0,730.0,1772.0,778.0,331.0,4330642.0
Louisiana,17410.0,5690.0,2546.0,4539.0,4635.0,185.0,4439478.0
Maine,872.0,79.0,143.0,257.0,393.0,135.0,1335907.0
Maryland,16528.0,2933.0,3552.0,6384.0,3659.0,146.0,5810386.0
Massachusetts,16887.0,1856.0,3643.0,7464.0,3924.0,328.0,6646961.0
Michigan,30457.0,8591.0,5314.0,10182.0,6370.0,619.0,9803009.0
Minnesota,7091.0,1640.0,1229.0,1793.0,2429.0,387.0,5539575.0
Mississippi,2650.0,996.0,327.0,620.0,707.0,69.0,1482371.0
Missouri,22213.0,8810.0,2453.0,5590.0,5360.0,560.0,5993489.0
Montana,3003.0,453.0,387.0,1065.0,1098.0,107.0,1048283.0
Nebraska,2143.0,715.0,402.0,714.0,312.0,54.0,764921.0
Nevada,9651.0,2579.0,2025.0,2954.0,2093.0,57.0,2998039.0
New Hampshire,1521.0,368.0,341.0,347.0,465.0,176.0,1292643.0
New Jersey,10880.0,2204.0,2132.0,3634.0,2910.0,576.0,9005644.0
New Mexico,10855.0,2568.0,1739.0,2816.0,3732.0,115.0,1858425.0
New York,43350.0,4608.0,10837.0,13292.0,14613.0,525.0,19173006.0
North Carolina,18990.0,8676.0,2822.0,3984.0,3508.0,277.0,7655991.0
North Dakota,1430.0,46.0,178.0,414.0,792.0,106.0,749938.0
Ohio,15191.0,5991.0,2856.0,4263.0,2081.0,458.0,9718364.0
Oklahoma,12443.0,2786.0,1991.0,4156.0,3510.0,394.0,3872459.0
Oregon,6627.0,1033.0,1184.0,2169.0,2241.0,145.0,3751984.0
Pennsylvania,23144.0,4751.0,3240.0,5119.0,10034.0,1452.0,12586674.0
Rhode Island,1521.0,298.0,417.0,490.0,316.0,49.0,1059639.0
South Carolina,15666.0,6725.0,2433.0,3741.0,2767.0,350.0,4075266.0
South Dakota,2697.0,217.0,451.0,586.0,1443.0,76.0,732566.0
Tennessee,32148.0,12019.0,5689.0,11476.0,2964.0,458.0,6609070.0
Texas,71942.0,22234.0,14195.0,22760.0,12753.0,951.0,26883394.0
Utah,3992.0,760.0,974.0,1176.0,1082.0,122.0,2956234.0
Vermont,701.0,64.0,132.0,85.0,420.0,71.0,597819.0
Virginia,9244.0,2854.0,1501.0,2453.0,2436.0,394.0,8118165.0
Washington,13254.0,2871.0,2073.0,3842.0,4468.0,237.0,7259162.0
West Virginia,4187.0,1191.0,485.0,937.0,1574.0,183.0,1321158.0
Wisconsin,11873.0,3247.0,1279.0,2530.0,4817.0,430.0,5739270.0
Wyoming,972.0,115.0,136.0,195.0,526.0,55.0,550712.0
