Offense charged,Male Total 2016.0,2017.0,"Percent
change",Under 18 2016.0,2017.0,"Percent
change",Female Total 2016.0,2017.0,"Percent
change",Under 18 2016.0,2017.0,"Percent
change"
Murder and nonnegligent manslaughter,480.0,470.0,-2.1,23.0,28.0,21.7,100.0,112.0,12.0,3.0,3.0,0.0
Rape2,1578.0,1574.0,-0.3,224.0,287.0,28.1,52.0,46.0,-11.5,9.0,11.0,22.2
Robbery,1099.0,939.0,-14.6,73.0,86.0,17.8,230.0,191.0,-17.0,16.0,6.0,-62.5
Aggravated assault,13384.0,13444.0,0.4,673.0,673.0,0.0,3390.0,3396.0,0.2,183.0,212.0,15.8
Burglary,9467.0,9127.0,-3.6,1126.0,1110.0,-1.4,2140.0,2212.0,3.4,139.0,134.0,-3.6
Larceny-theft,15628.0,14946.0,-4.4,1442.0,1241.0,-13.9,9246.0,8597.0,-7.0,550.0,509.0,-7.5
Motor vehicle theft,3030.0,3291.0,8.6,441.0,401.0,-9.1,850.0,1009.0,18.7,109.0,117.0,7.3
Arson,380.0,371.0,-2.4,87.0,50.0,-42.5,103.0,101.0,-1.9,13.0,14.0,7.7
Violent crime3,16541.0,16427.0,-0.7,993.0,1074.0,8.2,3772.0,3745.0,-0.7,211.0,232.0,10.0
Property crime3,28505.0,27735.0,-2.7,3096.0,2802.0,-9.5,12339.0,11919.0,-3.4,811.0,774.0,-4.6
Other assaults,39401.0,38787.0,-1.6,3011.0,2970.0,-1.4,14735.0,14378.0,-2.4,1461.0,1566.0,7.2
Forgery and counterfeiting,1501.0,1422.0,-5.3,16.0,25.0,56.3,933.0,935.0,0.2,9.0,6.0,-33.3
Fraud,4536.0,4394.0,-3.1,70.0,78.0,11.4,3460.0,3158.0,-8.7,36.0,37.0,2.8
Embezzlement,266.0,230.0,-13.5,5.0,5.0,0.0,280.0,253.0,-9.6,3.0,3.0,0.0
"Stolen property; buying, receiving, possessing",2800.0,3010.0,7.5,163.0,170.0,4.3,864.0,900.0,4.2,37.0,54.0,45.9
Vandalism,6637.0,6443.0,-2.9,1146.0,1153.0,0.6,1639.0,1711.0,4.4,211.0,233.0,10.4
"Weapons; carrying, possessing, etc.",5842.0,6153.0,5.3,279.0,307.0,10.0,618.0,722.0,16.8,33.0,39.0,18.2
Prostitution and commercialized vice,119.0,106.0,-10.9,6.0,1.0,-83.3,123.0,87.0,-29.3,3.0,0.0,-100.0
Sex offenses (except rape and prostitution),2832.0,2548.0,-10.0,471.0,406.0,-13.8,196.0,201.0,2.6,59.0,55.0,-6.8
Drug abuse violations,70183.0,73130.0,4.2,2649.0,2730.0,3.1,25602.0,27811.0,8.6,969.0,1024.0,5.7
Gambling,126.0,88.0,-30.2,4.0,2.0,-50.0,44.0,42.0,-4.5,3.0,1.0,-66.7
Offenses against the family and children,6177.0,6287.0,1.8,195.0,63.0,-67.7,2252.0,2226.0,-1.2,163.0,36.0,-77.9
Driving under the influence,90149.0,89768.0,-0.4,569.0,537.0,-5.6,28204.0,28649.0,1.6,184.0,161.0,-12.5
Liquor laws,9116.0,8271.0,-9.3,1589.0,1476.0,-7.1,4147.0,3938.0,-5.0,1076.0,1089.0,1.2
Drunkenness,8721.0,8015.0,-8.1,105.0,84.0,-20.0,2877.0,2865.0,-0.4,52.0,28.0,-46.2
Disorderly conduct,11067.0,10760.0,-2.8,1341.0,1359.0,1.3,4693.0,4440.0,-5.4,645.0,605.0,-6.2
Vagrancy,124.0,154.0,24.2,2.0,3.0,50.0,48.0,50.0,4.2,2.0,2.0,0.0
All other offenses (except traffic),165741.0,172773.0,4.2,4231.0,4138.0,-2.2,61425.0,64921.0,5.7,1741.0,1688.0,-3.0
Suspicion,42.0,48.0,14.3,0.0,4.0,,9.0,15.0,66.7,0.0,0.0,
Curfew and loitering law violations,136.0,151.0,11.0,136.0,151.0,11.0,117.0,102.0,-12.8,117.0,102.0,-12.8
