Offense charged,Number of persons arrested Total,Male,Female,Percent male,Percent female,Percent distribution2 Total,Male,Female,,
Murder and nonnegligent manslaughter,3028.0,2637.0,391.0,87.1,12.9,0.1,0.1,*,,
Rape3,6816.0,6637.0,179.0,97.4,2.6,0.2,0.3,*,,
Robbery,22101.0,18833.0,3268.0,85.2,14.8,0.6,0.7,0.3,,
Aggravated assault,108664.0,84003.0,24661.0,77.3,22.7,3.1,3.3,2.5,,
Burglary,60693.0,49664.0,11029.0,81.8,18.2,1.7,1.9,1.1,,
Larceny-theft,323577.0,189978.0,133599.0,58.7,41.3,9.2,7.4,13.7,,
Motor vehicle theft,25021.0,19375.0,5646.0,77.4,22.6,0.7,0.8,0.6,,
Arson,2894.0,2355.0,539.0,81.4,18.6,0.1,0.1,0.1,,
Violent crime4,140609.0,112110.0,28499.0,79.7,20.3,4.0,4.4,2.9,,
Property crime4,412185.0,261372.0,150813.0,63.4,36.6,11.7,10.2,15.5,,
Other assaults,321445.0,228719.0,92726.0,71.2,28.8,9.1,8.9,9.5,,
Forgery and counterfeiting,20114.0,13276.0,6838.0,66.0,34.0,0.6,0.5,0.7,,
Fraud,44857.0,28064.0,16793.0,62.6,37.4,1.3,1.1,1.7,,
Embezzlement,5056.0,2554.0,2502.0,50.5,49.5,0.1,0.1,0.3,,
"Stolen property; buying, receiving, possessing",32942.0,25532.0,7410.0,77.5,22.5,0.9,1.0,0.8,,
Vandalism,59610.0,46586.0,13024.0,78.2,21.8,1.7,1.8,1.3,,
"Weapons; carrying, possessing, etc.",46348.0,41366.0,4982.0,89.3,10.7,1.3,1.6,0.5,,
Prostitution and commercialized vice,5941.0,2813.0,3128.0,47.3,52.7,0.2,0.1,0.3,,
Sex offenses (except rape and prostitution),15725.0,14585.0,1140.0,92.8,7.2,0.4,0.6,0.1,,
Drug abuse violations,568349.0,423999.0,144350.0,74.6,25.4,16.1,16.6,14.8,,
Gambling,751.0,517.0,234.0,68.8,31.2,*,*,*,,
Offenses against the family and children,36905.0,27033.0,9872.0,73.3,26.7,1.0,1.1,1.0,,
Driving under the influence,366970.0,271051.0,95919.0,73.9,26.1,10.4,10.6,9.8,,
Liquor laws,73340.0,49851.0,23489.0,68.0,32.0,2.1,1.9,2.4,,
Drunkenness,97792.0,76135.0,21657.0,77.9,22.1,2.8,3.0,2.2,,
Disorderly conduct,121552.0,84973.0,36579.0,69.9,30.1,3.4,3.3,3.8,,
Vagrancy,5236.0,3989.0,1247.0,76.2,23.8,0.1,0.2,0.1,,
All other offenses (except traffic),1147843.0,837442.0,310401.0,73.0,27.0,32.5,32.8,31.9,,
Suspicion,350.0,256.0,94.0,73.1,26.9,*,*,*,,
Curfew and loitering law violations,7079.0,4677.0,2402.0,66.1,33.9,0.2,0.2,0.2,,
