Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Abilene, TX M.S.A.2, 3",,170995.0,,,,,,,,,
,"Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
,"City of Abilene2, 3",122981.0,636.0,4.0,100.0,138.0,394.0,,,2605.0,260.0
,Total area actually reporting,1.0,753.0,7.0,120.0,143.0,483.0,,,2938.0,301.0
,"Rate per 100,000 inhabitants",,440.4,4.1,70.2,83.6,282.5,,,1718.2,176.0
"Akron, OH M.S.A.4",,703907.0,,,,,,,,,
,Includes Portage4 and Summit Counties,,,,,,,,,,
,City of Akron,197412.0,1377.0,42.0,209.0,395.0,731.0,8360.0,2301.0,5304.0,755.0
,Total area actually reporting,0.963,1911.0,51.0,335.0,494.0,1031.0,17340.0,3681.0,12587.0,1072.0
,Estimated total,1.0,1952.0,52.0,344.0,506.0,1050.0,17886.0,3764.0,13024.0,1098.0
,"Rate per 100,000 inhabitants",,277.3,7.4,48.9,71.9,149.2,2541.0,534.7,1850.2,156.0
"Albany, GA M.S.A.",,151534.0,,,,,,,,,
,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties",,,,,,,,,,
,City of Albany,73209.0,827.0,22.0,27.0,152.0,626.0,4116.0,879.0,3048.0,189.0
,Total area actually reporting,0.96,1079.0,23.0,55.0,186.0,815.0,5773.0,1229.0,4289.0,255.0
,Estimated total,1.0,1101.0,23.0,57.0,192.0,829.0,5966.0,1259.0,4436.0,271.0
,"Rate per 100,000 inhabitants",,726.6,15.2,37.6,126.7,547.1,3937.1,830.8,2927.4,178.8
"Albany, OR M.S.A.2",,124014.0,,,,,,,,,
,Includes Linn County2,,,,,,,,,,
,City of Albany2,53701.0,56.0,0.0,8.0,20.0,28.0,1406.0,158.0,1137.0,111.0
,Total area actually reporting,1.0,196.0,2.0,41.0,26.0,127.0,3159.0,489.0,2368.0,302.0
,"Rate per 100,000 inhabitants",,158.0,1.6,33.1,21.0,102.4,2547.3,394.3,1909.5,243.5
"Albany-Schenectady-Troy, NY M.S.A.",,885673.0,,,,,,,,,
,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
,City of Albany,98174.0,876.0,8.0,54.0,247.0,567.0,3394.0,432.0,2853.0,109.0
,City of Schenectady,64710.0,577.0,2.0,58.0,141.0,376.0,2057.0,348.0,1534.0,175.0
,City of Troy,49644.0,351.0,6.0,31.0,114.0,200.0,1732.0,370.0,1272.0,90.0
,Total area actually reporting,1.0,2579.0,18.0,361.0,640.0,1560.0,17312.0,2279.0,14376.0,657.0
,"Rate per 100,000 inhabitants",,291.2,2.0,40.8,72.3,176.1,1954.7,257.3,1623.2,74.2
"Albuquerque, NM M.S.A.",,915069.0,,,,,,,,,
,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,
,City of Albuquerque,561375.0,7686.0,70.0,473.0,2930.0,4213.0,41350.0,6996.0,26670.0,7684.0
,Total area actually reporting,1.0,9928.0,81.0,607.0,3180.0,6060.0,50319.0,9056.0,32128.0,9135.0
,"Rate per 100,000 inhabitants",,1084.9,8.9,66.3,347.5,662.2,5498.9,989.7,3511.0,998.3
"Alexandria, LA M.S.A.",,154181.0,,,,,,,,,
,Includes Grant and Rapides Parishes,,,,,,,,,,
,City of Alexandria,47860.0,690.0,17.0,9.0,129.0,535.0,4197.0,987.0,2953.0,257.0
,Total area actually reporting,0.858,1047.0,20.0,28.0,154.0,845.0,6774.0,1652.0,4731.0,391.0
,Estimated total,1.0,1124.0,21.0,33.0,167.0,903.0,7345.0,1777.0,5142.0,426.0
,"Rate per 100,000 inhabitants",,729.0,13.6,21.4,108.3,585.7,4763.9,1152.5,3335.0,276.3
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",,838894.0,,,,,,,,,
,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",,,,,,,,,,
,"City of Allentown, PA",120823.0,557.0,16.0,70.0,269.0,202.0,3302.0,634.0,2362.0,306.0
,"City of Bethlehem, PA",75336.0,594.0,0.0,29.0,61.0,504.0,1359.0,187.0,1124.0,48.0
,Total area actually reporting,0.992,1980.0,26.0,176.0,496.0,1282.0,13889.0,1934.0,11166.0,789.0
,Estimated total,1.0,1992.0,26.0,177.0,499.0,1290.0,13984.0,1945.0,11246.0,793.0
,"Rate per 100,000 inhabitants",,237.5,3.1,21.1,59.5,153.8,1667.0,231.9,1340.6,94.5
"Altoona, PA M.S.A.",,124337.0,,,,,,,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,44366.0,120.0,0.0,33.0,31.0,56.0,918.0,167.0,708.0,43.0
,Total area actually reporting,1.0,252.0,0.0,67.0,41.0,144.0,1765.0,249.0,1447.0,69.0
,"Rate per 100,000 inhabitants",,202.7,0.0,53.9,33.0,115.8,1419.5,200.3,1163.8,55.5
"Amarillo, TX M.S.A.",,264936.0,,,,,,,,,
,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties",,,,,,,,,,
,City of Amarillo,200993.0,1518.0,16.0,183.0,237.0,1082.0,8787.0,1684.0,6113.0,990.0
,Total area actually reporting,1.0,1680.0,17.0,220.0,243.0,1200.0,9507.0,1840.0,6584.0,1083.0
,"Rate per 100,000 inhabitants",,634.1,6.4,83.0,91.7,452.9,3588.4,694.5,2485.1,408.8
"Ames, IA M.S.A.",,98260.0,,,,,,,,,
,Includes Story County,,,,,,,,,,
,City of Ames,67461.0,124.0,1.0,49.0,23.0,51.0,1392.0,248.0,1087.0,57.0
,Total area actually reporting,0.931,162.0,1.0,62.0,25.0,74.0,1777.0,322.0,1381.0,74.0
,Estimated total,1.0,178.0,1.0,65.0,26.0,86.0,1901.0,347.0,1473.0,81.0
,"Rate per 100,000 inhabitants",,181.2,1.0,66.2,26.5,87.5,1934.7,353.1,1499.1,82.4
"Anchorage, AK M.S.A.",,313465.0,,,,,,,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,296188.0,3564.0,27.0,391.0,778.0,2368.0,16041.0,2216.0,10721.0,3104.0
,Total area actually reporting,1.0,3645.0,28.0,392.0,789.0,2436.0,17057.0,2283.0,11495.0,3279.0
,"Rate per 100,000 inhabitants",,1162.8,8.9,125.1,251.7,777.1,5441.4,728.3,3667.1,1046.0
"Ann Arbor, MI M.S.A.",,368898.0,,,,,,,,,
,Includes Washtenaw County,,,,,,,,,,
,City of Ann Arbor,121930.0,259.0,0.0,57.0,53.0,149.0,2108.0,278.0,1731.0,99.0
