Domain,URL,Count
www.google.com,http://www.google.com,3527
scholar.google.com,http://scholar.google.com,1644
www.google.co.uk,http://www.google.co.uk,1127
www.google.fr,http://www.google.fr,1006
www.googlesyndicatedsearch.com,http://www.googlesyndicatedsearch.com,255
www.google.ca,http://www.google.ca,250
scholar.google.co.uk,http://scholar.google.co.uk,201
search.yahoo.com,http://search.yahoo.com,195
www.google.com.au,http://www.google.com.au,180
www.google.de,http://www.google.de,170
scholar.google.ca,http://scholar.google.ca,129
www.weblo.com,http://www.weblo.com,126
scholar.google.com.au,http://scholar.google.com.au,103
www.adiph.org,http://www.adiph.org,100
www.google.co.in,http://www.google.co.in,92
scholar.google.co.in,http://scholar.google.co.in,90
adiph.org,http://adiph.org,88
www.google.ch,http://www.google.ch,56
www.google.be,http://www.google.be,55
scholar.google.fr,http://scholar.google.fr,53
images.google.com,http://images.google.com,48
www.google.ie,http://www.google.ie,45
search.msn.com,http://search.msn.com,43
www.google.com.ph,http://www.google.com.ph,41
www.google.com.br,http://www.google.com.br,40
scholar.google.de,http://scholar.google.de,37
scholar.google.com.ph,http://scholar.google.com.ph,37
www.google.cn,http://www.google.cn,36
www.google.nl,http://www.google.nl,34
www.google.es,http://www.google.es,34
fr.answers.yahoo.com,http://fr.answers.yahoo.com,33
www.ifees.net,http://www.ifees.net,33
scholar.google.co.za,http://scholar.google.co.za,32
search.live.com,http://search.live.com,31
www.google.it,http://www.google.it,31
scholar.google.nl,http://scholar.google.nl,28
scholar.google.co.nz,http://scholar.google.co.nz,28
scholar.google.com.sg,http://scholar.google.com.sg,25
www.google.com.my,http://www.google.com.my,25
www.google.co.ma,http://www.google.co.ma,24
www.google.co.za,http://www.google.co.za,24
www.google.com.tr,http://www.google.com.tr,24
scholar.google.co.il,http://scholar.google.co.il,23
scholar.google.cn,http://scholar.google.cn,23
www.google.com.mx,http://www.google.com.mx,22
scholar.google.co.th,http://scholar.google.co.th,21
scholar.google.gr,http://scholar.google.gr,21
www.google.gr,http://www.google.gr,20
scholar.google.com.my,http://scholar.google.com.my,20
search.aol.com,http://search.aol.com,20
www.google.co.id,http://www.google.co.id,18
www.smileysupply.com,http://www.smileysupply.com,17
scholar.google.be,http://scholar.google.be,17
scholar.google.com.tr,http://scholar.google.com.tr,17
www.google.co.nz,http://www.google.co.nz,16
www.google.ro,http://www.google.ro,16
www.google.co.th,http://www.google.co.th,15
scholar.google.com.tw,http://scholar.google.com.tw,15
www.ask.com,http://www.ask.com,14
scholar.google.co.id,http://scholar.google.co.id,14
www.google.pl,http://www.google.pl,14
scholar.google.com.br,http://scholar.google.com.br,14
scholar.google.it,http://scholar.google.it,14
www.google.com.sg,http://www.google.com.sg,12
www.google.dz,http://www.google.dz,12
search.conduit.com,http://search.conduit.com,12
www.google.at,http://www.google.at,12
health.uri.edu,http://health.uri.edu,12
www.google.co.jp,http://www.google.co.jp,12
translate.google.com.br,http://translate.google.com.br,11
scholar.google.co.jp,http://scholar.google.co.jp,11
www.google.pt,http://www.google.pt,11
www.google.co.il,http://www.google.co.il,10
scholar.google.com.eg,http://scholar.google.com.eg,10
www.google.se,http://www.google.se,10
scholar.google.es,http://scholar.google.es,10
mail.google.com,http://mail.google.com,10
lo.st,http://lo.st,9
www.dogpile.com,http://www.dogpile.com,9
strayeronline.net,http://strayeronline.net,9
aolsearch.aol.com,http://aolsearch.aol.com,9
www.bing.com,http://www.bing.com,9
www.google.lt,http://www.google.lt,9
www.google.com.sa,http://www.google.com.sa,8
www.google.no,http://www.google.no,8
www.google.com.ar,http://www.google.com.ar,8
scholar.google.com.hk,http://scholar.google.com.hk,8
www.google.ru,http://www.google.ru,8
www.google.com.vn,http://www.google.com.vn,8
www.google.hu,http://www.google.hu,7
www.facebook.com,http://www.facebook.com,7
scholar.google.pl,http://scholar.google.pl,7
search.comcast.net,http://search.comcast.net,7
www.google.dk,http://www.google.dk,7
www.google.com.eg,http://www.google.com.eg,7
www.google.com.ng,http://www.google.com.ng,7
scholar.google.ro,http://scholar.google.ro,6
www.google.co.ke,http://www.google.co.ke,6
scholar.google.ae,http://scholar.google.ae,6
scholar.google.com.vn,http://scholar.google.com.vn,6
translate.google.com,http://translate.google.com,5
search.msn.fr,http://search.msn.fr,5
www.daad.org,http://www.daad.org,5
scholar.google.co.kr,http://scholar.google.co.kr,5
uk.ask.com,http://uk.ask.com,5
www.google.ae,http://www.google.ae,5
www.google.fi,http://www.google.fi,5
www.uri.edu,http://www.uri.edu,5
my.att.net,http://my.att.net,5
www.google.ba,http://www.google.ba,5
us.mc1101.mail.yahoo.com,http://us.mc1101.mail.yahoo.com,5
www.google.co.kr,http://www.google.co.kr,5
images.google.co.uk,http://images.google.co.uk,5
www.recherche.aol.fr,http://www.recherche.aol.fr,5
www.altavista.com,http://www.altavista.com,5
scholar.google.se,http://scholar.google.se,5
scholar.google.cz,http://scholar.google.cz,5
www.google.com.et,http://www.google.com.et,4
www.google.com.pk,http://www.google.com.pk,4
us.mg4.mail.yahoo.com,http://us.mg4.mail.yahoo.com,4
scholar.google.lt,http://scholar.google.lt,4
www.google.cz,http://www.google.cz,4
search.sweetim.com,http://search.sweetim.com,4
