Country Name,Country Code,Region,IncomeGroup,SpecialNotes
Aruba,ABW,Latin America & Caribbean,High income: nonOECD,SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.
Afghanistan,AFG,South Asia,Low income,Fiscal year end: March 20; reporting period for national accounts data: FY (from 2013 are CY). National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.
Angola,AGO,Sub-Saharan Africa,Upper middle income,"April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2002."
Albania,ALB,Europe & Central Asia,Upper middle income,
Andorra,AND,Europe & Central Asia,High income: nonOECD,
Arab World,ARB,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.
United Arab Emirates,ARE,Middle East & North Africa,High income: nonOECD,"April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised for 2001 onward; the base year changed to 2007."
Argentina,ARG,Latin America & Caribbean,Upper middle income,
Armenia,ARM,Europe & Central Asia,Lower middle income,
American Samoa,ASM,East Asia & Pacific,Upper middle income,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income: nonOECD,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006."
Australia,AUS,East Asia & Pacific,High income: OECD,Fiscal year end: June 30; reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics; data revised from 1990 onward; Australia reports using SNA 2008.
Austria,AUT,Europe & Central Asia,High income: OECD,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,April 2012 database update: National accounts historical expenditure series in constant prices were revised in line with State Statistical Committee data that were not previously available.
Burundi,BDI,Sub-Saharan Africa,Low income,
Belgium,BEL,Europe & Central Asia,High income: OECD,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Benin,BEN,Sub-Saharan Africa,Low income,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,
Bangladesh,BGD,South Asia,Low income,Fiscal year end: June 30; reporting period for national accounts data: FY.
Bulgaria,BGR,Europe & Central Asia,Upper middle income,April 2011 database update: The National Statistical Office revised national accounts data from 1995 onward. GDP in current prices were about 4 percent higher than previous estimates.
Bahrain,BHR,Middle East & North Africa,High income: nonOECD,
"Bahamas, The",BHS,Latin America & Caribbean,High income: nonOECD,
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,
Belarus,BLR,Europe & Central Asia,Upper middle income,
Belize,BLZ,Latin America & Caribbean,Upper middle income,
Bermuda,BMU,North America,High income: nonOECD,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,
Brazil,BRA,Latin America & Caribbean,Upper middle income,
Barbados,BRB,Latin America & Caribbean,High income: nonOECD,
Brunei Darussalam,BRN,East Asia & Pacific,High income: nonOECD,
Bhutan,BTN,South Asia,Lower middle income,April 2013 database update: Data were updated using the government of Bhutan macroeconomic framework.
Botswana,BWA,Sub-Saharan Africa,Upper middle income,"Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis."
Sub-Saharan Africa (IFC classification),CAA,,,Sub-Saharan Africa (IFC classification) aggregate.
Central African Republic,CAF,Sub-Saharan Africa,Low income,
Canada,CAN,North America,High income: OECD,Fiscal year end: March 31; reporting period for national accounts data: CY.
East Asia and the Pacific (IFC classification),CEA,,,East Asia and the Pacific (IFC classification) aggregate.
Central Europe and the Baltics,CEB,,,Central Europe and the Baltics aggregate.
Europe and Central Asia (IFC classification),CEU,,,Europe and Central Asia (IFC classification) aggregate.
Switzerland,CHE,Europe & Central Asia,High income: OECD,
