Date,Open,High,Low,Close,Volume
2014-03-07,1.53,1.54,1.44,1.45,64590.0
2014-03-06,1.52,1.55,1.51,1.51,42288.0
2014-03-05,1.52,1.53,1.5,1.51,58561.0
2014-03-04,1.47,1.62,1.47,1.52,149093.0
2014-03-03,1.45,1.5,1.44,1.45,60291.0
2014-02-26,1.46,1.481,1.45,1.46,161867.0
2014-02-25,1.48,1.49,1.44,1.46,119910.0
2014-02-24,1.46,1.49,1.42,1.48,216297.0
2014-02-21,1.59,1.59,1.45,1.48,261827.0
2014-02-20,1.52,1.64,1.52,1.58,123622.0
2014-02-19,1.6,1.6,1.52,1.54,146294.0
2014-02-18,1.64,1.65,1.56,1.59,185032.0
2014-02-14,1.64,1.65,1.6,1.64,42493.0
2014-02-13,1.61,1.64,1.61,1.63,91396.0
2014-02-12,1.62,1.66,1.619,1.62,47353.0
2014-02-11,1.62,1.64,1.6,1.63,91612.0
2014-02-10,1.59,1.63,1.58,1.61,102612.0
2014-02-07,1.6,1.63,1.58,1.6,80703.0
2014-02-06,1.59,1.62,1.57,1.6,127195.0
2014-02-05,1.58,1.61,1.57,1.58,81973.0
2014-02-04,1.57,1.63,1.56,1.6,107375.0
2014-02-03,1.58,1.61,1.55,1.55,166477.0
2014-01-31,1.58,1.61,1.57,1.59,99488.0
2014-01-30,1.62,1.64,1.57,1.59,276994.0
2014-01-29,1.62,1.64,1.6,1.61,74948.0
2014-01-28,1.67,1.67,1.63,1.63,146624.0
2014-01-27,1.7,1.7,1.635,1.66,177516.0
2014-01-24,1.7,1.71,1.65,1.7,151341.0
2014-01-23,1.68,1.74,1.68,1.72,71809.0
2014-01-22,1.69,1.71,1.66,1.7,29187.0
2014-01-21,1.74,1.76,1.64,1.7,127593.0
2014-01-17,1.8,1.8,1.69,1.72,89012.0
2014-01-16,1.74,1.75,1.72,1.73,59220.0
2014-01-15,1.7,1.75,1.7,1.74,166900.0
2014-01-14,1.73,1.76,1.719,1.74,57869.0
2014-01-13,1.77,1.77,1.72,1.77,104769.0
2014-01-10,1.74,1.76,1.7,1.76,72061.0
2014-01-09,1.73,1.8,1.713,1.75,76941.0
2014-01-08,1.84,1.84,1.7,1.72,118891.0
2014-01-07,1.82,1.88,1.82,1.84,100321.0
2014-01-06,1.96,1.96,1.8,1.82,98070.0
2014-01-03,1.9,1.96,1.9,1.94,35282.0
2014-01-02,1.95,1.95,1.89,1.91,63441.0
2013-12-31,1.95,1.98,1.93,1.95,68214.0
2013-12-30,1.88,1.95,1.85,1.95,817116.0
2013-12-27,1.79,1.88,1.77,1.87,156752.0
2013-12-26,1.77,1.79,1.741,1.78,212450.0
2013-12-24,1.81,1.81,1.73,1.75,68918.0
2013-12-23,1.7,1.79,1.69,1.77,202063.0
2013-12-20,1.69,1.7,1.67,1.7,133254.0
2013-12-19,1.65,1.69,1.63,1.68,65965.0
2013-12-18,1.57,1.66,1.57,1.65,93573.0
2013-12-17,1.6,1.61,1.57,1.57,105050.0
2013-12-16,1.61,1.66,1.59,1.59,70498.0
2013-12-13,1.6,1.64,1.59,1.6,117179.0
2013-12-12,1.62,1.62,1.6,1.6,178726.0
2013-12-11,1.61,1.64,1.6,1.63,287572.0
2013-12-10,1.6,1.62,1.6,1.62,136083.0
2013-12-09,1.65,1.69,1.6,1.6,112825.0
2013-12-06,1.69,1.7,1.63,1.65,113376.0
2013-12-05,1.69,1.73,1.64,1.66,100936.0
2013-12-04,1.68,1.72,1.65,1.68,220979.0
2013-12-03,1.76,1.76,1.67,1.69,115561.0
2013-12-02,1.77,1.8,1.73,1.77,161617.0
2013-11-29,1.75,1.78,1.7,1.78,100461.0
2013-11-27,1.74,1.74,1.69,1.73,91943.0
2013-11-26,1.73,1.765,1.72,1.73,54501.0
2013-11-25,1.73,1.746,1.7,1.73,60257.0
2013-11-22,1.75,1.75,1.69,1.74,65754.0
2013-11-21,1.71,1.75,1.65,1.75,64592.0
2013-11-20,1.73,1.77,1.69,1.7,42080.0
2013-11-19,1.76,1.77,1.7,1.73,33802.0
2013-11-18,1.73,1.77,1.7,1.74,56878.0
2013-11-15,1.73,1.75,1.7,1.73,117751.0
2013-11-14,1.76,1.79,1.69,1.75,53871.0
2013-11-13,1.68,1.76,1.66,1.76,123836.0
2013-11-12,1.7,1.73,1.65,1.69,137348.0
2013-11-11,1.69,1.7,1.64,1.69,95773.0
2013-11-08,1.69,1.72,1.69,1.69,92826.0
2013-11-07,1.8,1.8,1.68,1.69,388330.0
2013-11-06,1.85,1.85,1.75,1.78,107864.0
2013-11-05,1.88,1.88,1.77,1.83,86282.0
2013-11-04,1.82,1.9,1.743,1.89,196916.0
2013-11-01,1.85,1.87,1.77,1.79,148069.0
2013-10-31,1.74,1.89,1.74,1.86,151136.0
2013-10-30,2.0,2.06,1.73,1.77,470912.0
2013-10-29,2.05,2.14,1.99,2.01,539043.0
2013-10-28,2.02,2.1,1.95,2.02,778212.0
2013-10-25,1.87,1.99,1.85,1.96,381371.0
2013-10-24,1.85,1.87,1.8,1.85,33667.0
2013-10-23,1.85,1.89,1.84,1.84,37183.0
2013-10-22,1.86,1.9,1.82,1.86,39907.0
2013-10-21,1.91,1.92,1.84,1.85,34194.0
2013-10-18,1.9,1.91,1.81,1.9,158395.0
2013-10-17,1.87,1.929,1.85,1.9,142228.0
2013-10-16,1.87,1.919,1.86,1.88,49189.0
2013-10-15,1.92,1.92,1.8,1.87,59525.0
2013-10-14,1.88,1.93,1.88,1.92,85268.0
2013-10-11,1.85,1.94,1.85,1.92,69935.0
2013-10-10,1.84,1.89,1.791,1.84,76463.0
2013-10-09,1.85,1.88,1.8,1.81,69135.0
2013-10-08,1.91,1.93,1.86,1.87,72421.0
2013-10-07,1.9,1.94,1.87,1.91,27523.0
2013-10-04,1.89,1.92,1.88,1.91,17100.0
2013-10-03,1.92,1.92,1.89,1.9,37964.0
2013-10-02,1.93,1.94,1.9,1.92,55719.0
2013-10-01,1.94,1.96,1.91,1.95,50783.0
2013-09-30,1.86,2.0,1.85,1.95,383640.0
2013-09-27,1.87,1.9,1.85,1.87,80166.0
2013-09-26,1.91,1.91,1.86,1.88,45350.0
2013-09-25,1.9,1.91,1.86,1.9,30585.0
2013-09-24,1.9,1.91,1.86,1.9,71683.0
2013-09-23,1.92,1.92,1.86,1.9,41612.0
2013-09-20,1.92,1.92,1.78,1.87,176121.0
2013-09-19,1.9,1.94,1.89,1.9,45405.0
2013-09-18,1.89,1.9,1.83,1.89,99883.0
2013-09-17,1.91,1.95,1.87,1.88,67548.0
2013-09-16,1.92,1.94,1.88,1.9,64637.0
2013-09-13,1.94,1.94,1.9,1.9,10801.0
2013-09-12,1.96,1.981,1.93,1.93,25164.0
2013-09-11,1.99,1.99,1.96,1.96,25080.0
2013-09-10,2.02,2.06,1.98,1.99,52856.0
2013-09-09,1.94,2.04,1.94,2.0,201537.0
2013-09-06,1.91,1.95,1.76,1.93,61833.0
2013-09-05,1.89,1.9,1.845,1.88,65246.0
2013-09-04,1.73,1.9,1.72,1.89,141662.0
