People QuickFacts,Roosevelt County,New Mexico
"Population, 2012 estimate","20,419","2,085,538"
"Population, 2010 (April 1) estimates base","19,846","2,059,180"
"Population, percent change, April 1, 2010 to July 1, 2012",2.9%,1.3%
"Population, 2010","19,846","2,059,179"
"Persons under 5 years, percent, 2011",7.9%,7.0%
"Persons under 18 years, percent, 2011",26.5%,24.9%
"Persons 65 years and over, percent, 2011",11.5%,13.6%
"Female persons, percent, 2011",49.6%,50.5%
"White persons, percent, 2011 (a)",92.3%,83.4%
"Black persons, percent, 2011 (a)",2.5%,2.5%
"American Indian and Alaska Native persons, percent, 2011 (a)",2.0%,10.1%
"Asian persons, percent, 2011 (a)",1.2%,1.6%
"Native Hawaiian and Other Pacific Islander persons, percent, 2011 (a)",0.1%,0.2%
"Persons reporting two or more races, percent, 2011",1.9%,2.3%
"Persons of Hispanic or Latino Origin, percent, 2011 (b)",40.3%,46.7%
"White persons not Hispanic, percent, 2011",54.6%,40.2%
"Living in same house 1 year & over, percent, 2007-2011",77.1%,84.6%
"Foreign born persons, percent, 2007-2011",8.1%,9.8%
"Language other than English spoken at home, percent age 5+, 2007-2011",26.0%,36.2%
"High school graduate or higher, percent of persons age 25+, 2007-2011",79.1%,83.1%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011",21.4%,25.4%
"Veterans, 2007-2011","1,295","176,805"
"Mean travel time to work (minutes), workers age 16+, 2007-2011",14.8,21.8
"Housing units, 2011","8,230","908,132"
"Homeownership rate, 2007-2011",59.4%,69.6%
"Housing units in multi-unit structures, percent, 2007-2011",11.8%,15.0%
"Median value of owner-occupied housing units, 2007-2011","$104,300","$161,800"
"Households, 2007-2011","6,888","762,002"
"Persons per household, 2007-2011",2.7199999999999998,2.62
"Per capita money income in the past 12 months (2011 dollars), 2007-2011","$17,689","$23,537"
"Median household income, 2007-2011","$35,841","$44,631"
"Persons below poverty level, percent, 2007-2011",25.2%,19.0%
