,,,,CLASSROOM TEACHERS PreKindergarten Regular,Special,Kindergarten,Elementary,Secondary,Special Education,School-Based Specialists,Instructional Coordinators and Supervisors,Elementary Guidance Counselors,Secondary Guidance Counselors,Librarians and Media Specialists,LEA Administrators,School Administrators,Student Support Services,TOTAL FTEs
,1,ALPINE DISTRICT,,8,16.53,105.12,1203.71,966.72,222.86,60.52,47.82,0,66.88,18.5,22,107,75.15,2920.82
,2,BEAVER DISTRICT,,0.5,0,3,37.45,30.28,7.35,0,1.6,0,2.01,0,2.75,2.78,0.75,88.47
,3,BOX ELDER DISTRICT,,1,8,24.03,168.39,220.33,44.82,5.06,4,0.5,15,5,4.5,26.3,20.73,547.66
,4,CACHE DISTRICT,,0,5,26.5,235.68,271.31,56.85,23.87,9.82,0,18.88,20,3.33,27.27,33.92,732.43
,5,CARBON DISTRICT,,0,2,11,67.01,65.13,20.74,13.55,2.48,1,6.24,0.83,6,11,4.5,211.48
,6,DAGGETT DISTRICT,,0,0,1,4.9,6.29,0.58,2.34,0.62,0,0,0.25,0.88,0.76,0,17.62
,7,DAVIS DISTRICT,,2.67,15.83,129.09,1204.14,1143.09,286.5,99.57,59.29,37.65,87.3,17.5,26,174.52,98.69,3381.83
,8,DUCHESNE DISTRICT,,0,1,11.5,94.64,85.74,24.86,2.48,0.5,0,3.85,6,3,12.65,2,248.22
,9,EMERY DISTRICT,,0,1,6.51,49,50.55,12.02,2.17,0.5,0,0.5,1.1,4,9.49,2,138.83
,10,GARFIELD DISTRICT,,0.5,0,3.66,23.84,31.18,5.93,0.05,4.77,0.8,1.7,0,2.47,5.44,1,81.34
,11,GRAND DISTRICT,,0,1,5,30.54,39.47,8.5,1.08,1.75,0,2,2,1,6,2,100.34
,12,GRANITE DISTRICT,,11,26.25,142.92,1221.27,1142.42,310.2,217.7,60.52,1,83.18,20.58,37.71,136.23,146.08,3557.07
,13,IRON DISTRICT,,2,6.5,22,163.61,160.59,46.57,3.4,5.5,4,11.5,3,3,18,8.85,458.52
,14,JORDAN DISTRICT,,7.9,34.18,131.27,1494.6,1231.96,321.25,165.51,77.9,1.71,76.06,29.72,19.86,163.58,168.3,3923.8
,15,JUAB DISTRICT,,0,1,5,44.04,35.7,11.8,2.08,0,1,2,0,1,6,1.22,110.84
,16,KANE DISTRICT,,1.5,0,3.59,25.57,35.7,5.9,0.34,0,0,1.2,0.36,1,3.6,1,79.76
,39,LOGAN DISTRICT,,0.57,3,15.29,100.33,119.91,27.12,24.7,2.29,1,6.41,2,5,9.9,11.7,329.21
,17,MILLARD DISTRICT,,0,3.5,6.33,51.73,70.53,9.78,3.88,2.5,0.55,1.96,1,2,6.44,4,164.2
,18,MORGAN DISTRICT,,0,1,5,46.33,46.25,8.8,0.63,1.04,0,3,1.2,1,5.86,1,121.1
,40,MURRAY DISTRICT,,0,1.5,12.33,116.93,126.68,26.1,5.21,4.4,1,8.33,2,3.5,14,12.3,334.27
,19,NEBO DISTRICT,,4,14,60,510.22,408.81,115.92,54.73,38.65,10.9,28.99,8.08,13,54,61.88,1383.17
,20,NORTH SANPETE DISTRICT,,0,1,5,53,51.33,9.83,1.17,1,0,0,1,3,7,1,134.33
,21,NORTH SUMMIT DISTRICT,,0.5,0,2.06,18.84,22.84,6.34,2.01,1.5,0.25,1.75,0.83,1,3.33,0,61.25
,37,OGDEN DISTRICT,,0,4.5,37.6,225.07,177.65,58.99,48.11,15.89,11.13,14.32,17.33,8,27,15.16,660.76
,22,PARK CITY DISTRICT,,0,0,9,78.31,122.95,21.74,17.13,4.28,4.55,6.83,6.84,2,12.15,6,291.78
,23,PIUTE DISTRICT,,0,0.75,1.34,8.82,13.9,1.92,0.2,0,0.5,0.5,0,1,1.32,0,30.25
,38,PROVO DISTRICT,,1,1,23.75,228.12,216.44,75.02,41.52,4,0,13,4.33,6,26,28.9,669.07
,24,RICH DISTRICT,,0,0,2,10,17.85,2,1.43,0,0.5,0.45,0,0.8,1.97,1,38
,36,SALT LAKE DISTRICT,,0,7.56,79.29,467.88,395.42,147.8,36.1,63.81,14,21.5,38,16.66,58.5,41.5,1388.01
,25,SAN JUAN DISTRICT,,1,3.25,7.75,52.04,80.64,13.52,14,7,3,4.16,2.5,4,14.97,5,212.82
,26,SEVIER DISTRICT,,0,3.5,11,74.8,99.56,31.84,3.68,1,0,5.46,0,2,10.68,2.27,245.79
,27,SOUTH SANPETE DISTRICT,,0,1.71,7.5,63.19,75.42,13.93,3.25,1,0,6.45,0,4,11.62,2.35,190.42
,28,SOUTH SUMMIT DISTRICT,,0,0.13,2,33.84,31.41,5.87,3.81,0.5,1,1,1.5,1,4,1.6,87.66
,29,TINTIC DISTRICT,,0,0.25,0.75,8.4,10.41,1.67,0.5,0.2,0.17,0.41,0.5,1,1.31,0,25.57
,30,TOOELE DISTRICT,,1.5,7.11,27.75,256.2,242.15,70.06,16.93,15.34,4.27,16.33,2.1,4,30.17,15.33,709.23
,31,UINTAH DISTRICT,,0,3,16.54,111.85,96.86,27.41,6.9,5.5,1,6.31,0.96,3,14.86,1.81,296
,32,WASATCH DISTRICT,,0,3,8.5,85,87.47,26,19.32,4.5,3.25,6.35,6.83,2,11,6.49,269.71
,33,WASHINGTON DISTRICT,,0,8.7,61.91,452.69,504.44,105.38,53.06,31.39,12.3,32.75,15.01,12,55,20.04,1364.66
,34,WAYNE DISTRICT,,0,0.5,1.63,13.28,18.06,2.85,1.17,0.25,0,0.86,0,0.75,2.75,0,42.1
,35,WEBER DISTRICT,,0,9,58.5,545.18,502.18,154.02,22.78,21.29,16.15,38.15,12.83,21,61,45.02,1507.1
,8B,AMERICAN LEADERSHIP ACADEMY,,2,0,1,26.5,37.29,6.5,6.87,0.25,0.5,1,0,0,0.59,0,82.5
,74,AMERICAN PREPARATORY ACADEMY,,0,0,1,12.6,10.47,1,0.5,0,0.13,0.09,0,0.58,1.3,0.36,28.03
,83,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),,0,0,0,0,19.76,0.5,0.16,0,0,1.5,0,0,2,0,23.92
,3B,BEEHIVE SCIENCE & TECHNOLOGY ACADEMY (BSTA),,0,0,0,0,13.67,1.2,0,0,0,0,0,1,0,0,15.87
,9D,CANYON RIM ACADEMY,,0,0,2,18,0,1,0,0,0,0,0,0,1,0.53,22.53
,,CBA,,,,,,,,,,,,,,,,
,2D,CHANNING HALL,,0,0,2,14.7,10.04,1.1,1.11,0,0,0,0,0,1.11,0.5,30.56
,87,CITY ACADEMY,,0,0,0,0,13.71,0.11,2.08,0,0,1,0,0,0.56,0,17.46
,3E,CS LEWIS ACADEMY,,0,0,2,13.75,1,1.5,0.25,0,0,0,0,0,1,0,19.5
,A3,DAVINCI ACADEMY,,0,0,0,0,15.62,1.67,0,0,0,1,0.5,0,1.86,0,20.65
,4E,DUAL IMMERSION ACADEMY,,0,0,4,8,0,1,0,0,0,0,0,1,0,0,14
,A8,EAST HOLLYWOOD HIGH,,0,0,0,0,17.15,0,1.25,0,0,1,0.13,0,0,0,19.53
,5E,EDITH BOWEN LABORATORY SCHOOL,,0,0,0,14.5,0,1,0,0,0,0,2.6,0,1,0.54,19.63
,3C,ENTHEOS ACADEMY,,0,0,1,10.22,6,0.91,0,0,0,0,0,0,1,0,19.13
,98,FAST FORWARD HIGH,,0,0,0,0,13,0.9,0.1,0,0,1.1,0,0,0.9,0,16
,82,FREEDOM ACADEMY,,0,0,2.5,18.51,6.46,2.5,1.65,0,0,0,0,0,2,0.25,33.87
,7E,GATEWAY PREPARATORY ACADEMY,,0,0,1,19.5,4.75,1,1,0.5,0,0,0,0,1,0,28.75
,5D,GEORGE WASHINGTON ACADEMY,,0,0,2,16.45,0.55,1,0.5,0,0,0,0,0,1.3,0,21.8
,1E,GUADALUPE SCHOOL,,0,0,0,3,0,0.39,0.51,0,0,0,0,0,1,0,4.9
,2C,INTECH COLLEGIATE HIGH SCHOOL,,0,0,0,0,6,0,0.59,0,0,0.65,0,0,1,0,8.23
,A5,ITINERIS EARLY COLLEGE HIGH,,0,0,0,0,10.38,0,0,0,0,2,0,0,1,0,13.38
,93,JOHN HANCOCK CHARTER SCHOOL,,0,0,0.72,8,2.33,1,0,0,0,0,0,0,1,0.04,13.08
,2E,KARL G MAESER PREPARATORY ACADEMY,,0,0,0,0,13.25,0.66,0,0.66,0,0,0.5,0,0.9,0,15.97
,4C,LAKEVIEW ACADEMY,,0,0,1,22,8.64,3.29,1,0,0,0.3,1,0,2,0,39.22
,5C,LEGACY PREPARATORY ACADEMY,,0,0,0,11.31,8.13,1.17,0,0,1,0,0,0.14,1,0,22.75
,6C,LIBERTY ACADEMY,,0,0,2,7.56,1,0.63,0.25,0.63,0,0,0,0,0.5,0,12.56
,2B,LINCOLN ACADEMY,,0.5,0,0.5,11,6.5,2,0,0,0,0.5,0,0.5,1,0.44,22.94
,8E,MERIT COLLEGE PREPARATORY ACADEMY,,0,0,0,0,18.25,2,0,0,0,1,0,0,0,0,21.25
,A7,MOAB COMMUNITY SCHOOL,,0,0,0.31,3.05,0,1,0,0,0,0,0,0,1,0,5.36
,7C,MONTICELLO ACADEMY,,0,0,2.02,13.29,15.39,1.14,0.15,0,0,0.32,0,0,0.32,0,32.64
,8C,MOUNTAINVILLE ACADEMY,,0,0,1.5,15.63,4.04,0,1,0,0,0,1,0.36,0,0,23.53
,9B,NAVIGATOR POINTE ACADEMY,,0,0,1,11.3,11.81,3,0.21,0,0.2,0.2,0,0.94,1,0.4,30.06
,6D,NOAH WEBSTER ACADEMY,,0,0,1,15,0.75,2,1,0,0,0,0,0,1,0.31,21.06
,A6,NORTH DAVIS PREPARATORY ACADEMY,,0,0,2,16.07,9.83,2.5,1.25,0,0.25,0.75,1,0,2,0,35.65
,5B,NORTH STAR ACADEMY,,0,0,1,11.25,6.47,1,1,0,0.25,0.75,1,0,0.5,0.2,23.42
,A1,NO UT ACAD FOR MATH ENGINEERING & SCIENCE (NUAMES),,0,0,0,0,12.25,0,0,0,0,1,0,1,1,0,15.25
,1C,ODYSSEY CHARTER SCHOOL,,0,0,1.02,15.11,3.22,0.01,1,0,0,0,0,0,0,0,20.35
,68,OGDEN PREPARATORY ACADEMY,,0,0,0,11.69,11.91,2,0.41,0,0.5,0.5,1,1,1.8,0.18,31
,8D,OPEN CLASSROOM,,0,0,2,13,1,1,1,0,0.5,0,0,0,1,0,19.5
,9C,PARADIGM HIGH SCHOOL,,0,0,0,0,21.12,1,0.29,3.36,0,0,0,1.1,0.9,0,27.77
,86,PINNACLE CANYON ACADEMY,,0,0,2.11,13.26,15.04,1.17,1.26,0.05,0,0,0.89,2.1,1.16,1.92,38.94
,9E,PROVIDENCE HALL,,0,0,1,22.2,0,1.5,1,0,1,0,0,0,1,0,27.7
,1F,QUEST ACADEMY,,0,0,2,11.96,0,1,0,0,0,0,0,0,1.25,0,16.21
,A2,RANCHES ACADEMY,,0,0,1,10.5,1,0.25,0,0,0,0,0,0,0.75,0,13.5
,7B,REAGAN ACADEMY,,0,0,2,18.77,6.98,3,0.5,0,0,0,0,0.01,2,0,33.26
,1D,RENAISSANCE ACADEMY,,0,0,2,17.69,8.98,2,0.3,0,0,0,0.35,0,2,0,33.32
,2F,ROCKWELL CHARTER HIGH SCHOOL,,0,0,0,0,24.06,1.44,0,0,0,0,0,0,2,0,27.5
,97,SALT LAKE ARTS ACADEMY,,0,0,0,2,10.32,1,0,0,0,0,0,0,1,0,14.32
,4F,SALT LAKE CENTER FOR SCIENCE EDUCATION,,0,0,0,1,6.49,1.5,0.51,0,0,0,0,1,0,0,10.5
,7D,SALT LAKE SCHOOL FOR THE PERFORMING ARTS,,0,0,0,0,3.56,0,0,0,0,1,0,0,2,0,6.56
,89,SOLDIER HOLLOW CHARTER SCHOOL,,1,0,0,6.5,0.2,1,0,0,0,0,0,0,0.8,0,9.5
,3D,SPECTRUM ACADEMY,,0,0,0,0,0,11,0,0,0,0,0,0,1.11,1.5,13.61
,A9,SUCCESS ACADEMY,,0,0,0,0,4.42,0,0,0,0,1,0,0,1,0,6.42
,88,SUCCESS SCHOOL,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
,A4,SUMMIT ACADEMY,,0,0,2,27.3,11.17,2.75,0.54,0,0,0.5,0,0,2,1,47.25
,4D,SYRACUSE ARTS ACADEMY,,0,0,2,19.11,0.18,1,0,0,0,0,0,0,1,0,23.29
,94,THOMAS EDISON - NORTH,,0,0,3,19,13.55,2,0,1,0,0,1,0.5,2,0.5,42.55
,95,TIMPANOGOS ACADEMY,,0,0,1,17.39,3,1,0,0,0,0,0,0,1,0,23.39
,90,TUACAHN HIGH SCHOOL FOR THE PERFORMING ARTS,,0,0,0,0,12.84,0,0,0.34,0,1,1,0,2.46,0,17.64
,1B,UTAH COUNTY ACADEMY OF SCIENCE (UCAS),,0,0,0,0,9.96,0.2,1.44,0,0,2.59,0,0,1.29,0,15.48
,92,UINTAH RIVER HIGH,,0,0,0,0,6.17,1,0,0,0,1,0,0,1,0,9.17
,5F,UTAH VIRTUAL ACADEMY,,0,0,0.12,5.38,6,1,0,0,0,0,0,1,1,0,14.5
,3F,VENTURE ACADEMY,,0,0,0.5,11.5,7.05,1,0,0,0,0,0,0,1,0,21.05
,81,WALDEN SCHOOL OF LIBERAL ARTS,,0,0,0,5.14,14.1,0.25,0,0,0.25,0.25,0,0,0.24,0,20.22
,4B,WASATCH PEAK ACADEMY,,0,0,1,14,0,1.5,0,0,0,0,0,0,1,0,17.5
,41,UTAH SCHOOLS FOR DEAF & BLIND,,0,17.7,0,0,1,103.75,9.24,17.01,0,0,1,2,0,8.7,160.39
