DISTRICT,LEVY,TPP FIXED RATE NON-OPERATING LEVY LOSS REIMBURSEMENT FY13 (PAID IN NOVEMBER 2012),TPP FIXED RATE NON-OPERATING LEVY LOSS REIMBURSEMENT FY13 (PAID IN MAY 2013),TPP FIXED RATE NON-OPERATING LEVY LOSS ANNUAL REIMBURSEMENT FY13,
"Ada Ex Vill SD, Hardin - 045187",Permanent Improvement,3039.76,3039.75,6079.51,
"Adena Local SD, Ross - 049494",Classroom Facilities Mainten,469.7,469.7,939.4,
"Akron City SD, Summit - 043489",Permanent Improvement,250649.08,250649.08,501298.16,
"Alexander Local SD, Athens - 045906",Classroom Facilities,642.11,642.11,1284.22,
"Allen East Local SD, Allen - 045757",Classroom Facilities,791.59,791.59,1583.18,
,Permanent Improvement,4353.74,4353.74,8707.48,
---------------------------------------------------,,-----------------------,------------------,------------------,
"Alliance City SD, Stark - 043497",Classroom Facilities Mainten,3188.15,3188.14,6376.29,
,Permanent Improvement,12752.57,12752.57,25505.14,
---------------------------------------------------,,-----------------------,------------------,------------------,
"Amanda-Clearcreek Local SD, Fairfield - 046847",Classroom Facilities,689.6,689.6,1379.2,
"Amherst Ex Vill SD, Lorain - 045195",Permanent Improvement,11748.72,11748.71,23497.43,
"Anna Local SD, Shelby - 049759",Permanent Improvement,40126.48,40126.47,80252.95,
"Ansonia Local SD, Darke - 046623",Classroom Facilities,407.88,407.87,815.75,
,Permanent Improvement,815.76,815.75,1631.51,
---------------------------------------------------,,-----------------------,------------------,------------------,
"Anthony Wayne Local SD, Lucas - 048207",Permanent Improvement,11924.05,11924.04,23848.09,
,Permanent Improvement,15689.54,15689.53,31379.07,
---------------------------------------------------,,-----------------------,------------------,------------------,
"Antwerp Local SD, Paulding - 048991",Permanent Improvement,1521.86,1521.85,3043.71,
"Archbold-Area Local SD, Fulton - 047043",Permanent Improvement,31348.17,31348.16,62696.33,
"Ashland City SD, Ashland - 043505",Permanent Improvement,17597.44,17597.43,35194.87,
"Ashtabula Area City SD, Ashtabula - 043513",Permanent Improvement,42213.62,42213.61,84427.23,
"Athens City SD, Athens - 043521",Permanent Improvement,18174.17,18174.16,36348.33,
"Aurora City SD, Portage - 049171",Permanent Improvement,14068.39,14068.38,28136.77,
"Avon Lake City SD, Lorain - 048124",Permanent Improvement,25095.57,25095.56,50191.13,
"Avon Local SD, Lorain - 048116",Permanent Improvement,10068.99,10068.98,20137.97,
"Ayersville Local SD, Defiance - 046706",Permanent Improvement,14190.97,14190.97,28381.94,
"Barberton City SD, Summit - 043539",Permanent Improvement,12454.28,12454.28,24908.56,
"Barnesville Ex Vill SD, Belmont - 045203",Classroom Facilities Mainten,548.56,548.56,1097.12,
"Bath Local SD, Allen - 045765",Permanent Improvement,70488.72,70488.71,140977.43,
"Beachwood City SD, Cuyahoga - 043554",Permanent Improvement,33255.07,33255.06,66510.13,
"Beavercreek City SD, Greene - 047241",Permanent Improvement,37393.24,37393.24,74786.48,
