,Amount Awarded,Additional Funding,Total Funding,Total Project Expenditures,,,,
Davis Foundation Funding,10000,,,,,,,
Lewis and Clark Funding,,2500,,,,,,
Stipends: Staff & Presenters,,,,5400,,,,
Consultant,,,,1100,,,,
Program Materials,,,,355,,,,
Postage,,,,45,,,,
Printing & Copying,,,,95,,,,
Rent,,,,1500,,,,
Telephone & Internet,,,,160,,,,
Travel (Fuel and tolls):,,,,200,,,,
Food & beverages,,,,1500,,,,
Other: Trans & Interp,,,,400,,,,
community mtg expenses:,,,,125,,,,
Insurance:,,,,370,,,,
,,,,0,,,,
Sub-total Direct Expenses,,,,11250,,,,
Indirect (Organizational) Expenses* 10%,,,,1250,,,,
