Month,"Natural Gas in Underground Storage, End of Period, Base Gas (Billion Cubic Feet)","Natural Gas in Underground Storage, End of Period, Working Gas (Billion Cubic Feet)","Natural Gas in Underground Storage, End of Period, Total (Billion Cubic Feet)","Change in Working Gas From Same Period Previous Year, Volume (Billion Cubic Feet)","Change in Working Gas From Same Period Previous Year, Percent (Percent)","Natural Gas Storage Activity, Withdrawals (Billion Cubic Feet)","Natural Gas Storage Activity, Injections (Billion Cubic Feet)","Natural Gas Storage Activity, Net (Billion Cubic Feet)"
26665.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
26696.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
26724.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
26755.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
26785.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
26816.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
26846.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
26877.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
26908.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
26938.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
26969.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
26999.0,2864.0,2034.0,4898.0,305.0,17.6,Not Available,Not Available,Not Available
27030.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27061.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27089.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27120.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27150.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27181.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27211.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27242.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27273.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27303.0,3042.0,2403.0,5445.0,Not Available,Not Available,Not Available,Not Available,Not Available
27334.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27364.0,2912.0,2050.0,4962.0,16.0,0.8,Not Available,Not Available,Not Available
27395.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27426.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27454.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27485.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27515.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27546.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27576.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27607.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27638.0,3085.0,2468.0,5553.0,Not Available,Not Available,31.0,220.0,-189.0
27668.0,3107.0,2599.0,5706.0,196.0,8.2,51.0,190.0,-139.0
27699.0,3150.0,2541.0,5691.0,Not Available,Not Available,146.0,98.0,48.0
27729.0,3162.0,2212.0,5374.0,162.0,7.9,371.0,38.0,333.0
27760.0,3169.0,1648.0,4817.0,Not Available,Not Available,487.0,15.0,472.0
27791.0,3173.0,1444.0,4617.0,Not Available,Not Available,245.0,59.0,186.0
27820.0,3170.0,1326.0,4496.0,Not Available,Not Available,185.0,71.0,114.0
27851.0,3184.0,1423.0,4607.0,Not Available,Not Available,69.0,166.0,-97.0
27881.0,3190.0,1637.0,4827.0,Not Available,Not Available,22.0,220.0,-198.0
27912.0,3208.0,1908.0,5116.0,Not Available,Not Available,25.0,273.0,-248.0
27942.0,3220.0,2192.0,5412.0,Not Available,Not Available,6.0,271.0,-265.0
27973.0,3251.0,2447.0,5698.0,Not Available,Not Available,16.0,268.0,-252.0
28004.0,3296.0,2650.0,5946.0,182.0,7.4,20.0,233.0,-213.0
28034.0,3302.0,2664.0,5966.0,65.0,2.5,107.0,121.0,-14.0
28065.0,3305.0,2408.0,5713.0,-133.0,-5.2,270.0,36.0,234.0
28095.0,3323.0,1926.0,5250.0,-286.0,-12.9,468.0,21.0,447.0
28126.0,3293.0,1287.0,4580.0,-361.0,-21.9,664.0,17.0,647.0
28157.0,3283.0,1163.0,4446.0,-281.0,-19.5,233.0,97.0,136.0
28185.0,3286.0,1215.0,4501.0,-111.0,-8.4,131.0,181.0,-50.0
28216.0,3286.0,1427.0,4713.0,4.0,0.3,43.0,247.0,-204.0
28246.0,3293.0,1731.0,5024.0,94.0,5.7,17.0,318.0,-301.0
28277.0,3300.0,2030.0,5330.0,122.0,6.4,12.0,306.0,-294.0
28307.0,3317.0,2348.0,5665.0,156.0,7.1,15.0,336.0,-321.0
28338.0,3346.0,2599.0,5945.0,152.0,6.2,21.0,280.0,-259.0
28369.0,3364.0,2824.0,6188.0,174.0,6.6,2.0,253.0,-251.0
28399.0,3373.0,2929.0,6302.0,265.0,9.9,44.0,152.0,-108.0
28430.0,3403.0,2821.0,6224.0,413.0,17.2,158.0,81.0,77.0
28460.0,3391.0,2475.0,5866.0,549.0,28.5,412.0,40.0,372.0
28491.0,3374.0,1819.0,5193.0,532.0,41.3,662.0,21.0,641.0
28522.0,3373.0,1310.0,4683.0,147.0,12.6,526.0,21.0,505.0
28550.0,3374.0,1123.0,4497.0,-92.0,-7.6,276.0,90.0,186.0
28581.0,3377.0,1231.0,4608.0,-196.0,-13.7,67.0,175.0,-108.0
