Data Item Description,,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Retail and wholesale trade buildings ;,,,Original,A557710T,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Transport buildings ;,,,Original,A558979A,2000-08-01 00:00:00,2013-11-01 00:00:00,160,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Offices ;,,,Original,A560368F,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Commercial buildings n.e.c. ;,,,Original,A561532R,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Commercial Buildings - Total ;,,,Original,A582913K,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Factories and other secondary production buildings ;,,,Original,A563992R,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Warehouses ;,,,Original,A565294T,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Agricultural and aquacultural buildings ;,,,Original,A566356F,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Other industrial buildings n.e.c. ;,,,Original,A567334K,2000-08-01 00:00:00,2013-11-01 00:00:00,160,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Industrial Buildings - Total ;,,,Original,A584299J,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Education buildings ;,,,Original,A569986C,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Religion buildings ;,,,Original,A571027L,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Aged care facilities ;,,,Original,A572083X,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Health buildings ;,,,Original,A573394A,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Entertainment and recreation buildings ;,,,Original,A574795J,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Short term accommodation buildings ;,,,Original,A576082V,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Other non-residential n.e.c. ;,,,Original,A577372K,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Other Non-residential - Total ;,,,Original,A585742J,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Private Sector ;  Total Non-residential ;,,,Original,A420920F,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Retail and wholesale trade buildings ;,,,Original,A557842V,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Transport buildings ;,,,Original,A559108L,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Offices ;,,,Original,A560530T,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Commercial buildings n.e.c. ;,,,Original,A561649V,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Commercial Buildings - Total ;,,,Original,A583075C,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Factories and other secondary production buildings ;,,,Original,A564106C,2000-12-01 00:00:00,2013-11-01 00:00:00,156,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Warehouses ;,,,Original,A565429R,2001-02-01 00:00:00,2013-11-01 00:00:00,154,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Agricultural and aquacultural buildings ;,,,Original,A566446K,2001-03-01 00:00:00,2013-11-01 00:00:00,153,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Other industrial buildings n.e.c. ;,,,Original,A567430K,2000-08-01 00:00:00,2013-11-01 00:00:00,160,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Industrial Buildings - Total ;,,,Original,A584446W,2000-08-01 00:00:00,2013-11-01 00:00:00,160,$'000,FLOW,Month,1,,,,,,,,,,,,,,
Total value of building jobs ;  Western Australia ;  Public Sector ;  Education buildings ;,,,Original,A570148R,2000-07-01 00:00:00,2013-11-01 00:00:00,161,$'000,FLOW,Month,1,,,,,,,,,,,,,,
