Amount,Ex-date,Record Date,Pay Date,Type,Frequency
0.5,2014-03-12,2014-03-14,2014-03-31,Cash Dividend,quarterly
0.44,2013-12-11,2013-12-13,2013-12-30,Cash Dividend,quarterly
0.44,2013-09-11,2013-09-13,2013-09-30,Cash Dividend,quarterly
0.44,2013-06-10,2013-06-12,2013-06-27,Cash Dividend,quarterly
0.44,2013-03-11,2013-03-13,2013-03-28,Cash Dividend,quarterly
0.44,2012-12-10,2012-12-12,2012-12-27,Cash Dividend,quarterly
0.44,2012-09-10,2012-09-12,2012-09-27,Cash Dividend,quarterly
0.44,2012-06-11,2012-06-13,2012-06-28,Cash Dividend,quarterly
0.44,2012-03-12,2012-03-14,2012-03-29,Cash Dividend,quarterly
0.44,2011-12-12,2011-12-14,2011-12-29,Cash Dividend,quarterly
0.44,2011-09-13,2011-09-15,2011-09-30,Cash Dividend,quarterly
0.44,2011-06-13,2011-06-15,2011-06-30,Cash Dividend,quarterly
0.44,2011-03-14,2011-03-16,2011-03-31,Cash Dividend,quarterly
0.44,2010-12-14,2010-12-16,2010-12-31,Cash Dividend,quarterly
0.44,2010-09-13,2010-09-15,2010-09-30,Cash Dividend,quarterly
0.44,2010-06-11,2010-06-15,2010-06-30,Cash Dividend,quarterly
0.44,2010-03-12,2010-03-16,2010-03-31,Cash Dividend,quarterly
0.44,2009-12-14,2009-12-16,2009-12-31,Cash Dividend,quarterly
0.44,2009-09-11,2009-09-15,2009-09-30,Cash Dividend,quarterly
0.44,2009-06-11,2009-06-15,2009-06-30,Cash Dividend,quarterly
0.44,2009-03-12,2009-03-16,2009-03-31,Cash Dividend,quarterly
0.44,2008-12-11,2008-12-15,2008-12-31,Cash Dividend,quarterly
0.44,2008-09-15,2008-09-17,2008-09-30,Cash Dividend,quarterly
0.44,2008-06-12,2008-06-16,2008-06-30,Cash Dividend,quarterly
0.44,2008-03-13,2008-03-17,2008-03-31,Cash Dividend,quarterly
0.44,2007-12-13,2007-12-17,2007-12-31,Cash Dividend,quarterly
0.44,2007-09-11,2007-09-13,2007-09-28,Cash Dividend,quarterly
0.44,2007-06-12,2007-06-14,2007-06-29,Cash Dividend,quarterly
0.29,2007-03-13,2007-03-15,2007-03-30,Cash Dividend,quarterly
0.29,2006-12-12,2006-12-14,2006-12-29,Cash Dividend,quarterly
0.29,2006-09-11,2006-09-13,2006-09-28,Cash Dividend,quarterly
0.29,2006-06-13,2006-06-15,2006-06-30,Cash Dividend,quarterly
0.29,2006-03-13,2006-03-15,2006-03-31,Cash Dividend,quarterly
0.29,2005-12-13,2005-12-15,2005-12-29,Cash Dividend,quarterly
0.29,2005-09-13,2005-09-15,2005-09-30,Cash Dividend,quarterly
0.29,2005-06-13,2005-06-15,2005-06-30,Cash Dividend,quarterly
0.29,2005-03-11,2005-03-15,2005-03-31,Cash Dividend,quarterly
0.29,2004-12-13,2004-12-15,2004-12-31,Cash Dividend,quarterly
0.29,2004-09-13,2004-09-15,2004-09-30,Cash Dividend,quarterly
0.29,2004-06-14,2004-06-15,2004-06-30,Cash Dividend,0.0
0.29,2004-03-11,2004-03-15,2004-03-31,Cash Dividend,quarterly
0.29,2003-12-11,2003-12-15,2003-12-31,Cash Dividend,quarterly
0.29,2003-09-11,2003-09-15,2003-09-30,Cash Dividend,quarterly
0.29,2003-06-11,2003-06-13,2003-06-27,Cash Dividend,quarterly
0.29,2003-03-12,2003-03-14,2003-03-31,Cash Dividend,quarterly
0.29,2002-12-11,2002-12-13,2002-12-31,Cash Dividend,quarterly
0.29,2002-09-11,2002-09-13,2002-09-30,Cash Dividend,quarterly
0.29,2002-06-11,2002-06-13,2002-06-27,Cash Dividend,quarterly
0.29,2002-03-13,2002-03-15,2002-03-29,Cash Dividend,quarterly
0.29,2001-12-13,2001-12-17,2001-12-31,Cash Dividend,quarterly
0.29,2001-09-12,2001-09-14,2001-09-27,Cash Dividend,quarterly
0.29,2001-06-13,2001-06-15,2001-06-28,Cash Dividend,quarterly
0.29,2001-03-19,2001-03-21,2001-03-30,Cash Dividend,quarterly
0.25,2000-12-13,2000-12-15,2000-12-29,Cash Dividend,quarterly
0.25,2000-09-13,2000-09-15,2000-09-30,Cash Dividend,quarterly
0.25,2000-06-13,2000-06-15,2000-06-30,Cash Dividend,quarterly
0.25,2000-03-13,2000-03-15,2000-03-31,Cash Dividend,quarterly
