Date,Short Percentage of Float
2014-02-14,2.74%
2014-01-31,2.15%
2014-01-15,2.17%
2013-12-31,2.01%
2013-12-13,2.06%
2013-11-29,2.21%
2013-11-15,2.39%
2013-10-31,2.41%
2013-10-15,2.59%
2013-09-30,2.57%
2013-09-13,2.63%
2013-08-30,3.69%
2013-08-15,3.24%
2013-07-31,3.23%
2013-07-15,3.49%
2013-06-28,3.74%
2013-06-14,3.75%
2013-05-31,4.05%
2013-05-15,4.69%
2013-04-30,4.24%
2013-04-15,4.08%
2013-03-28,4.05%
2013-03-15,0.00%
2013-02-28,3.55%
2013-02-15,3.56%
2013-01-31,3.49%
2013-01-15,3.30%
2012-12-31,2.87%
2012-12-14,3.25%
2012-11-30,3.49%
2012-11-15,3.25%
2012-10-31,3.07%
2012-10-15,3.29%
2012-09-28,3.29%
2012-09-14,3.82%
2012-08-31,3.81%
2012-08-15,3.75%
2012-07-31,3.79%
2012-07-13,4.00%
2012-06-29,4.34%
2012-06-15,4.67%
2012-05-31,4.35%
2012-05-15,4.16%
2012-04-30,4.04%
2012-04-13,3.92%
2012-03-30,3.51%
2012-03-15,0.00%
2012-02-29,4.34%
2012-02-15,4.11%
2012-01-31,3.81%
2012-01-13,3.87%
2011-12-30,3.74%
2011-12-15,3.89%
2011-11-30,4.40%
2011-11-15,4.12%
2011-10-31,4.07%
2011-10-14,4.47%
2011-09-30,4.82%
2011-09-15,4.59%
2011-08-31,4.39%
2011-08-15,3.91%
2011-07-29,3.45%
2011-07-15,4.30%
2011-06-30,4.75%
2011-06-15,4.85%
2011-05-31,5.03%
2011-05-13,4.91%
2011-04-29,5.32%
2011-04-15,5.08%
2011-03-31,5.97%
2011-03-15,0.00%
2011-02-28,2.33%
2011-02-15,1.82%
2011-01-31,2.01%
2011-01-14,1.81%
2010-12-31,1.63%
2010-12-15,1.64%
2010-11-30,1.83%
2010-11-15,2.35%
2010-10-29,3.31%
2010-10-15,3.69%
2010-09-30,4.03%
2010-09-15,4.44%
2010-08-31,4.76%
2010-08-13,4.43%
2010-07-30,4.51%
2010-07-15,4.56%
2010-06-30,4.22%
2010-06-15,3.26%
2010-05-28,3.17%
2010-05-14,3.04%
2010-04-30,3.18%
2010-04-15,2.94%
2010-03-31,2.74%
2010-03-15,2.71%
2010-02-26,4.50%
2010-02-12,4.38%
2010-01-29,3.87%
2010-01-15,3.57%
2009-12-31,4.17%
2009-12-15,4.05%
2009-11-30,4.60%
2009-11-13,4.61%
2009-10-30,4.04%
2009-10-15,2.92%
2009-09-30,0.00%
2009-09-15,0.00%
2009-08-31,2.99%
2009-08-14,3.69%
2009-07-31,8.15%
2009-07-15,8.55%
2009-06-30,7.77%
2009-06-15,5.75%
2009-05-29,5.34%
2009-05-15,4.58%
2009-04-30,4.15%
2009-04-15,4.30%
2009-03-31,4.56%
2009-03-13,4.58%
2009-02-27,4.26%
2009-02-13,4.48%
2009-01-30,4.90%
2009-01-15,3.97%
2008-12-31,3.85%
2008-12-15,4.55%
2008-11-28,5.30%
