Borough,Ward,2001_code,2011_code,Households_2001,Households_2011,Share_2001,Share_2011,Households_change,Share_change
Southwark,Faraday,00BEGK,E05000541,4122,3433,78.53,68.40,-689,-10.13
Kensington and Chelsea,Golborne,00AWGF,E05000389,2566,2782,68.44,67.80,216,-0.64
Southwark,Livesey,00BEGM,E05000543,4045,3717,79.16,66.90,-328,-12.26
Southwark,Camberwell Green,00BEGD,E05000535,3986,3944,72.49,63.50,-42,-8.99
Brent,Stonebridge,00AEHA,E05000100,3711,3678,63.26,62.30,-33,-0.96
Camden,St Pancras and Somers Town,00AGGU,E05000143,3709,3422,69.81,61.20,-287,-8.61
Croydon,Fieldway,00AHGN,E05000154,2324,2416,57.17,60.60,92,3.43
Southwark,Peckham,00BEGQ,E05000546,3225,3257,76.62,59.50,32,-17.12
Lambeth,Coldharbour,00AYGD,E05000420,4012,4214,64.88,59.10,202,-5.78
Kensington and Chelsea,St Charles,00AWGQ,E05000398,2385,2470,60.97,58.70,85,-2.27
Hackney,King's Park,00AMGL,E05000241,2489,2445,57.17,57.90,-44,0.73
Tower Hamlets,East India and Lansbury,00BGGC,E05000579,2996,3022,67.95,57.40,26,-10.55
Lewisham,Evelyn,00AZGK,E05000443,4185,3943,70.23,57.30,-242,-12.93
Hammersmith and Fulham,College Park and Old Oak,00ANGD,E05000253,1729,2054,54.05,55.90,325,1.85
Kensington and Chelsea,Notting Barns,00AWGK,E05000393,2041,2315,52.44,55.80,274,3.36
Tower Hamlets,Bromley-by-Bow,00BGGB,E05000578,3017,2876,72.04,55.80,-141,-16.24
Westminster,Church Street,00BKGE,E05000634,1575,2633,57.15,55.70,1058,-1.45
Westminster,Queen's Park,00BKGN,E05000642,2253,2848,58.53,55.40,595,-3.13
Hackney,Hoxton,00AMGK,E05000240,3352,3680,64.25,54.40,328,-9.85
Southwark,Newington,00BEGN,E05000544,3862,3336,66.94,54.20,-526,-12.74
Barking and Dagenham,Gascoigne,00ABGD,E05000032,2537,2510,62.53,54.10,-27,-8.43
Tower Hamlets,St Dunstan's and Stepney Green,00BGGH,E05000584,2941,3099,63.67,54.00,158,-9.67
Southwark,East Walworth,00BEGJ,E05000540,3731,2551,69.30,53.90,-1180,-15.40
Hackney,Wick,00AMGU,E05000249,2883,2582,61.26,53.70,-301,-7.56
Lambeth,Vassall,00AYGW,E05000436,3573,3227,61.97,53.20,-346,-8.77
Tower Hamlets,Mile End East,00BGGF,E05000582,2687,2460,63.48,52.90,-227,-10.58
Hackney,Victoria,00AMGT,E05000248,2744,2948,53.99,52.30,204,-1.69
Hammersmith and Fulham,Wormholt and White City,00ANGR,E05000265,2427,2626,50.59,52.30,199,1.71
Southwark,South Bermondsey,00BEGU,E05000550,2901,2995,55.63,52.30,94,-3.33
Hackney,Chatham,00AMGC,E05000233,2709,2856,56.90,51.00,147,-5.90
Hackney,Hackney Central,00AMGG,E05000237,2567,2778,55.72,50.60,211,-5.12
Greenwich,Woolwich Riverside,00ALHG,E05000230,3892,4076,68.36,50.10,184,-18.26
Hackney,Queensbridge,00AMGQ,E05000245,2665,2960,59.42,50.10,295,-9.32
Greenwich,Woolwich Common,00ALHF,E05000229,3307,3182,55.70,50.10,-125,-5.60
Westminster,Churchill,00BKGD,E05000633,2195,2272,53.80,49.80,77,-4.00
Newham,Canning Town North,00BBGD,E05000477,3020,2717,59.26,49.30,-303,-9.96
Camden,Haverstock,00AGGM,E05000136,2608,2583,51.62,49.10,-25,-2.52
Haringey,White Hart Lane,00APGT,E05000283,2550,2347,55.03,48.70,-203,-6.33
Haringey,Northumberland Park,00APGL,E05000276,2710,2733,52.91,48.60,23,-4.31
Westminster,Westbourne,00BKGU,E05000648,2274,2600,51.19,48.50,326,-2.69
Camden,Regent's Park,00AGGT,E05000142,2794,2690,52.80,48.00,-104,-4.80
Southwark,Nunhead,00BEGP,E05000545,2409,2692,53.26,47.50,283,-5.76
Islington,Bunhill,00AUFY,E05000367,3151,3173,62.67,47.40,22,-15.27
Islington,Canonbury,00AUGA,E05000369,2560,2694,54.05,47.20,134,-6.85
Lambeth,Prince's,00AYGL,E05000427,3295,3171,58.33,47.20,-124,-11.13
Wandsworth,Latchmere,00BJGG,E05000617,3026,3177,51.82,47.10,151,-4.72
Hackney,Springfield,00AMGR,E05000246,2006,2041,50.72,47.00,35,-3.72
Islington,Mildmay,00AUGJ,E05000377,2717,2739,49.61,47.00,22,-2.61
Islington,Holloway,00AUGG,E05000375,2872,3084,55.66,46.50,212,-9.16
Southwark,Brunswick Park,00BEGC,E05000534,2545,2450,55.41,46.50,-95,-8.91
Camden,King's Cross,00AGGS,E05000141,2225,2120,50.64,46.10,-105,-4.54
Tower Hamlets,Bethnal Green North,00BGFW,E05000573,2597,2473,56.13,46.00,-124,-10.13
Tower Hamlets,Mile End and Globe Town,00BGGE,E05000581,2758,2461,59.54,46.00,-297,-13.54
Wandsworth,Roehampton,00BJGL,E05000621,2584,2733,48.63,46.00,149,-2.63
Camden,Gospel Oak,00AGGK,E05000134,2403,2253,49.91,45.80,-150,-4.11
Southwark,Rotherhithe,00BEGT,E05000549,2739,2722,53.35,45.60,-17,-7.75
Barking and Dagenham,Heath,00ABGF,E05000034,2025,1955,48.68,45.30,-70,-3.38
Islington,Hillrise,00AUGF,E05000374,2427,2294,48.49,45.30,-133,-3.19
Kensington and Chelsea,Colville,00AWGB,E05000385,1889,1973,47.14,45.20,84,-1.94
Southwark,Grange,00BEGL,E05000542,3569,3169,62.85,45.10,-400,-17.75
Brent,Kilburn,00AEGT,E05000094,3164,3445,47.98,45.00,281,-2.98
Lambeth,Stockwell,00AYGN,E05000429,3328,2889,57.59,45.00,-439,-12.59
Tower Hamlets,Bethnal Green South,00BGFX,E05000574,2881,2357,57.17,44.90,-524,-12.27
Islington,Caledonian,00AUFZ,E05000368,2797,2733,54.43,44.70,-64,-9.73
Hackney,New River,00AMGP,E05000244,2255,2022,49.99,44.50,-233,-5.49
