,,,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
Dry,,,629.0,589.0,607.0,535.0,562.0,579.0,639.0,609.0,609.0,524.0,492.0,514.0,498.0,435.0,508.0,511.0,478.0,454.0,412.0,367.0
Wet/Damp,,,357.0,413.0,353.0,459.0,372.0,423.0,356.0,327.0,365.0,406.0,361.0,378.0,348.0,309.0,224.0,281.0,258.0,254.0,208.0,198.0
Snow,,,3.0,6.0,7.0,2.0,7.0,8.0,9.0,14.0,3.0,4.0,6.0,2.0,9.0,0.0,4.0,6.0,9.0,4.0,4.0,4.0
Frost/Ice,,,12.0,14.0,33.0,32.0,15.0,20.0,24.0,19.0,9.0,13.0,20.0,9.0,19.0,4.0,10.0,12.0,6.0,5.0,2.0,8.0
Flood,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Oil or Diesel,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0
Mud,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Motorway,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,4.0,3.0,1.0
A (M),,,0.0,1.0,1.0,6.0,4.0,1.0,4.0,2.0,4.0,8.0,7.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,4.0
A,,,185.0,196.0,181.0,210.0,189.0,224.0,187.0,166.0,168.0,209.0,181.0,189.0,184.0,161.0,109.0,151.0,139.0,131.0,116.0,98.0
B,,,60.0,64.0,56.0,69.0,53.0,53.0,46.0,51.0,52.0,48.0,43.0,58.0,48.0,35.0,19.0,31.0,25.0,30.0,22.0,24.0
C,,,32.0,46.0,34.0,43.0,36.0,48.0,39.0,33.0,32.0,51.0,31.0,52.0,59.0,65.0,48.0,49.0,45.0,48.0,43.0,39.0
U,,,80.0,106.0,81.0,131.0,90.0,97.0,80.0,75.0,109.0,89.0,99.0,78.0,55.0,47.0,45.0,46.0,46.0,40.0,23.0,32.0
Motorway - Dark,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0
A (M) - Dark,,,1.0,0.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,6.0,5.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,3.0,3.0
A - Dark,,,131.0,140.0,146.0,162.0,109.0,145.0,152.0,117.0,130.0,137.0,127.0,143.0,120.0,91.0,106.0,97.0,118.0,109.0,78.0,75.0
B - Dark,,,46.0,49.0,48.0,35.0,28.0,36.0,43.0,42.0,39.0,24.0,35.0,37.0,37.0,29.0,9.0,24.0,21.0,31.0,14.0,24.0
C - Dark,,,21.0,32.0,24.0,24.0,20.0,38.0,34.0,28.0,24.0,19.0,22.0,41.0,40.0,44.0,36.0,46.0,34.0,34.0,31.0,28.0
U - Dark,,,74.0,91.0,66.0,82.0,57.0,68.0,58.0,69.0,61.0,66.0,74.0,53.0,39.0,37.0,43.0,42.0,49.0,31.0,23.0,19.0
Motorway - Light,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,6.0,5.0,7.0,6.0,10.0
A (M) - Light,,,2.0,4.0,7.0,10.0,6.0,3.0,7.0,5.0,4.0,8.0,5.0,3.0,3.0,2.0,4.0,0.0,1.0,3.0,4.0,3.0
A - Light,,,336.0,334.0,333.0,276.0,338.0,351.0,335.0,311.0,326.0,324.0,285.0,300.0,296.0,266.0,254.0,294.0,258.0,240.0,248.0,200.0
B - Light,,,96.0,89.0,75.0,110.0,92.0,88.0,87.0,89.0,76.0,84.0,73.0,83.0,80.0,56.0,58.0,63.0,52.0,49.0,48.0,42.0
C - Light,,,76.0,63.0,71.0,66.0,64.0,72.0,81.0,75.0,73.0,75.0,67.0,71.0,116.0,94.0,81.0,76.0,92.0,80.0,81.0,88.0
U - Light,,,219.0,222.0,229.0,261.0,240.0,228.0,227.0,229.0,249.0,205.0,192.0,178.0,141.0,125.0,153.0,159.0,119.0,132.0,89.0,82.0
1,,,450.0,470.0,412.0,411.0,349.0,346.0,330.0,319.0,328.0,299.0,269.0,311.0,276.0,247.0,266.0,251.0,244.0,237.0,205.0,179.0
2,,,478.0,491.0,506.0,533.0,527.0,598.0,615.0,582.0,574.0,578.0,545.0,517.0,531.0,434.0,428.0,496.0,445.0,410.0,368.0,339.0
3 or more,,,74.0,63.0,82.0,84.0,80.0,86.0,83.0,68.0,84.0,71.0,71.0,83.0,71.0,69.0,56.0,67.0,63.0,70.0,53.0,59.0
1,,,833.0,817.0,815.0,830.0,768.0,779.0,810.0,733.0,739.0,691.0,655.0,677.0,645.0,567.0,575.0,605.0,568.0,505.0,464.0,397.0
2,,,118.0,152.0,113.0,144.0,130.0,162.0,146.0,169.0,151.0,171.0,147.0,168.0,162.0,128.0,113.0,133.0,114.0,143.0,102.0,116.0
3 or more,,,51.0,55.0,72.0,54.0,58.0,89.0,72.0,67.0,96.0,86.0,83.0,66.0,71.0,55.0,62.0,76.0,70.0,69.0,60.0,64.0
