Quarter,Geographical region,Country of nationality,Total applications,Applications received from ports,Applications received in-country,Total initial decisions,Total grants,Grants of asylum,Grants of HP,Grants of DL,Grants of ELR,Total refusals,Certified refusals,Other refusals,3rd country refusals,Non-comp refusals,Total withdrawals,Non-substantiated withdrawals,Fresh claims,Total pending,Total pending initial decision,Pending initial decision for less than or equal to 6 months,Pending initial decision for more than 6 months,Pending further review
2001 Q1,Total,*Total,"19,007","6,761","12,246","47,228","10,747","4,039",:,:,"6,708","36,481","8,202","18,209",174,"9,896",756,:,..,..,..,..,..,..
2001 Q1,Africa,*Total Africa,"4,934","1,384","3,550","11,638","3,725","1,749",:,:,"1,976","7,913","2,082","3,704",25,"2,102",185,:,..,..,..,..,..,..
2001 Q1,Americas,*Total Americas,306,87,219,863,77,27,:,:,50,786,261,352,5,168,32,:,..,..,..,..,..,..
2001 Q1,Asia,*Total Asia,"5,468","2,638","2,830","15,422","4,498","1,533",:,:,"2,965","10,924","2,014","5,627",72,"3,211",145,:,..,..,..,..,..,..
2001 Q1,Europe,*Total Europe,"4,633","1,402","3,231","12,376","1,368",220,:,:,"1,148","11,008","2,768","5,337",51,"2,852",326,:,..,..,..,..,..,..
2001 Q1,Middle East,*Total Middle East,"3,608","1,213","2,395","6,643","1,016",478,:,:,538,"5,627","1,030","3,061",21,"1,515",68,:,..,..,..,..,..,..
2001 Q1,Oceania,*Total Oceania,1,0,1,6,1,1,:,:,0,5,2,2,0,1,0,:,..,..,..,..,..,..
2001 Q1,Other,*Total Other,57,37,20,280,62,31,:,:,31,218,45,126,0,47,0,:,..,..,..,..,..,..
2001 Q1,Asia,Afghanistan,"1,917","1,021",896,"4,474","3,461",809,:,:,"2,652","1,013",88,301,15,609,28,:,..,..,..,..,..,..
2001 Q1,Europe,Albania,363,75,288,640,45,3,:,:,42,595,195,242,7,151,17,:,..,..,..,..,..,..
