Number  Area and quarter,,Self-defined ethnicity White,Mixed,Black or Black British,Asian or Asian British,Chinese or other,Not stated,Great Britain  Total
Jul - Sep 2009,,"14,611",524,"2,688","3,621","1,165","1,137","23,746"
Oct - Dec 2009,,"11,228",381,"1,968","3,763",821,922,"19,083"
Jan - Mar 2010,,"7,951",341,"1,436","2,728",552,744,"13,752"
Apr - Jun 2010,,"4,808",200,883,"1,552",374,441,"8,258"
Jul - Sep 2010,,367,11,56,120,29,47,630
Oct - Dec 2010,,20,3,4,2,1,-,30
Jan - Mar 2011,,3,-,-,2,1,5,11
Apr - Jun 2011,,-,-,-,-,-,-,-
Jul - Sep 2011,,-,-,-,-,-,-,-
Jul - Sep 2009,,"3,354",156,366,868,284,"1,283","6,311"
Oct - Dec 2009,,"1,541",69,117,441,131,703,"3,002"
Jan - Mar 2010,,250,9,17,103,19,98,496
Apr - Jun 2010,,352,10,21,112,31,268,794
Jul - Sep 2010,,3,-,-,-,-,1,4
Oct - Dec 2010,,-,-,-,-,-,-,-
Jan - Mar 2011,,-,-,-,-,-,-,-
Apr - Jun 2011,,-,-,-,-,-,-,-
Jul - Sep 2011,,-,-,-,-,-,-,-
Jul - Sep 2009,,24,-,-,-,2,-,26
Oct - Dec 2009,,7,-,-,-,-,-,7
Jan - Mar 2010,,2,-,-,-,-,-,2
Apr - Jun 2010,,17,-,-,-,-,-,17
Jul - Sep 2010,,-,-,-,-,-,-,-
Oct - Dec 2010,,-,-,-,-,-,-,-
Jan - Mar 2011,,-,-,-,-,-,-,-
Apr - Jun 2011,,-,-,-,-,-,-,-
Jul - Sep 2011,,-,-,-,-,-,-,-
Jul - Sep 2009,,"17,989",680,"3,054","4,489","1,451","2,420","30,083"
Oct - Dec 2009,,"12,776",450,"2,085","4,204",952,"1,625","22,092"
Jan - Mar 2010,,"8,203",350,"1,453","2,831",571,842,"14,250"
Apr - Jun 2010,,"5,177",210,904,"1,664",405,709,"9,069"
Jul - Sep 2010,,370,11,56,120,29,48,634
Oct - Dec 2010,,20,3,4,2,1,-,30
Jan - Mar 2011,,3,-,-,2,1,5,11
Apr - Jun 2011,,-,-,-,-,-,-,-
Jul - Sep 2011,,-,-,-,-,-,-,-
