Index disposal,,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,,"Percentage
change
2000 to 20103",,"Percentage
change
2009 to 20103",
Proportion of offenders who re-offend (%),,76.8,74.8,74.9,75.5,73.8,74.7,74.1,72.1,70.6,71.0,,-5.8,pp,0.4,pp
Average number of re-offences per re-offender,,6.41,5.93,6.05,5.54,5.19,5.10,4.87,4.59,4.46,4.32,,-32.6%,,-3.2%,
Average number of re-offences per offender (frequency rate),,4.93,4.44,4.53,4.18,3.83,3.81,3.61,3.31,3.15,3.07,,-37.7%,,-2.5%,
Number of re-offences,,"16,677","17,246","16,652","14,442","13,869","13,003","12,757","11,672","9,250","7,070",,-57.6%,,-23.6%,
Number of re-offenders,,"2,600","2,906","2,754","2,609","2,670","2,548","2,619","2,541","2,073","1,636",,-37.1%,,-21.1%,
Number of offenders in cohort,,"3,385","3,884","3,678","3,457","3,618","3,411","3,534","3,522","2,938","2,304",,-31.9%,,-21.6%,
Proportion of offenders who re-offend (%),,-,-,-,-,-,-,-,-,-,76.0,,-,pp,-,pp
Average number of re-offences per re-offender,,-,-,-,-,-,-,-,-,-,4.86,,-,,-,
Average number of re-offences per offender (frequency rate),,-,-,-,-,-,-,-,-,-,3.69,,-,,-,
Number of re-offences,,-,-,-,-,-,-,-,-,-,"4,050",,-,,-,
Number of re-offenders,,-,-,-,-,-,-,-,-,-,834,,-,,-,
Number of offenders in cohort,,-,-,-,-,-,-,-,-,-,"1,097",,-,,-,
Proportion of offenders who re-offend (%),,-,-,-,-,-,-,-,-,-,75.6,,-,pp,-,pp
Average number of re-offences per re-offender,,-,-,-,-,-,-,-,-,-,4.31,,-,,-,
Average number of re-offences per offender (frequency rate),,-,-,-,-,-,-,-,-,-,3.26,,-,,-,
Number of re-offences,,-,-,-,-,-,-,-,-,-,"1,521",,-,,-,
Number of re-offenders,,-,-,-,-,-,-,-,-,-,353,,-,,-,
Number of offenders in cohort,,-,-,-,-,-,-,-,-,-,467,,-,,-,
Proportion of offenders who re-offend (%),,-,-,-,-,-,-,-,-,-,61.7,,-,pp,-,pp
Average number of re-offences per re-offender,,-,-,-,-,-,-,-,-,-,3.35,,-,,-,
Average number of re-offences per offender (frequency rate),,-,-,-,-,-,-,-,-,-,2.07,,-,,-,
Number of re-offences,,-,-,-,-,-,-,-,-,-,"1,495",,-,,-,
Number of re-offenders,,-,-,-,-,-,-,-,-,-,446,,-,,-,
Number of offenders in cohort,,-,-,-,-,-,-,-,-,-,723,,-,,-,
Proportion of offenders who re-offend (%),,-,-,-,-,-,-,-,-,-,*,,-,pp,-,pp
Average number of re-offences per re-offender,,-,-,-,-,-,-,-,-,-,*,,-,,-,
Average number of re-offences per offender (frequency rate),,-,-,-,-,-,-,-,-,-,*,,-,,-,
Number of re-offences,,-,-,-,-,-,-,-,-,-,4,,-,,-,
Number of re-offenders,,-,-,-,-,-,-,-,-,-,3,,-,,-,
Number of offenders in cohort,,-,-,-,-,-,-,-,-,-,17,,-,,-,
