col_0,col_1,col_2
  85.0, 0.001671, 0.002652
  86.0, 0.002387, 0.003274
  87.0, 0.002843, 0.003355
  88.0, 0.003707, 0.004199
  89.0, 0.004580, 0.005206
  90.0, 0.004553, 0.006856
  91.0, 0.005212, 0.008228
  92.0, 0.005043, 0.005849
  93.0, 0.005773, 0.006098
  94.0, 0.005957, 0.006469
  95.0, 0.006076, 0.004628
  96.0, 0.006865, 0.004731
  97.0, 0.006453, 0.005015
  98.0, 0.006106, 0.005380
  99.0, 0.007043, 0.006613
 100.0, 0.007755, 0.008034
 101.0, 0.009060, 0.010107
 102.0, 0.010865, 0.011245
 103.0, 0.013160, 0.013827
 104.0, 0.018065, 0.018335
 105.0, 0.027514, 0.024582
 106.0, 0.041156, 0.035243
 107.0, 0.065142, 0.067135
 108.0, 0.099625, 0.117864
 109.0, 0.117133, 0.127550
 110.0, 0.119422, 0.129600
 111.0, 0.106039, 0.131073
 112.0, 0.106624, 0.135883
 113.0, 0.121041, 0.150535
 114.0, 0.128290, 0.156605
 115.0, 0.130832, 0.157967
 116.0, 0.130704, 0.143969
 117.0, 0.129362, 0.128075
 118.0, 0.138852, 0.128692
 119.0, 0.156874, 0.148322
 120.0, 0.184562, 0.173788
 121.0, 0.211298, 0.195749
 122.0, 0.222530, 0.213426
 123.0, 0.229237, 0.227380
 124.0, 0.209317, 0.207142
 125.0, 0.177309, 0.164208
 126.0, 0.149973, 0.124169
 127.0, 0.129058, 0.100254
 128.0, 0.108737, 0.087420
 129.0, 0.096312, 0.079470
 130.0, 0.094931, 0.076884
 131.0, 0.092270, 0.077799
 132.0, 0.098690, 0.080890
 133.0, 0.109242, 0.085705
 134.0, 0.119379, 0.086770
 135.0, 0.136078, 0.090108
 136.0, 0.154347, 0.093880
 137.0, 0.172871, 0.099283
 138.0, 0.194530, 0.101796
 139.0, 0.216941, 0.105569
 140.0, 0.240984, 0.108193
 141.0, 0.263305, 0.112340
 142.0, 0.282528, 0.118030
 143.0, 0.295564, 0.126730
 144.0, 0.299063, 0.138148
 145.0, 0.293980, 0.151189
 146.0, 0.280098, 0.160963
 147.0, 0.260378, 0.163384
 148.0, 0.237459, 0.161377
 149.0, 0.216990, 0.155562
 150.0, 0.201236, 0.145864
 151.0, 0.192039, 0.137165
 152.0, 0.192488, 0.130920
 153.0, 0.201441, 0.128088
 154.0, 0.215528, 0.131285
 155.0, 0.240215, 0.136775
 156.0, 0.272151, 0.145218
 157.0, 0.309258, 0.155679
 158.0, 0.352813, 0.168971
 159.0, 0.399095, 0.183641
 160.0, 0.444308, 0.194823
 161.0, 0.483076, 0.204189
 162.0, 0.512023, 0.214552
 163.0, 0.523097, 0.222558
 164.0, 0.512705, 0.231800
 165.0, 0.486540, 0.237966
 166.0, 0.449776, 0.237858
 167.0, 0.401901, 0.227459
 168.0, 0.354157, 0.210449
 169.0, 0.311806, 0.194563
 170.0, 0.273304, 0.177168
 171.1, 0.241502, 0.162160
 172.1, 0.217564, 0.151463
 173.1, 0.198074, 0.143325
 174.1, 0.180763, 0.136564
 175.1, 0.165619, 0.130719
 176.1, 0.152274, 0.125132
 177.1, 0.139338, 0.117750
 178.1, 0.129490, 0.111249
 179.1, 0.123099, 0.105739
 180.1, 0.118563, 0.101463
 181.1, 0.116406, 0.098355
 182.1, 0.116269, 0.095623
 183.1, 0.117360, 0.094414
 184.1, 0.120734, 0.095249
 185.1, 0.122382, 0.097239
 186.1, 0.121684, 0.098927
 187.1, 0.118233, 0.099701
 188.1, 0.113238, 0.101018
 189.1, 0.106975, 0.099080
 190.1, 0.100910, 0.095699
 191.1, 0.095958, 0.091783
 192.1, 0.095141, 0.087576
 193.1, 0.093355, 0.084176
 194.1, 0.094094, 0.082115
 195.1, 0.097348, 0.081818
 196.1, 0.102646, 0.081923
 197.1, 0.109441, 0.083491
 198.1, 0.118072, 0.086487
 199.1, 0.128326, 0.089402
 200.1, 0.139025, 0.093269
 201.1, 0.152939, 0.098105
 202.1, 0.168548, 0.102300
 203.1, 0.183959, 0.106638
 204.1, 0.199365, 0.111312
 205.1, 0.212564, 0.115163
 206.1, 0.222791, 0.121375
 207.1, 0.228497, 0.128064
 208.1, 0.227115, 0.134557
 209.1, 0.216536, 0.135280
 210.1, 0.200685, 0.132765
