Latitude(deg),Longitude(deg),Depth(m),Pore,Pressure(MPa),Uncertainty(+/-,MPa),,,,
53.50,-118.50,6244,142.16,8.14,,,,,,
53.50,-118.48,6230,141.74,8.14,,,,,,
53.50,-118.46,6202,140.93,8.14,,,,,,
53.50,-118.44,6304,143.90,8.14,,,,,,
53.50,-118.42,6206,141.03,8.14,,,,,,
53.50,-118.40,6379,146.09,8.14,,,,,,
53.50,-118.38,6124,138.66,8.14,,,,,,
53.50,-118.36,6293,143.58,8.14,,,,,,
53.50,-118.34,6366,145.70,8.14,,,,,,
53.50,-118.32,6381,146.13,8.14,,,,,,
53.50,-118.30,6211,141.17,8.14,,,,,,
53.50,-118.28,5934,133.13,8.14,,,,,,
53.50,-118.26,5878,131.50,8.14,,,,,,
53.50,-118.24,5988,134.69,8.14,,,,,,
53.50,-118.22,6317,144.28,8.14,,,,,,
53.50,-118.20,6173,140.08,8.14,,,,,,
53.50,-118.18,5889,131.82,8.14,,,,,,
53.50,-118.16,5740,127.49,8.14,,,,,,
53.50,-118.14,5683,125.83,8.14,,,,,,
53.50,-118.12,5605,123.55,8.14,,,,,,
53.50,-118.10,5535,121.51,8.14,,,,,,
53.50,-118.08,5514,120.89,8.14,,,,,,
53.50,-118.06,5488,120.14,8.14,,,,,,
53.50,-118.04,5580,122.81,8.14,,,,,,
53.50,-118.02,5567,122.43,8.14,,,,,,
53.50,-118.00,5499,120.46,8.14,,,,,,
53.50,-117.98,5394,117.42,8.14,,,,,,
53.50,-117.96,5397,117.50,8.14,,,,,,
53.50,-117.94,5408,117.82,8.14,,,,,,
53.50,-117.92,5466,119.50,8.14,,,,,,
53.50,-117.90,5403,117.67,8.14,,,,,,
53.50,-117.88,5480,119.92,8.14,,,,,,
53.50,-117.86,5393,117.39,8.14,,,,,,
53.50,-117.84,5179,111.15,8.14,,,,,,
53.50,-117.82,5148,110.26,8.14,,,,,,
53.50,-117.80,5086,108.46,8.14,,,,,,
53.50,-117.78,5240,112.94,8.14,,,,,,
53.50,-117.76,5361,116.46,8.14,,,,,,
53.50,-117.74,5420,118.16,8.14,,,,,,
53.50,-117.72,5387,117.21,8.14,,,,,,
53.50,-117.70,5346,116.01,8.14,,,,,,
53.50,-117.68,5331,115.59,8.14,,,,,,
53.50,-117.66,5232,112.71,8.14,,,,,,
53.50,-117.64,5255,113.37,8.14,,,,,,
53.50,-117.62,5244,113.06,8.14,,,,,,
53.50,-117.60,5208,112.01,8.14,,,,,,
53.50,-117.58,5174,111.00,8.14,,,,,,
53.50,-117.56,5127,109.64,8.14,,,,,,
53.50,-117.54,5052,107.45,8.14,,,,,,
53.50,-117.52,4974,105.19,8.14,,,,,,
53.50,-117.50,4920,103.63,8.14,,,,,,
53.50,-117.48,4845,101.44,8.14,,,,,,
53.50,-117.46,4758,98.91,8.14,,,,,,
53.50,-117.44,4716,97.69,8.14,,,,,,
53.50,-117.42,4626,95.07,8.14,,,,,,
53.50,-117.40,4564,93.26,8.14,,,,,,
53.50,-117.38,4536,92.45,8.14,,,,,,
53.50,-117.36,4638,95.41,8.14,,,,,,
53.50,-117.34,4640,95.47,8.14,,,,,,
53.50,-117.32,4673,96.44,8.14,,,,,,
53.50,-117.30,4626,95.07,8.14,,,,,,
53.50,-117.28,4653,95.84,8.14,,,,,,
53.50,-117.26,4727,97.99,8.14,,,,,,
53.50,-117.24,4732,98.14,8.14,,,,,,
53.50,-117.22,4680,96.62,8.14,,,,,,
53.50,-117.20,4632,95.23,8.14,,,,,,
53.50,-117.18,4541,92.59,8.14,,,,,,
53.50,-117.16,4507,91.60,8.14,,,,,,
53.50,-117.14,4455,90.08,8.14,,,,,,
53.50,-117.12,4380,87.91,8.14,,,,,,
53.50,-117.10,4352,87.10,8.14,,,,,,
53.50,-117.08,4327,86.36,8.14,,,,,,
53.50,-117.06,4330,86.45,8.14,,,,,,
53.50,-117.04,4323,86.24,8.14,,,,,,
53.50,-117.02,4297,85.49,8.14,,,,,,
53.50,-117.00,4273,84.79,8.14,,,,,,
53.50,-116.98,4224,83.37,8.14,,,,,,
53.50,-116.96,4193,82.47,8.14,,,,,,
53.50,-116.94,4160,81.49,8.14,,,,,,
53.50,-116.92,4126,80.53,8.14,,,,,,
53.50,-116.90,4104,79.86,8.14,,,,,,
53.50,-116.88,4089,79.43,8.14,,,,,,
53.50,-116.86,4072,78.95,8.14,,,,,,
53.50,-116.84,4044,78.15,8.14,,,,,,
53.50,-116.82,4012,77.20,8.14,,,,,,
53.50,-116.80,4014,77.27,8.14,,,,,,
53.50,-116.78,3989,76.54,8.14,,,,,,
53.50,-116.76,3973,76.08,8.14,,,,,,
53.50,-116.74,3904,74.07,8.14,,,,,,
53.50,-116.72,3860,72.81,8.14,,,,,,
53.50,-116.70,3853,72.60,8.14,,,,,,
53.50,-116.68,3867,73.02,8.14,,,,,,
53.50,-116.66,3839,72.19,8.14,,,,,,
53.50,-116.64,3812,71.41,8.14,,,,,,
53.50,-116.62,3778,70.42,8.14,,,,,,
53.50,-116.60,3756,69.77,8.14,,,,,,
53.50,-116.58,3721,68.75,8.14,,,,,,
53.50,-116.56,3698,68.09,8.14,,,,,,
53.50,-116.54,3682,67.63,8.14,,,,,,
53.50,-116.52,3660,66.97,8.14,,,,,,
53.50,-116.50,3652,66.75,8.14,,,,,,
53.50,-116.48,3649,66.65,8.14,,,,,,
53.50,-116.46,3631,66.13,8.14,,,,,,
53.50,-116.44,3603,65.31,8.14,,,,,,
53.50,-116.42,3597,65.12,8.14,,,,,,
53.50,-116.40,3595,65.06,8.14,,,,,,
53.50,-116.38,3568,64.27,8.14,,,,,,
53.50,-116.36,3520,62.89,8.14,,,,,,
53.50,-116.34,3495,62.15,8.14,,,,,,
