,Fixation Duration_Test 4 Pictures_Page_4.png_pic 2_N,Fixation Duration_Test 4 Pictures_Page_4.png_pic 2_Mean,Fixation Duration_Test 4 Pictures_Page_4.png_pic 2_Sum,Fixation Duration_Test 4 Pictures_Page_4.png_pic1_N,Fixation Duration_Test 4 Pictures_Page_4.png_pic1_Mean,Fixation Duration_Test 4 Pictures_Page_4.png_pic1_Sum,Fixation Duration_Test 4 Pictures_Page_4.png_word all_N,Fixation Duration_Test 4 Pictures_Page_4.png_word all_Mean,Fixation Duration_Test 4 Pictures_Page_4.png_word all_Sum,Fixation Duration_Test 4 Pictures_Page_4.png_word success_N,Fixation Duration_Test 4 Pictures_Page_4.png_word success_Mean,Fixation Duration_Test 4 Pictures_Page_4.png_word success_Sum,Fixation Duration_Test 4 Pictures_Page_7.png_Dinasour pic_N,Fixation Duration_Test 4 Pictures_Page_7.png_Dinasour pic_Mean,Fixation Duration_Test 4 Pictures_Page_7.png_Dinasour pic_Sum,Fixation Duration_Test 4 Pictures_Page_7.png_Dinasour word_N,Fixation Duration_Test 4 Pictures_Page_7.png_Dinasour word_Mean,Fixation Duration_Test 4 Pictures_Page_7.png_Dinasour word_Sum
pilot,1,0.30,0.30,9,0.23,2.07,4,0.22,0.87,1,0.17,0.17,13,0.21,2.77,7,0.19,1.36
Rec 10,1,0.13,0.13,8,0.52,4.18,7,0.49,3.41,-,-,-,14,0.28,3.96,5,0.32,1.59
Rec 11,4,0.28,1.11,17,0.42,7.21,12,0.26,3.16,7,0.33,2.34,24,0.28,6.66,9,0.28,2.56
Rec 12,-,-,-,6,0.36,2.17,4,0.20,0.81,2,0.47,0.93,9,0.33,2.98,2,0.10,0.19
Rec 13,15,0.31,4.62,27,0.23,6.14,29,0.30,8.70,1,0.26,0.26,21,0.35,7.36,8,0.35,2.76
Rec 14,-,-,-,6,0.16,0.96,-,-,-,-,-,-,6,0.32,1.92,1,0.05,0.05
Rec 15,4,0.16,0.66,14,0.39,5.48,20,0.26,5.27,2,0.07,0.13,14,0.20,2.85,8,0.34,2.71
Rec 16,3,0.27,0.82,25,0.33,8.35,8,0.24,1.88,9,0.26,2.34,18,0.43,7.82,8,0.26,2.11
Rec 17,8,0.25,1.97,12,0.34,4.08,22,0.36,7.81,-,-,-,25,0.26,6.45,9,0.39,3.50
Rec 18,2,0.21,0.42,1,0.27,0.27,-,-,-,-,-,-,4,0.28,1.12,5,0.23,1.17
Rec 19,3,0.36,1.07,19,0.33,6.29,5,0.36,1.81,5,0.43,2.17,20,0.40,7.97,9,0.34,3.04
Rec 20,-,-,-,4,0.21,0.85,7,0.27,1.92,-,-,-,15,0.25,3.68,2,0.37,0.75
Rec 21,-,-,-,9,0.37,3.32,2,0.23,0.47,-,-,-,16,0.34,5.49,3,0.31,0.92
Rec 22,-,-,-,24,0.17,4.19,6,0.15,0.91,2,0.12,0.23,8,0.42,3.39,4,0.29,1.14
Rec 01,3,0.39,1.17,8,0.28,2.20,20,0.37,7.49,2,0.33,0.67,15,0.25,3.69,6,0.49,2.93
Rec 02,-,-,-,5,0.23,1.16,12,0.43,5.15,1,0.27,0.27,17,0.31,5.29,8,0.32,2.54
Rec 03,3,0.18,0.54,8,0.22,1.72,5,0.33,1.67,-,-,-,24,0.27,6.45,12,0.21,2.51
Rec 04,3,0.26,0.77,5,0.26,1.28,15,0.58,8.70,-,-,-,9,0.53,4.81,1,0.32,0.32
Rec 05,1,0.20,0.20,8,0.26,2.06,5,0.25,1.27,3,0.36,1.07,38,0.25,9.67,12,0.25,3.02
Rec 06,2,0.31,0.62,17,0.21,3.51,17,0.22,3.71,2,0.25,0.50,38,0.16,5.92,7,0.19,1.32
Rec 07,8,0.19,1.51,24,0.28,6.63,22,0.28,6.09,2,0.31,0.62,24,0.27,6.51,13,0.26,3.34
Rec 08,2,0.20,0.39,16,0.33,5.33,11,0.27,2.97,4,0.10,0.38,13,0.32,4.21,3,0.27,0.82
Rec 09,2,0.21,0.42,17,0.27,4.64,16,0.52,8.25,7,0.29,2.03,22,0.31,6.74,4,0.36,1.45
Rec 23,11,0.42,4.58,11,0.40,4.37,8,0.27,2.18,1,0.35,0.35,15,0.40,6.00,2,0.20,0.41
Rec 24,4,0.41,1.64,23,0.27,6.14,25,0.35,8.79,1,0.05,0.05,24,0.31,7.54,19,0.40,7.61
Rec 25,8,0.39,3.11,12,0.32,3.85,21,0.42,8.90,1,0.06,0.06,12,0.42,5.07,3,0.41,1.22
Rec 27,3,0.20,0.61,3,0.22,0.66,23,0.27,6.23,1,0.21,0.21,8,0.49,3.91,3,0.19,0.58
Rec 28,5,0.30,1.49,15,0.37,5.53,10,0.27,2.71,2,0.16,0.32,18,0.33,5.94,9,0.69,6.23
Rec 29,2,0.77,1.54,3,0.42,1.25,3,0.34,1.02,-,-,-,2,0.46,0.92,2,0.50,1.01
Rec 30,11,0.43,4.73,12,0.50,6.04,20,0.40,7.99,2,0.56,1.12,6,0.16,0.94,2,0.42,0.83
Rec 31,1,0.12,0.12,11,0.33,3.61,37,0.36,13.34,2,0.36,0.73,28,0.23,6.45,19,0.43,8.09
