Sw[-],,,,,,,Vp[km/s],,,,,,
0.001,,,,,,,,3.028,,,,,
0.025,,,,,,,,2.994,,,,,
0.074,,,,,,,,2.977,,,,,
0.196,,,,,,,,2.975,,,,,
0.214,,,,,,,,2.967,,,,,
0.301,,,,,,,,2.975,,,,,
0.320,,,,,,,,2.967,,,,,
0.400,,,,,,,,2.940,,,,,
0.427,,,,,,,,2.935,,,,,
0.453,,,,,,,,2.935,,,,,
0.547,,,,,,,,2.930,,,,,
0.553,,,,,,,,2.940,,,,,
0.573,,,,,,,,2.920,,,,,
0.627,,,,,,,,2.960,,,,,
0.640,,,,,,,,2.953,,,,,
0.667,,,,,,,,2.927,,,,,
0.693,,,,,,,,2.967,,,,,
0.700,,,,,,,,2.953,,,,,
0.713,,,,,,,,2.967,,,,,
0.760,,,,,,,,2.980,,,,,
0.787,,,,,,,,2.990,,,,,
0.793,,,,,,,,2.987,,,,,
0.840,,,,,,,,3.000,,,,,
0.847,,,,,,,,3.050,,,,,
0.853,,,,,,,,3.040,,,,,
0.907,,,,,,,,3.120,,,,,
0.933,,,,,,,,3.137,,,,,
0.947,,,,,,,,3.153,,,,,
0.967,,,,,,,,3.160,,,,,
0.987,,,,,,,,3.177,,,,,
0.997,,,,,,,,3.200,,,,,
