Year,National defense and veterans outlays   Total outlays (billion dollars),Defense outlays  Current dollars (billion dollars),Constant (FY2000) dollars (billion dollars),Veterans outlays (billion dollars),Annual percent change \1    Total outlays,Defense outlays,Veterans outlays,"Defense outlays, percent of --    Federal outlays",Gross domestic product \2
1960,53.5,48.1,300.2,5.4,2.5,2.4,3.1,52.2,9.3
1961,55.3,49.601,301.5,5.705,3.1,3.120582,1.7,50.8,9.3
1962,57.9,52.345,315.9,5.6,4.0,5.5,1.7,49.0,9.2
1963,58.9,53.4,309.4,5.5,1.6,2.0,-1.9,48.0,8.9
1964,60.5,54.8,314.9,5.7,2.6,2.5,2.9,46.2,8.5
1965,56.3,50.6,291.8,5.7,-6.8,-7.6,0.7,42.8,7.4
1966,64.1,58.1,322.8,5.9,13.7,14.8,3.5,43.2,7.7
1967,78.1,71.4,383.3,6.7,22.1,22.9,13.8,45.4,8.8
1968,88.9,81.9,420.1,7.0,13.8,14.7,4.4,46.0,9.4
1969,90.2,82.5,400.1,7.6,1.3,0.7,8.5,44.9,8.7
1970,90.4,81.7,375.1,8.7,0.3,-1.0,13.6,41.8,8.1
1971,88.7,78.9,340.8,9.8,-1.9,-3.5,12.7,37.5,7.3
1972,89.9,79.2,310.4,10.7,1.4,0.4,9.8,34.3,6.7
1973,88.7,76.7,278.6,12.0,1.3,-3.1,12.0,31.2,5.8
1974,92.6,79.3,267.4,13.3,4.6,3.5,11.4,29.5,5.5
1975,103.1,86.5,262.7,16.6,11.2,9.0,24.0,26.0,5.5
1976,108.0,89.6,252.7,18.4,4.8,3.6,11.0,24.1,5.2
"1976, TQ \3",26.3,22.3,61.0,4.0,(X),(X),(X),23.2,4.8
1977,115.2,97.2,250.6,18.0,6.7,8.5,-2.1,23.8,4.9
1978,123.5,104.5,251.1,19.0,7.1,7.5,5.2,22.8,4.7
1979,136.2,116.3,257.4,19.9,10.4,11.3,5.0,23.1,4.6
1980,155.1,133.9955,267.1,21.1,13.9,15.2,6.3,22.7,4.9
1981,180.4,157.5,282.2,22.9,16.3,17.6,8.5,23.2,5.1
1982,209.2,185.3,307.0,23.9,15.9,17.6,4.2,24.8,5.7
1983,234.7,209.9,330.7,24.8,12.1356903965599,13.2757690232056,3.33333333333334,26.0,6.1
1984,253.0,227.4,334.0,25.6,7.79718789944611,8.33730347784659,3.22580645161291,26.7,5.9
1985,279.0,252.7,356.5,26.3,10.2766798418972,11.1257695690413,2.734375,26.7,6.1
1986,299.9,273.4,380.7,26.327,7.4,8.2,0.4,27.6,6.2
1987,309.0,282.0,387.1,26.75,3.03636970303638,3.14557425018289,1.51515151515152,28.1,6.1
1988,319.7,290.361,393.1,29.386,3.56217616580311,2.97872340425531,9.70149253731342,27.3,5.8
1989,333.6,303.559,398.9,30.031,4.34646654158849,4.54545454545456,2.38095238095239,26.5,5.6
1990,328.389,299.331,382.7,29.058,-1.562050359712234,-1.392809964455018,-3.2399853484732413,23.9,5.2
1991,304.597,273.292,333.7,31.305,-7.24725943970768,-8.68693618443034,7.56013745704467,20.6,4.6
1992,332.41400000000004,298.35,354.3,34.064,9.13239460664421,9.168947499377973,8.813288612042806,21.6,4.8
1993,326.757,291.086,340.3,35.671,-1.7017935466015384,-2.4347243170772614,4.717590418036635,20.7,4.4
1994,319.226,281.642,322.8,37.584,-2.3047708235783797,-3.2444019980349506,5.362899834599546,19.3,4.1
1995,309.95599999999996,272.066,305.9,37.89,-2.9038988052351744,-3.400061070436945,0.814176245210721,17.9,3.7
1996,302.738,265.753,289.2,36.985,-2.3287176244370045,-2.3203928458535756,-2.3884930060702065,17.0,3.5
1997,309.818,270.505,288.4,39.313,2.3386558674497366,1.788126568655861,6.294443693389221,16.9,3.3
1998,309.988,268.207,282.4,41.781,0.05487092422003109,-0.8495221899780048,6.27782158573499,16.2,3.1
1999,320.2,274.785,286.6,43.212,3.2943210704930475,2.4525832659102975,3.425001795074327,16.1,3.0
2000,341.477,294.394,294.4,47.083,6.644909431605243,7.136124606510537,8.958159770434126,16.5,3.0
2001,349.798,304.759,297.2,45.039,2.436767337185236,3.5207918639646216,-4.341269672705641,16.4,3.0
2002.0,399.466,348.482,329.3,50.984,14.199052024311175,14.346746117423937,13.19967139590133,17.3,3.4
2003.0,461.8,404.778,364.4,57.022,15.604331782930212,16.15463639441922,11.842931115644117,18.7,3.7
2004.0,515.626,455.847,394.3,59.779,11.655695106106531,12.616545365607804,4.8349759741854115,19.9,4.0
2005.0,565.5,495.326,407.3,70.151,9.672514574517194,8.660581291529843,17.35057461650411,20.0,4.0
2006.0,591.682,521.84,411.9,69.842,4.6298850574712676,5.352838332734403,-0.440478396601613,19.7,4.0
2007.0,624.1329999999999,551.286,422.1,72.847,5.484533921937782,5.642725739690309,4.302568654964055,20.2,4.0
2008.0,700.787,616.097,461.3,84.69,12.28167714253214,11.756329745359041,16.25736131892872,20.7,4.3
"2009, estimate",786.985,690.308,511.9,96.677,12.300171093356466,12.04534350922014,14.153973314440913,17.3,4.8
"2010, estimate",821.788,712.853,522.2,108.935,4.422320628728628,3.2659334673797726,12.679334278059926,19.9,4.8
