Characteristic,Unincorporated self-employed Total,Male,Female,Incorporated self-employed Total,Male,Female,Wage and salary workers \1 Total,Male,Female,
Age: 16 to 19 years old,0.7242782022025994,0.7845598619174643,0.6204478014567035,0.1037344398340249,0.09471939379587971,0.12812299807815503,4.228726898907843,3.9882715495317598,4.485775055572437,
20 to 24 years old,3.1054668121837485,3.357916209006747,2.643647154032911,1.1929460580912863,1.1839924224484963,1.2812299807815504,10.229793549085231,10.278849893785717,10.174153619804576,
25 to 34 years old,14.356582994344677,14.451592656519693,14.16239546803345,11.20331950207469,11.247928013260715,11.08263933376041,22.62921539377169,23.609490470633997,21.582894884137467,
35 to 44 years old,22.68082151007044,22.077514514357446,23.71189641219315,24.861687413554634,24.508643144683877,25.816784112748238,22.962350340477826,23.416509589205038,22.475252274871664,
45 to 54 years old,28.09802559777756,27.757727914639887,28.675478823846777,32.58990318118949,32.22827373904807,33.568225496476614,23.022639263547617,22.421685665559647,23.666661335977356,
55 to 64 years old,21.033832721500147,21.041895496626392,21.014297275424873,21.54218533886584,21.71442102770542,21.012171684817424,13.47225550136423,12.95215869311552,14.031440405558843,
65 years old and over,10.01091378112908,10.513102149694022,9.17183706501214,8.506224066390041,9.022022259057543,7.174887892376682,3.4557919877567107,3.3330341381683275,3.582223217284227,
Race/ethnicity: White \2,87.38962198630816,88.07469009885455,86.18829241974643,88.2088520055325,88.96519062278001,86.16271620755926,81.24473438091778,82.6003051790683,79.79402216500617,
Black \2,6.201012005159242,6.088184528479523,6.393309954140815,5.10027662517289,4.759649538242956,5.957719410634208,11.617211714601513,10.186099392633816,13.14867825558523,
Asian \2,4.444885405298145,4.001255295779068,5.206366333962773,5.584370677731674,5.2569263556713235,6.47021140294683,4.741182745001043,4.803578374173473,4.6760806639906605,
Hispanic \3,12.153983530112114,13.83963596422407,9.306717021850552,7.313278008298756,7.340753019180678,7.238949391415759,14.436878270480843,16.527540914938815,12.201947833874398,
Country of birth: U.S. born,83.14316896517512,81.90804958418327,85.24413272187753,(NA),(NA),(NA),(NA),(NA),(NA),
Foreign-born,16.86675265403314,18.091950415816726,14.75586727812247,(NA),(NA),(NA),(NA),(NA),(NA),
