Food,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
"Flour, white, all purpose",0.275,0.28,0.29,0.29,0.29,0.3,0.32,0.4,0.504
"Rice, white, large grain, raw",(NA),(NA),0.46,0.48,0.57,0.52,0.56,0.55,0.813
Spaghetti and macaroni,0.884,0.91,0.93,0.93,0.95,0.87,0.89,0.85,1.134
"Bread, white, pan",0.987,1.01,1.03,0.95,0.97,1.05,1.14,1.28,1.415
"Bread, whole wheat",1.358,1.46,1.44,(NA),1.3,1.29,1.62,1.81,1.948
"Ground beef, 100% beef",1.625,1.71,1.69,2.23,2.14,2.3,2.26,2.23,2.406
"Ground chuck, 100% beef",1.976,2.16,2.12,2.62,2.47,2.61,2.61,2.7,2.999
"Ground beef, lean and extra lean",2.327,2.51,2.62,2.93,2.99,2.91,2.95,3.07,3.435
"Rib roast, USDA Choice",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
"Round steak, USDA Choice",3.278,3.46,(NA),4.27,4.26,4.12,3.99,4.04,4.369
"Sirloin steak, bone-in",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
"Sirloin steak, boneless",4.81,5.2,5.45,6.93,6.09,5.93,5.79,5.91,6.065
"Rib eye steak, USDA Choice",7.61,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
T-bone steak,6.82,7.31,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
"Bacon, sliced",3.028,3.3,3.24,3.18,3.37,3.33,3.46,3.69,3.67
"Chops, center cut, bone-in",3.463,3.53,3.32,2.91,2.89,3.28,3.15,3.38,3.538
"Ham, rump/shank half, bone-in, smoked",(NA),2.28,(NA),(NA),(NA),(NA),1.89,1.98,1.728
"Ham, boneless, excluding canned",2.75,2.71,2.67,2.89,3.25,3.09,3.09,3.04,3.406
"Shoulder picnic, bone-in, smoked",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Sausage,2.748,2.87,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
"Chicken, fresh, whole",1.078,1.11,1.05,1.05,1.03,1.06,1.06,1.17,1.305
"Chicken breast, bone-in",2.144,2.11,2.33,(NA),(NA),(NA),2.17,2.31,2.317
"Chicken legs, bone-in",1.264,1.34,1.28,1.27,1.37,1.33,1.23,1.36,1.497
"Turkey, frozen, whole",0.994,1.0,0.99,1.05,1.0,1.07,0.99,1.01,1.332
"Tuna, light, chunk, canned",1.918,1.96,2.03,1.83,1.78,(NA),(NA),(NA),(NA)
"Eggs, Grade A, large, (dozen)",0.959,0.93,1.18,1.56,1.2,1.35,1.54,2.1,1.834
"Milk, fresh, whole, fortified (1/2 gallon)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
"Milk, fresh, whole, fortified (per gallon)",2.79,2.9,2.68,2.95,3.23,3.24,3.0,3.87,3.681
"Butter, salted, grade AA, stick",2.799,3.31,2.84,2.8,3.46,2.98,2.89,2.98,3.129
American process cheese,3.693,3.99,3.84,3.84,3.94,3.92,3.61,3.91,4.141
"Cheddar cheese, natural",3.763,4.17,4.11,4.07,4.16,4.43,4.02,4.45,4.952
"Ice cream, prepack, bulk, regular (1/2 gallon)",3.66,3.84,3.76,3.9,3.85,3.69,3.9,4.08,4.281
"Yogurt, natural, fruit flavored",0.649,0.65,0.8,(NA),(NA),(NA),(NA),(NA),(NA)
"Apples, Red Delicious",0.816,0.89,0.99,0.96,0.95,0.97,1.03,1.12,1.179
Bananas,0.487,0.51,0.5,0.5,0.47,0.48,0.5,0.53,0.617
"Oranges, navel",0.624,0.71,0.74,0.86,0.87,0.89,0.96,0.91,0.934
Grapefruit,0.581,0.6,0.62,0.68,0.95,1.1,0.97,0.91,0.907
"Grapes, thompson seedless",2.359,(NA),2.27,2.25,3.09,2.76,2.89,2.72,2.459
Lemons,1.111,1.4,1.44,1.26,1.16,1.51,1.66,2.05,1.616
"Pears, Anjou",(NA),0.98,(NA),(NA),1.17,1.0,1.24,1.27,1.373
"Potatoes, white",0.347,0.41,0.48,0.44,0.51,0.5,0.52,0.52,0.678
"Lettuce, iceberg",0.851,0.79,0.68,1.26,0.99,0.85,0.9,0.95,0.877
"Tomatoes, field grown",1.567,1.4,1.66,1.53,2.46,1.85,1.64,2.15,1.734
Cabbage,(NA),(NA),(NA),(NA),(NA),(NA),0.6,0.61,0.633
"Carrots, short trimmed and topped",(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.75,(NA)
Celery,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Cucumbers,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
