Commodity group,"1980 to 1984, average (percent)","1985 to 1989, average  (percent)","1990 to 1994, average  (percent)","1995 to 1999, average  (percent)","2000 to 2004, average  (percent)",1995  (percent),1996  (percent),1997  (percent),1998  (percent),1999  (percent),2000  (percent),2001  (percent),2002  (percent),2003  (percent),2004  (percent),2005  (percent),2006  (percent),2007  (percent)
Livestock \1,4.082456009345469,3.721214129295526,5.499746542196607,6.093074124256375,6.072276023128115,6.781859327810668,5.938491930220233,5.940670145246757,5.950155300651594,5.854193917352621,6.100705287370839,6.415123985499244,6.168192643320866,6.368050546217366,5.309307653232261,5.515744209114576,5.75991630929968,7.2270171890275146
Red meat,1.2467534215193532,2.072210017200562,4.118791280783664,7.086249609433669,8.000107381850555,5.985117344018317,6.593051192016263,7.3481249135107705,7.523794801581167,7.981159796041829,8.121125726257587,8.385730503886123,8.595285910580277,9.081250657015227,5.817144111513555,7.354737393125109,8.72118631625312,9.389979106067434
Poultry meat,4.05384251765358,3.8184580543275133,7.39477552653735,15.506404875179175,14.894679326658416,14.283364043169255,16.001874121505544,16.36027181167334,15.690213480450948,15.196300919096789,15.474177362570343,16.848032050240917,14.125525210084033,14.288482199352469,13.737179811044308,14.418331948991058,14.336300356527856,15.713369898140893
Dairy products,2.4293231596604175,2.1174855039000016,3.4898648143956223,1.4141852963839718,1.344148226353921,2.804552311904851,1.2034372855049962,1.3402540419847806,0.9012964166693783,0.8213864258558523,1.2776775742636837,1.4293704540463477,1.3303762882626349,1.3794761468803938,1.303840668316545,1.253687547691853,1.340570549025139,2.5872779217175546
Crops \2,37.348971590275845,31.199017534964185,30.36136753726357,29.05271049105435,28.84052271916995,29.571810433347036,34.853665630848205,27.4567200461347,26.482239936572427,26.88658995800822,28.78623772957014,28.78510777684513,29.544681337062464,28.78354784835554,28.285194810836035,26.233647399126436,28.325996628536398,29.57072513327656
"Grains, food and feed",37.85173144281322,31.72035141568923,30.22399979684147,27.27816189841886,25.85459828582006,27.774834924834504,36.16388555640383,24.411445998313056,22.870987171534654,25.16965584100824,26.71858055187372,25.938442969221487,26.222786353822507,24.736018505919173,25.657163048263403,21.764391577483927,24.989120195671216,25.632373719007276
Oilseeds & products \3,34.87720755028228,28.39951624420245,24.765060216970195,26.736177994840524,27.38457640921913,26.957240249736728,27.67279596215296,27.193090488917875,27.57860387952691,24.279159393868127,27.405476732344347,27.446268499287616,28.888643358301973,28.633036195311437,24.549457260850275,26.246171016887992,23.824558954239016,27.936903593475257
Fruit and nuts,12.004087918203044,11.767257386990515,16.40120618783505,17.71206961151728,18.42169153381845,17.639665488535872,18.451126300194943,16.695123388947646,16.96028416327416,18.814148716633785,17.01264048439727,18.594025180325918,19.35276072347407,18.203897279778317,18.94513400111667,20.16761735319184,21.631738348225458,20.956887610749458
Vegetables,6.294547662969932,3.9791658800628795,4.943904884508429,5.609911058752983,5.842883571635541,5.6068563750071085,5.253506003066917,5.645651687606748,6.05351189771248,5.490029330371664,5.609550403500615,6.2736963993606985,5.944363305463454,5.8760591207399395,5.510748629113,6.256804004584127,6.46500574111726,6.113827087089931
Other field crops \4,26.86584362014141,22.85273974032109,24.928118121018887,22.569034468843654,25.469285807330728,25.838169705499936,24.105330170726866,24.653325050696786,21.93305660295916,16.315290814335526,18.951580953373625,19.256489686914747,27.708857325035662,29.072773670622656,32.35672740070695,32.58098367205576,37.03226860984065,29.025767004721583
