Year,Unit,Total \1,Purpose of construction  Built for sale,Contractor built,Owner built,Region \2  Northeast,Midwest,South,West
1980,"1,000",852.2,526.0,149.0,164.0,87.1,141.5,428.0,195.6
1981,"1,000",705.4,426.0,122.0,148.0,84.0,109.8,363.2,148.4
1982,"1,000",662.6,409.0,108.0,133.0,79.3,98.8,357.4,127.1
1983,"1,000",1067.6,713.0,151.0,179.0,122.8,153.3,557.2,234.3
1984,"1,000",1084.2,728.0,157.0,165.0,158.3,167.2,528.4,230.2
1985,"1,000",1072.4,713.0,177.0,157.0,181.7,148.1,504.0,238.7
1986,"1,000",1179.4,782.0,204.0,166.0,227.6,187.5,503.6,260.7
1987,"1,000",1146.4,732.0,208.0,178.0,204.2,202.8,484.7,254.7
1988,"1,000",1081.3,709.0,196.0,154.0,181.3,193.6,442.8,263.6
1989,"1,000",1003.3,648.0,192.0,144.0,131.5,190.2,409.3,272.2
1990,"1,000",894.8,529.0,196.0,147.0,104.3,193.2,371.1,226.3
1991,"1,000",840.4,490.0,198.0,138.0,99.3,191.3,352.6,197.3
1992,"1,000",1029.9,618.0,224.0,168.0,111.8,236.0,438.5,243.6
1993,"1,000",1125.7,716.0,225.0,162.0,115.7,250.8,498.4,260.9
1994,"1,000",1198.4,763.0,245.0,169.0,122.5,268.3,521.7,285.8
1995,"1,000",1076.2,712.0,199.0,133.0,101.9,233.6,485.0,255.8
1996,"1,000",1160.9,774.0,218.0,144.0,111.7,254.0,523.9,271.3
1997,"1,000",1133.7,784.0,189.0,131.0,111.2,238.0,506.7,277.7
1998,"1,000",1271.4,882.0,209.0,144.0,122.2,272.6,573.7,302.8
1999,"1,000",1302.4,912.0,208.0,142.0,126.4,288.7,579.5,307.7
2000,"1,000",1230.9,871.0,195.0,128.0,118.3,260.4,555.6,296.5
2001,"1,000",1273.3,919.0,186.0,129.0,110.8,269.3,590.3,303.0
2002,"1,000",1358.6,999.0,198.0,125.0,117.8,276.7,628.2,335.8
2003,"1,000",1499.0,1120.0,205.0,127.0,115.9,309.0,686.3,387.8
2004.0,"1,000",1610.5,1240.0,198.0,130.0,127.7,306.4,743.4,433.1
2005,"1,000",1715.8,1358.0,197.0,129.0,137.5,305.7,831.2,441.4
2006,"1,000",1465.0,1121.0,189.0,119.0,118.0,235.0,757.0,356.0
2007,"1,000",1046.0,760.0,151.0,104.0,93.0,171.0,540.0,242.0
2008,"1,000",622.0,408.0,107.0,74.0,63.0,102.0,324.0,133.0
1980,Months,6.9,6.2,5.5,10.1,7.7,8.0,6.1,7.4
1981,Months,6.6,5.8,5.2,9.6,7.7,7.4,5.7,7.4
1982,Months,6.6,5.6,5.5,10.4,8.0,7.5,5.9,7.2
1983,Months,5.8,4.8,4.8,10.0,7.2,6.5,5.1,6.2
1984,Months,6.1,5.2,4.8,10.7,7.0,6.7,5.4,6.7
1985,Months,6.2,5.4,4.9,10.6,7.2,6.0,5.7,6.7
1986,Months,6.2,5.4,4.9,11.1,7.3,6.5,5.6,6.4
1987,Months,6.2,5.6,5.1,10.3,7.6,5.9,5.7,6.4
1988,Months,6.5,5.8,5.3,10.4,8.8,5.8,5.7,6.6
1989,Months,6.4,5.9,5.3,10.2,9.3,5.8,5.6,6.5
1990,Months,6.4,5.9,5.3,10.3,9.3,5.6,5.7,6.9
1991,Months,6.3,5.6,5.1,10.2,8.9,5.6,5.5,6.9
1992,Months,5.8,5.0,5.0,9.5,7.6,5.6,5.1,6.1
1993,Months,5.6,4.9,5.4,9.0,7.2,5.5,5.2,6.0
1994,Months,5.6,4.9,5.3,9.1,7.1,5.7,5.3,5.6
1995,Months,5.9,5.2,5.8,9.5,7.4,6.0,5.4,6.0
1996,Months,6.0,5.2,5.8,9.9,8.2,6.1,5.6,5.6
1997,Months,6.0,5.2,5.9,9.8,7.3,6.2,5.6,5.8
1998,Months,6.0,5.4,6.0,9.5,7.1,6.2,5.5,6.1
1999,Months,6.1,5.5,6.4,9.2,7.0,6.4,5.7,6.3
2000,Months,6.2,5.6,6.5,9.2,7.5,6.4,5.9,6.0
2001,Months,6.2,5.6,7.0,9.2,7.6,6.5,5.8,6.3
2002.0,Months,6.1,5.5,6.6,9.6,7.3,6.4,5.6,6.2
2003,Months,6.2,5.5,6.8,9.9,7.5,6.7,5.7,6.2
2004.0,Months,6.2,5.7,7.0,9.1,7.3,6.7,5.8,6.3
2005,Months,6.4,5.9,7.6,9.8,7.7,6.6,6.0,6.8
2006,Months,6.9,6.3,7.8,10.7,8.3,7.1,6.3,7.4
2007,Months,7.1,6.5,7.9,10.2,8.5,7.4,6.5,8.0
2008,Months,7.7,6.8,8.5,11.1,8.9,8.2,6.7,9.0
