"Type of building, number storeys",Buildings,Dwellings,Persons (dwelling population)
1 - 2 storeys,1 349 630,1 657 771,3 608 304
3 - 9 storeys,51 529,1 086 426,1 577 577
10 + storeys,292,12 771,17 315
unknown number of storeys,19 737,10 957,16 088
Detached hiouses,1 082 511,1 112 142,2 674 740
Attached houses,75 109,382 273,696 753
1 - 2 storeys,16 769,141 329,199 568
3 - 9 storeys,38 543,1 060 878,1 536 899
10 + storeys,186,12 237,16 760
unknown number of storeys,427,4 189,5 337
1 - 2 storeys,180 191,32 656,58 165
3 - 9 storeys,8 874,18 530,25 224
10 + storeys,99,523,536
unknown number of storeys,18 479,3 168,5 302
