,Total,Public administration and compulsory  social security,Defence,Education,Health and social work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paper, cardboard and pasteboard",18 080,4 657,2 410,4 155,6 858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,2 037,38,1 310,13, 676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plastics, 188,47,41,10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glas, 809,42,82, 563, 122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood waste,2 207,80,1 250, 100, 777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wetorganic waste,4 555, 474, 857, 737,2 487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concrete and bricks, 282,72,72,0, 138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sludge, 962,3,3, 309, 647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE-waste,1 471, 351, 148, 191, 781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,1 660,39, 335,92,1 194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed waste,53 447,6 999,7 860,7 612,30 976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazardous waste,3 461, 524,2 443, 149, 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrapped vehicles2, 133,67,0,3,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
