State Agencies/Other Agencies,Agency,Unit/Office,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
State Agencies,Bureau of Protective Services,,2.0,0.0,0.0,2.0,0.0,52.0,1.0,50.0,1.0,0.0
,Department of Disabilities and Special Needs,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Department of Mental Health,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
,Department of Natural Resources:,Abbeville County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Aiken County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Allendale County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Anderson County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Bamberg County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Barnwell County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Beaufort County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Berkeley County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Calhoun County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Charleston County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Cherokee County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Chester County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Chesterfield County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Clarendon County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Colleton County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Darlington County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Dillon County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Dorchester County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Edgefield County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Fairfield County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Florence County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Georgetown County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Greenville County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Greenwood County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Hampton County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Horry County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Jasper County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Kershaw County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Lancaster County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Laurens County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Lee County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
