State,State/Other Agency,Unit/Office,Total law enforcement employees,Total officers,Total civilians
OREGONState Agencies,Liquor Commission:,Benton County,1.0,1.0,0.0
,,Clatsop County,2.0,1.0,1.0
,,Coos County,2.0,1.0,1.0
,,Douglas County,2.0,1.0,1.0
,,Jackson County,7.0,6.0,1.0
,,Klamath County,1.0,1.0,0.0
,,Lane County,5.0,4.0,1.0
,,Lincoln County,2.0,1.0,1.0
,,Malheur County,1.0,1.0,0.0
,,Marion County,5.0,4.0,1.0
,,Multnomah County,22.0,19.0,3.0
,,Umatilla County,2.0,2.0,0.0
,,Washington County,2.0,2.0,0.0
OREGONOther Agencies,Port of Portland,,66.0,53.0,13.0
