State,"Total
robberies1",Firearms,"Knives or
cutting
instruments","Other
weapons","Strong-
arm","Agency
count",Population,
Alabama,3190.0,1895.0,137.0,376.0,782.0,242.0,4175710.0,
Alaska,949.0,294.0,88.0,134.0,433.0,32.0,736205.0,
Arizona,7312.0,3115.0,826.0,782.0,2589.0,97.0,6732019.0,
Arkansas,1813.0,968.0,104.0,161.0,580.0,265.0,2774792.0,
California,56590.0,15343.0,5276.0,6502.0,29469.0,729.0,39379687.0,
Colorado,3734.0,1615.0,326.0,434.0,1359.0,202.0,5221193.0,
Connecticut,2813.0,936.0,308.0,263.0,1306.0,106.0,3569335.0,
Delaware,1082.0,488.0,96.0,82.0,416.0,61.0,961939.0,
District of Columbia,2623.0,946.0,209.0,187.0,1281.0,3.0,693972.0,
Florida,18584.0,7724.0,1174.0,1706.0,7980.0,603.0,20971216.0,
Georgia,9640.0,5690.0,327.0,858.0,2765.0,484.0,9793925.0,
Hawaii,1077.0,167.0,114.0,122.0,674.0,4.0,1427538.0,
Idaho,182.0,61.0,30.0,24.0,67.0,82.0,1533625.0,
Illinois2,427.0,217.0,22.0,45.0,143.0,1.0,146770.0,
Indiana,5913.0,3000.0,292.0,536.0,2085.0,206.0,4497992.0,
Iowa,1204.0,532.0,95.0,132.0,445.0,200.0,2839614.0,
Kansas,1345.0,657.0,113.0,119.0,456.0,226.0,2325762.0,
Kentucky,2946.0,1332.0,231.0,333.0,1050.0,331.0,4330642.0,
Louisiana,5213.0,2816.0,236.0,382.0,1779.0,185.0,4439478.0,
Maine,249.0,56.0,30.0,30.0,133.0,135.0,1335907.0,
Maryland,11125.0,5002.0,1047.0,958.0,4118.0,146.0,5810386.0,
Massachusetts,4788.0,1227.0,875.0,1012.0,1674.0,328.0,6646961.0,
Michigan,6449.0,2992.0,367.0,576.0,2514.0,619.0,9803009.0,
Minnesota,3619.0,1199.0,251.0,571.0,1598.0,387.0,5539575.0,
Mississippi,1264.0,806.0,49.0,121.0,288.0,69.0,1482371.0,
Missouri,6314.0,3725.0,335.0,430.0,1824.0,560.0,5993489.0,
Montana,295.0,72.0,27.0,48.0,148.0,107.0,1048283.0,
Nebraska,670.0,403.0,47.0,37.0,183.0,54.0,764921.0,
Nevada,4841.0,2154.0,443.0,561.0,1683.0,57.0,2998039.0,
New Hampshire,409.0,82.0,53.0,42.0,232.0,176.0,1292643.0,
New Jersey,7895.0,2718.0,665.0,502.0,4010.0,576.0,9005644.0,
New Mexico,3617.0,1916.0,410.0,351.0,940.0,115.0,1858425.0,
New York,19946.0,3806.0,2391.0,1952.0,11797.0,525.0,19173006.0,
North Carolina,7161.0,4018.0,469.0,624.0,2050.0,277.0,7655991.0,
North Dakota,182.0,41.0,24.0,30.0,87.0,106.0,749938.0,
Ohio,10869.0,3395.0,462.0,801.0,6211.0,458.0,9718364.0,
Oklahoma,2995.0,1449.0,257.0,231.0,1058.0,394.0,3872459.0,
Oregon,2333.0,515.0,280.0,323.0,1215.0,145.0,3751984.0,
Pennsylvania,11707.0,4816.0,865.0,731.0,5295.0,1452.0,12586674.0,
Rhode Island,474.0,125.0,87.0,51.0,211.0,49.0,1059639.0,
South Carolina,3378.0,1946.0,241.0,252.0,939.0,350.0,4075266.0,
South Dakota,224.0,68.0,25.0,31.0,100.0,76.0,732566.0,
Tennessee,7823.0,4489.0,419.0,956.0,1959.0,458.0,6609070.0,
Texas,31526.0,17752.0,2201.0,2554.0,9019.0,951.0,26883394.0,
Utah,1448.0,438.0,202.0,151.0,657.0,122.0,2956234.0,
Vermont,91.0,22.0,17.0,14.0,38.0,71.0,597819.0,
Virginia,3774.0,1968.0,343.0,297.0,1166.0,394.0,8118165.0,
Washington,5161.0,1289.0,518.0,659.0,2695.0,237.0,7259162.0,
West Virginia,460.0,161.0,50.0,70.0,179.0,183.0,1321158.0,
Wisconsin,4337.0,2274.0,253.0,400.0,1410.0,430.0,5739270.0,
Wyoming,75.0,25.0,3.0,11.0,36.0,55.0,550712.0,
