Offense charged,"Total all
ages","Ages
under 15","Ages
under 18","Ages 18
and over","Under
10",10-12,13-14,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,"65 and
over",,
Murder and nonnegligent manslaughter,1193.0,10.0,57.0,1136.0,0.0,2.0,8.0,9.0,15.0,23.0,45.0,51.0,54.0,48.0,40.0,61.0,40.0,245.0,155.0,123.0,97.0,72.0,47.0,35.0,11.0,12.0,,
Rape2,508.0,60.0,112.0,396.0,2.0,23.0,35.0,26.0,15.0,11.0,19.0,13.0,16.0,21.0,15.0,14.0,13.0,56.0,69.0,68.0,37.0,19.0,15.0,13.0,6.0,2.0,,
Robbery,10870.0,352.0,1590.0,9280.0,3.0,33.0,316.0,348.0,466.0,424.0,600.0,536.0,531.0,479.0,433.0,459.0,438.0,1988.0,1451.0,980.0,549.0,385.0,269.0,133.0,32.0,17.0,,
Aggravated assault,71157.0,2037.0,5869.0,65288.0,31.0,464.0,1542.0,1128.0,1340.0,1364.0,1574.0,1834.0,2092.0,2335.0,2448.0,2639.0,2551.0,13120.0,10505.0,8409.0,5428.0,4530.0,3722.0,2360.0,1050.0,691.0,,
Burglary,29455.0,906.0,2834.0,26621.0,19.0,191.0,696.0,615.0,645.0,668.0,1009.0,937.0,931.0,906.0,969.0,936.0,1096.0,5468.0,4735.0,3666.0,2209.0,1621.0,1149.0,599.0,235.0,155.0,,
Larceny-theft,306208.0,8687.0,34946.0,271262.0,117.0,1745.0,6825.0,6634.0,8878.0,10747.0,12621.0,11613.0,10095.0,9290.0,9070.0,9406.0,9619.0,49216.0,43370.0,34875.0,22779.0,18497.0,14246.0,8975.0,4430.0,3160.0,,
Motor vehicle theft,15917.0,646.0,2355.0,13562.0,1.0,72.0,573.0,561.0,602.0,546.0,497.0,524.0,532.0,524.0,584.0,575.0,621.0,3375.0,2588.0,1668.0,904.0,606.0,339.0,139.0,63.0,23.0,,
Arson,1433.0,150.0,256.0,1177.0,6.0,47.0,97.0,39.0,38.0,29.0,30.0,19.0,32.0,18.0,26.0,16.0,36.0,205.0,208.0,174.0,123.0,106.0,76.0,54.0,35.0,19.0,,
Violent crime3,83728.0,2459.0,7628.0,76100.0,36.0,522.0,1901.0,1511.0,1836.0,1822.0,2238.0,2434.0,2693.0,2883.0,2936.0,3173.0,3042.0,15409.0,12180.0,9580.0,6111.0,5006.0,4053.0,2541.0,1099.0,722.0,,
Violent crime percent distribution1,100.0,2.9,9.1,90.9,*,0.6,2.3,1.8,2.2,2.2,2.7,2.9,3.2,3.4,3.5,3.8,3.6,18.4,14.5,11.4,7.3,6.0,4.8,3.0,1.3,0.9,,
Property crime3,353013.0,10389.0,40391.0,312622.0,143.0,2055.0,8191.0,7849.0,10163.0,11990.0,14157.0,13093.0,11590.0,10738.0,10649.0,10933.0,11372.0,58264.0,50901.0,40383.0,26015.0,20830.0,15810.0,9767.0,4763.0,3357.0,,
Property crime percent distribution1,100.0,2.9,11.4,88.6,*,0.6,2.3,2.2,2.9,3.4,4.0,3.7,3.3,3.0,3.0,3.1,3.2,16.5,14.4,11.4,7.4,5.9,4.5,2.8,1.3,1.0,,
Other assaults,239264.0,14155.0,36093.0,203171.0,162.0,3527.0,10466.0,7418.0,7633.0,6887.0,6144.0,6708.0,7065.0,7554.0,7639.0,7999.0,8343.0,39242.0,31879.0,25206.0,17322.0,14406.0,11279.0,6935.0,3113.0,2337.0,,
Forgery and counterfeiting,15005.0,28.0,209.0,14796.0,2.0,11.0,15.0,20.0,40.0,121.0,354.0,555.0,708.0,503.0,448.0,505.0,529.0,2933.0,2741.0,2197.0,1359.0,931.0,535.0,325.0,110.0,63.0,,
Fraud,36309.0,251.0,1218.0,35091.0,2.0,33.0,216.0,193.0,324.0,450.0,611.0,924.0,1009.0,961.0,1048.0,1091.0,1281.0,6863.0,6241.0,5140.0,3440.0,2746.0,1773.0,1062.0,501.0,400.0,,
Embezzlement,6151.0,5.0,215.0,5936.0,0.0,0.0,5.0,14.0,61.0,135.0,312.0,328.0,321.0,284.0,272.0,236.0,219.0,987.0,810.0,735.0,475.0,397.0,251.0,186.0,79.0,44.0,,
"Stolen property; buying, receiving, possessing",17031.0,315.0,1315.0,15716.0,8.0,29.0,278.0,288.0,347.0,365.0,543.0,586.0,559.0,567.0,584.0,682.0,696.0,3574.0,2986.0,2203.0,1227.0,746.0,414.0,224.0,91.0,34.0,,
Vandalism,33289.0,1928.0,5169.0,28120.0,49.0,515.0,1364.0,904.0,1139.0,1198.0,1082.0,1262.0,1190.0,1194.0,1258.0,1231.0,1314.0,5724.0,4453.0,3212.0,1991.0,1604.0,1277.0,749.0,292.0,287.0,,
"Weapons; carrying, possessing, etc.",12059.0,575.0,1506.0,10553.0,10.0,182.0,383.0,264.0,316.0,351.0,357.0,382.0,405.0,459.0,485.0,456.0,481.0,2240.0,1788.0,1311.0,760.0,577.0,428.0,262.0,87.0,75.0,,
Prostitution and commercialized vice,17366.0,18.0,134.0,17232.0,0.0,4.0,14.0,17.0,28.0,71.0,560.0,806.0,968.0,918.0,983.0,876.0,900.0,3813.0,2493.0,1714.0,1137.0,995.0,660.0,272.0,99.0,38.0,,
Sex offenses (except rape and prostitution),2831.0,417.0,767.0,2064.0,14.0,92.0,311.0,140.0,129.0,81.0,81.0,73.0,85.0,65.0,70.0,77.0,71.0,319.0,307.0,273.0,204.0,146.0,143.0,69.0,41.0,40.0,,
Drug abuse violations,309691.0,3244.0,17648.0,292043.0,18.0,495.0,2731.0,2850.0,4390.0,7164.0,12371.0,13638.0,13068.0,12135.0,12024.0,12353.0,12279.0,59903.0,48122.0,36729.0,22263.0,16799.0,11401.0,6129.0,2072.0,757.0,,
Gambling,533.0,11.0,39.0,494.0,0.0,0.0,11.0,7.0,8.0,13.0,9.0,15.0,16.0,7.0,6.0,10.0,7.0,58.0,63.0,53.0,48.0,63.0,45.0,44.0,22.0,28.0,,
Offenses against the family and children,21577.0,382.0,1066.0,20511.0,17.0,92.0,273.0,221.0,240.0,223.0,269.0,328.0,422.0,457.0,587.0,656.0,809.0,4747.0,4503.0,3343.0,1831.0,1137.0,709.0,375.0,183.0,155.0,,
Driving under the influence,195421.0,21.0,1154.0,194267.0,1.0,6.0,14.0,64.0,295.0,774.0,2096.0,3395.0,4230.0,7253.0,7832.0,8098.0,8025.0,36646.0,27926.0,22787.0,17253.0,16313.0,13705.0,9923.0,5208.0,3577.0,,
