Product Brand,Product Number,Description,Ship To,Quantity,Bid Price EA,Bid Price Ext,Sales Tax,,,,,
Cisco,WS-C3560X-24PF-L,Catalyst 3560X 24 Port PoE LAN Base,SF,5,,0,0,,,,,
Cisco,S356XVK9T-12253SE,CAT 3560X IOS UNIVERSAL WITH WEB BASED DEV MGR,SF,5,,0,0,,,,,
Cisco,C3KX-NM-10G,Catalyst 3K-X 10G Network Module option PID,SF,5,,0,0,,,,,
Cisco,CAB-3KX-AC,AC Power Cord for Catalyst 3K-X (North America),SF,5,,0,0,,,,,
Cisco,SFP-10G-LRM=,10GBASE-LRM SFP Module,SF,5,,0,0,,,,,
Cisco,WS-C3560X-48PF-L,Catalyst 3560X 48 Port Full PoE LAN Base,SF,14,,0,0,,,,,
Cisco,S356XVK9T-12253SE,CAT 3560X IOS UNIVERSAL WITH WEB BASED DEV MGR,SF,14,,0,0,,,,,
Cisco,C3KX-NM-10G,Catalyst 3K-X 10G Network Module option PID,SF,14,,0,0,,,,,
Cisco,CAB-3KX-AC,AC Power Cord for Catalyst 3K-X (North America),SF,14,,0,0,,,,,
Cisco,SFP-10G-LRM=,10GBASE-LRM SFP Module,SF,14,,0,0,,,,,
Cisco,WS-C6509-E,"Catalyst 6500 Enhanced 9-slot chassis,15RU,no PS,no Fan Tray",SF,1,,0,0,,,,,
Cisco,SV33ISK9C-12233SXI,Cisco CAT6000-VSS720 IOS IP SERVICES SSH - DEFAULT,SF,1,,0,0,,,,,
Cisco,VS-S720-10G-3C,Cat 6500 Supervisor 720 with 2 ports 10GbE and MSFC3 PFC3C,SF,2,,0,0,,,,,
Cisco,CF-ADAPTER-SP,SP adapter  for SUP720 and SUP720-10G,SF,2,,0,0,,,,,
Cisco,WS-X6708-10G-3C,C6K 8 port 10 Gigabit Ethernet module with DFC3C (req. X2),SF,3,,0,0,,,,,
Cisco,X2-10GB-LRM,10GBASE-LRM X2 Module,SF,21,,0,0,,,,,
Cisco,WS-X6748-GE-TX,"Cat6500 48-port 10/100/1000 GE Mod: fabric enabled, RJ-45",SF,2,,0,0,,,,,
Cisco,WS-C6509-E-FAN,Catalyst 6509-E Chassis Fan Tray,SF,1,,0,0,,,,,
Cisco,WS-CAC-3000W,Catalyst 6500 3000W AC power supply,SF,2,,0,0,,,,,
Cisco,CAB-AC-C6K-TWLK,"Power Cord, 250Vac 16A, twist lock NEMA L6-20 plug, US",SF,2,,0,0,,,,,
Cisco,CON-PREM-WS-C6509,ONSITE 24X7X2 CATALYST 6509,SF,1,,0,0,,,,,
Cisco,C2911-VSEC/K9,"Cisco 2911 Voice Sec. Bundle, PVDM3-16, UC and SEC License P",SF,1,,0,0,,,,,
Cisco,CAB-AC,"AC Power Cord (North America), C13, NEMA 5-15P, 2.1m",SF,1,,0,0,,,,,
Cisco,CON-PREM-2911VSEC,ONSITE 24X7X2 Cisco 2911 Voice Sec.,SF,1,,0,0,,,,,
Cisco,WS-C3560X-24PF-L,Catalyst 3560X 24 Port PoE LAN Base,LA,5,,0,0,,,,,
Cisco,S356XVK9T-12253SE,CAT 3560X IOS UNIVERSAL WITH WEB BASED DEV MGR,LA,5,,0,0,,,,,
Cisco,C3KX-NM-1G,Catalyst 3K-X 1G Network Module option PID,LA,5,,0,0,,,,,
Cisco,CAB-3KX-AC,AC Power Cord for Catalyst 3K-X (North America),LA,5,,0,0,,,,,
Cisco,GLC-SX-MM=,"GE SFP, LC connector SX transceiver",LA,5,,0,0,,,,,
Cisco,WS-C3560X-48PF-L,Catalyst 3560X 48 Port Full PoE LAN Base,LA,13,,0,0,,,,,
Cisco,S356XVK9T-12253SE,CAT 3560X IOS UNIVERSAL WITH WEB BASED DEV MGR,LA,13,,0,0,,,,,
Cisco,C3KX-NM-1G,Catalyst 3K-X 1G Network Module option PID,LA,13,,0,0,,,,,
Cisco,CAB-3KX-AC,AC Power Cord for Catalyst 3K-X (North America),LA,13,,0,0,,,,,
Cisco,GLC-SX-MM=,"GE SFP, LC connector SX transceiver",LA,15,,0,0,,,,,
Cisco,VS-S720-10G-3C=,Cat 6500 Supervisor 720 with 2 ports 10GbE MSFC3 PFC3C,LA,2,,0,0,,,,,
Cisco,SV33ISK9C-12233SXI,Cisco CAT6000-VSS720 IOS IP SERVICES SSH - DEFAULT,LA,2,,0,0,,,,,
Cisco,ASA5520-BUN-K9,"ASA 5520 Appliance with SW, HA, 4GE+1FE, 3DES/AES",LA,1,,0,0,,,,,
Cisco,CAB-AC,"AC Power Cord (North America), C13, NEMA 5-15P, 2.1m",LA,1,,0,0,,,,,
Cisco,SF-ASA-8.3-K8,ASA 5500 Series Software v8.3,LA,1,,0,0,,,,,
Cisco,CON-PREM-AS2BUNK9,"ONSITE 24X7X2 ASA5520 w/300 VPN Prs, 4GE+1FE,3DES/AES",LA,1,,0,0,,,,,
Cisco,ASA5505-BUN-K9,"ASA 5505 Appliance with SW, 10 Users, 8 ports, 3DES/AES",SF (>GA),1,,0,0,,,,,
Cisco,CAB-AC-C5,"AC Power Cord, Type C5, US",SF (>GA),1,,0,0,,,,,
Cisco,SF-ASA5505-8.3-K8,ASA 5505 Series Software v8.3,SF (>GA),1,,0,0,,,,,
Cisco,CON-PREM-AS5BUNK9,ONSITE 24X7X2 ASA5505-BUN-K9,SF (>GA),1,,0,0,,,,,
Cisco,WS-C3560X-24PF-L,Catalyst 3560X 24 Port PoE LAN Base,SF (>LAP),1,,0,0,,,,,
Cisco,S356XVK9T-12253SE,CAT 3560X IOS UNIVERSAL WITH WEB BASED DEV MGR,SF (>LAP),1,,0,0,,,,,
Cisco,C2911-VSEC/K9,"Cisco 2911 Voice Sec. Bundle, PVDM3-16, UC and SEC License P",SF,1,,0,0,,,,,
Cisco,CAB-AC,"AC Power Cord (North America), C13, NEMA 5-15P, 2.1m",SF,1,,0,0,,,,,
Cisco,CON-PREM-2911VSEC,ONSITE 24X7X2 Cisco 2911 Voice Sec.,SF,1,,0,0,,,,,
,,,,,,0,0,,,,,
,,,,,,0,0,,,,,
