,Democratic,Republican,Undeclared,Total,,1.0
Alton,768.0,1657.0,1710.0,4135.0,,219.0
Barnstead,809.0,965.0,1675.0,3449.0,,230.0
Belmont,1457.0,1812.0,1660.0,4929.0,,400.0
Center Harbor,222.0,372.0,298.0,892.0,,52.0
Gilford,1485.0,2321.0,2503.0,6309.0,,214.0
Gilmanton,570.0,890.0,1118.0,2578.0,,166.0
Laconia Wd1,493.0,769.0,906.0,2168.0,,239.0
Laconia Wd2,477.0,563.0,714.0,1754.0,,208.0
Laconia Wd3,517.0,576.0,588.0,1681.0,,174.0
Laconia Wd4,552.0,560.0,644.0,1756.0,,178.0
Laconia Wd5,466.0,460.0,600.0,1526.0,,180.0
Laconia Wd6*,600.0,838.0,776.0,2214.0,,197.0
Meredith,1077.0,1757.0,2310.0,5144.0,,276.0
New Hampton,406.0,544.0,689.0,1639.0,,135.0
Sanbornton,786.0,842.0,819.0,2447.0,,152.0
Tilton,806.0,844.0,1020.0,2670.0,,200.0
