36837.0,"Flanders, r",Recount,"Trombly, d",Recount,Scatter
Antrim,659.0,662.0,447.0,449.0,0.0
Bennington,352.0,353.0,236.0,243.0,1.0
Boscawen,488.0,482.0,901.0,905.0,1.0
Bradford,383.0,381.0,403.0,399.0,0.0
Canterbury,464.0,466.0,663.0,674.0,0.0
Deering,430.0,433.0,349.0,353.0,0.0
Francestown,439.0,435.0,383.0,384.0,1.0
Franklin Ward 1,482.0,488.0,548.0,551.0,0.0
Franklin Ward 2,366.0,369.0,418.0,429.0,0.0
Franklin Ward 3,480.0,477.0,565.0,565.0,0.0
Henniker,963.0,963.0,1011.0,1015.0,3.0
Hillsborough,1031.0,1103.0,834.0,879.0,0.0
Northfield,810.0,812.0,814.0,814.0,1.0
Salisbury,291.0,291.0,304.0,305.0,0.0
Warner,631.0,632.0,711.0,714.0,1.0
Weare,1836.0,1839.0,1363.0,1366.0,3.0
Webster,369.0,369.0,433.0,434.0,0.0
Windsor,38.0,54.0,35.0,41.0,0.0
