Index,Label,Date,Type,2001-11-01 00:00:00,2001-11-02 00:00:00,2001-11-03 00:00:00,2001-11-04 00:00:00,2001-11-05 00:00:00,2001-11-06 00:00:00,2001-11-07 00:00:00,2001-11-08 00:00:00,2001-11-09 00:00:00,2001-11-10 00:00:00,2001-11-11 00:00:00,2001-11-12 00:00:00,2001-11-13 00:00:00,2001-11-14 00:00:00,2001-11-15 00:00:00,2001-11-16 00:00:00,2001-11-17 00:00:00,2001-11-18 00:00:00,2001-11-19 00:00:00,2001-11-20 00:00:00,2001-11-21 00:00:00,2001-11-22 00:00:00,2001-11-23 00:00:00,2001-11-24 00:00:00,2001-11-25 00:00:00,2001-11-26 00:00:00,2001-11-27 00:00:00,2001-11-28 00:00:00,2001-11-29 00:00:00,2001-11-30 00:00:00,TOTALS,
1,EPMI-MID E F Enron_MTA  Non_Physical,2001-11-01 00:00:00,Quantity,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-168,-5040,
1,EPMI-MID E F Enron_MTA  Non_Physical,2001-11-01 00:00:00,Price,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-3242.4,-97272,
2,EPMI-MID (BOM #1) E F Enron_MTA Non_Physical,2001-11-01 00:00:00,Quantity,0,0,0,0,0,0,0,0,0,-800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-800,
2,EPMI-MID (BOM #1) E F Enron_MTA Non_Physical,2001-11-01 00:00:00,Price,0,0,0,0,0,0,0,0,0,-23200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23200,
4,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
4,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
5,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
5,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
6,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
6,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,0,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
7,MID1-MID (EPMI) (NP Daily) E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,-160,-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-320,
7,MID1-MID (EPMI) (NP Daily) E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,-3816,-3816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7632,
8,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
8,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,0,0,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
9,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,0,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
9,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,0,0,0,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
10,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,0,0,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
10,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,0,0,0,0,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
11,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,0,0,0,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
11,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,0,0,0,0,0,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
12,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,0,0,0,0,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
12,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,0,0,0,0,0,0,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
13,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,0,0,0,0,0,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
13,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,0,0,0,0,0,0,0,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
14,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,0,0,0,0,0,0,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
14,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,0,0,0,0,0,0,0,0,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
15,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,0,0,0,0,0,0,0,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
15,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,0,0,0,0,0,0,0,0,0,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
16,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,0,0,0,0,0,0,0,0,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
16,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,0,0,0,0,0,0,0,0,0,0,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
17,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
17,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,0,0,0,0,0,0,0,0,0,0,0,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
18,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
18,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
19,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Quantity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168,
19,MID1-MID (EPMI) [LTDeal#1] E F Enron_MTA Energy,2001-11-01 00:00:00,Price,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50400,
