Units Using Interstate Gas Prices,,% Fixed,% Spot,MMBtus,Weighted Avg. Price,Cost of Gas Burn,,,,,
,Rio Grande 8,1,0,#NAME?,2.09,#NAME?,,,,,
,Rio Grande 7,1,0,#NAME?,2.09,#NAME?,,,,,
,Rio Grande 6,1,0,#NAME?,2.09,#NAME?,,,,,
,Total,,,#NAME?,,#NAME?,,,,,
Units Using Intrastate Gas Prices,,,,,,,,,,,
,Copper,1,0,#NAME?,1.96,#NAME?,,,,,
,Newman 4,1,0,#NAME?,1.96,#NAME?,,0,1,,
,GT1+ST1,1,0,#NAME?,1.96,#NAME?,,,,,
,GT2+ST1,1,0,#NAME?,1.96,#NAME?,,,,,
,Newman 3,1,0,#NAME?,1.96,#NAME?,,,,,
,Newman 2,1,0,#NAME?,1.96,#NAME?,,,,,
,Newman 1,1,0,#NAME?,1.96,#NAME?,,,,,
,GT 1,1,0,#NAME?,1.96,#NAME?,,,,,
,GT 2,1,0,#NAME?,1.96,#NAME?,,,,,
,,,,#NAME?,,#NAME?,,,,,
