,,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0
Stockport Casualties,,1605.0,1554.0,1465.0,1508.0,1558.0,1696.0,1574.0,1566.0,1544.0,1591.0,1434.0,1431.0,1329.0,1205.0,1164.0,1116.0,1013.0,1044.0,888.0,805.0,716.0
Stockport KSI Casualties,,167.0,164.0,153.0,134.0,153.0,142.0,110.0,122.0,103.0,77.0,93.0,80.0,72.0,100.0,99.0,64.0,80.0,79.0,80.0,77.0,71.0
Greater Manchester Casualties,,16424.0,17173.0,16096.0,16505.0,16196.0,16900.0,16189.0,16476.0,16948.0,17025.0,16489.0,16990.0,15896.0,14832.0,14146.0,13543.0,12805.0,11795.0,10702.0,9881.0,9303.0
TWPV Rider,,141.0,121.0,101.0,80.0,75.0,67.0,48.0,47.0,58.0,52.0,64.0,85.0,80.0,84.0,72.0,61.0,71.0,63.0,61.0,55.0,42.0
TWPV Pillion,,5.0,15.0,11.0,4.0,3.0,13.0,3.0,7.0,3.0,2.0,6.0,2.0,1.0,4.0,5.0,2.0,5.0,4.0,2.0,2.0,3.0
Car Driver,,528.0,540.0,547.0,617.0,676.0,727.0,755.0,689.0,659.0,714.0,591.0,588.0,544.0,505.0,489.0,470.0,425.0,444.0,376.0,341.0,292.0
Car Passenger,,301.0,314.0,303.0,328.0,340.0,412.0,327.0,369.0,368.0,360.0,316.0,314.0,295.0,252.0,230.0,221.0,199.0,209.0,166.0,154.0,137.0
Pedestrian,,317.0,307.0,270.0,248.0,249.0,246.0,195.0,220.0,229.0,233.0,220.0,223.0,176.0,177.0,173.0,201.0,162.0,144.0,151.0,134.0,129.0
Cyclist (Rider Only),,157.0,158.0,149.0,123.0,118.0,116.0,132.0,115.0,102.0,103.0,115.0,102.0,97.0,90.0,86.0,70.0,79.0,89.0,70.0,64.0,75.0
PCV Passenger,,107.0,39.0,45.0,51.0,41.0,57.0,72.0,73.0,78.0,67.0,63.0,57.0,86.0,51.0,64.0,47.0,39.0,51.0,33.0,32.0,15.0
Driver/Rider,,53.0,51.0,59.0,37.0,30.0,36.0,47.0,36.0,30.0,33.0,50.0,42.0,34.0,26.0,34.0,20.0,29.0,28.0,18.0,12.0,23.0
Passenger,,65.0,71.0,68.0,80.0,68.0,107.0,105.0,89.0,100.0,91.0,73.0,66.0,86.0,55.0,59.0,68.0,31.0,57.0,21.0,31.0,30.0
Pedestrian,,123.0,108.0,97.0,85.0,91.0,99.0,81.0,80.0,94.0,89.0,93.0,87.0,78.0,68.0,61.0,68.0,50.0,47.0,45.0,39.0,31.0
  0 – 4,,36.0,41.0,29.0,32.0,26.0,34.0,26.0,27.0,29.0,30.0,21.0,16.0,22.0,12.0,13.0,9.0,8.0,11.0,10.0,7.0,12.0
  5 – 9 - pupil to/from school,,7.0,10.0,10.0,5.0,6.0,8.0,6.0,5.0,4.0,7.0,7.0,1.0,1.0,6.0,7.0,5.0,0.0,0.0,2.0,0.0,1.0
 5 - 9 pupil not to/from school,,73.0,67.0,69.0,59.0,60.0,59.0,66.0,47.0,63.0,52.0,56.0,56.0,47.0,37.0,40.0,28.0,20.0,34.0,18.0,18.0,21.0
10 – 15 - pupil to/from school,,28.0,39.0,17.0,24.0,17.0,36.0,34.0,33.0,29.0,38.0,27.0,16.0,39.0,16.0,21.0,42.0,22.0,13.0,11.0,1.0,4.0
10-15 - pupil not to/from school,,97.0,73.0,99.0,82.0,80.0,105.0,101.0,93.0,99.0,86.0,105.0,106.0,89.0,78.0,73.0,72.0,60.0,74.0,43.0,56.0,46.0
Fatal,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serious,,7.0,8.0,7.0,5.0,2.0,4.0,2.0,3.0,5.0,1.0,3.0,2.0,3.0,4.0,6.0,6.0,3.0,2.0,7.0,1.0,3.0
Slight,,41.0,49.0,35.0,49.0,35.0,44.0,37.0,37.0,35.0,43.0,27.0,29.0,34.0,34.0,38.0,70.0,24.0,45.0,21.0,14.0,16.0
