Sector,Source,Fuel Type,BEIS EF Year1,kgCO2e per kWh CO2,CH4,N2O,GHG,Source,
Domestic,Electricity,Generation,2017,0.28088,0.00660,0.00153,0.2831,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,
,,T&D losses,2017,0.02394,0.00006,0.00013,0.0241,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,
,Gas,Natural Gas (Gross CV),2017,0.18362,0.00024,0.00010,0.1840,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,
,Coal,Coal (domestic),2017,0.32153,0.00089,0.00239,0.3248,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,
,Oil,Gas Oil,2017,0.25359,0.00028,0.02265,0.2765,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,
Commercial and industrial,Electricity,Generation,2017,0.28088,0.00660,0.00153,0.2831,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,
,,T&D losses,2017,0.02394,0.00006,0.00013,0.0241,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,
,Gas,Natural Gas (Gross CV),2017,0.18362,0.00024,0.00010,0.18396,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,
,Coal,Coal (industrial),2017,0.32153,0.00089,0.00239,0.32482,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,
,Oil [Petroleum],Fuel Oil,2017,0.25359,0.00028,0.02265,0.27652,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,
,Waste and Renewables,Waste and Renewables,,0.13491,0.00085,0.00295,0.1387,Data and expert knowledge were provided by Ricardo-AEA. ,
Transport,Rail 'diesel',Gas Oil,2017,0.25359,0.00028,0.02265,0.2763,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018
,Electricity,Generation,2017,0.28088,0.00660,0.00153,0.2831,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018
,,T&D losses,2017,0.02394,0.00006,0.00013,0.0241,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018
