,,Number of eligible children in need at the end of key stage 4,,Number achieving: Any pass,5+ A*-G grades,5+ A*-G grades (including English and mathematics),5+ A*-C grades,5+ A*-C grades (including English and mathematics),,Percentage achieving: Any pass,5+ A*-G grades,5+ A*-G grades (including English and mathematics),5+ A*-C grades,5+ A*-C grades (including English and mathematics),,Number of eligible children in need at the end of key stage 4,,Number achieving: Any pass,5+ A*-G grades,5+ A*-G grades (including English and mathematics),5+ A*-C grades,5+ A*-C grades (including English and mathematics),,Percentage achieving: Any pass,5+ A*-G grades,5+ A*-G grades (including English and mathematics),5+ A*-C grades,5+ A*-C grades (including English and mathematics)
,England5,"13,900",,"10,100","7,000","6,400","2,600","2,000",,72.4,50.7,45.8,19.0,14.5,,"13,800",,"10,000","7,100","6,400",2700,2100.0,,72.5,51.0,46.2,19.4,14.9
841,Darlington,33,,25,14,12,x,x,,75.8,42.4,36.4,x,x,,33,,25,14,12,x,x,,75.8,42.4,36.4,x,x
840,Durham,141,,119,78,75,34,30,,84.4,55.3,53.2,24.1,21.3,,141,,119,79,75,34,30.0,,84.4,56.0,53.2,24.1,21.3
390,Gateshead,45,,25,14,13,x,x,,55.6,31.1,28.9,x,x,,45,,25,14,13,x,x,,55.6,31.1,28.9,x,x
805,Hartlepool,48,,34,23,20,x,x,,70.8,47.9,41.7,x,x,,47,,34,23,20,x,x,,72.3,48.9,42.6,x,x
806,Middlesbrough,79,,60,47,42,16,13,,75.9,59.5,53.2,20.3,16.5,,79,,60,47,42,16,13.0,,75.9,59.5,53.2,20.3,16.5
391,Newcastle Upon Tyne,69,,44,29,26,8,x,,63.8,42.0,37.7,11.6,x,,69,,44,29,26,9,6.0,,63.8,42.0,37.7,13,8.7
392,North Tyneside,39,,26,24,23,10,7,,66.7,61.5,59.0,25.6,17.9,,39,,26,24,23,10,7.0,,66.7,61.5,59.0,25.6,17.9
929,Northumberland,172,,115,84,80,30,28,,66.9,48.8,46.5,17.4,16.3,,172,,115,85,81,30,28.0,,66.9,49.4,47.1,17.4,16.3
807,Redcar and Cleveland,42,,29,20,16,x,x,,69.0,47.6,38.1,x,x,,42,,29,20,16,x,x,,69.0,47.6,38.1,x,x
393,South Tyneside,50,,41,31,30,12,7,,82.0,62.0,60.0,24.0,14.0,,50,,41,31,30,12,8.0,,82.0,62.0,60.0,24,16
808,Stockton-On-Tees,65,,44,36,33,13,11,,67.7,55.4,50.8,20.0,16.9,,65,,44,36,33,13,11.0,,67.7,55.4,50.8,20,16.9
394,Sunderland,134,,109,82,74,25,16,,81.3,61.2,55.2,18.7,11.9,,134,,109,82,74,26,17.0,,81.3,61.2,55.2,19.4,12.7
889,Blackburn with Darwen,64,,37,30,23,13,12,,57.8,46.9,35.9,20.3,18.8,,64,,37,30,25,14,13.0,,57.8,46.9,39.1,21.9,20.3
890,Blackpool,79,,56,38,30,9,8,,70.9,48.1,38.0,11.4,10.1,,79,,56,38,30,9,8.0,,70.9,48.1,38.0,11.4,10.1
350,Bolton,68,,59,37,33,17,12,,86.8,54.4,48.5,25.0,17.6,,68,,59,37,33,17,13.0,,86.8,54.4,48.5,25,19.1
351,Bury,53,,38,27,21,9,x,,71.7,50.9,39.6,17.0,x,,52,,37,27,21,9,x,,71.2,51.9,40.4,17.3,x
895,Cheshire East,82,,71,47,45,18,11,,86.6,57.3,54.9,22.0,13.4,,82,,71,47,45,18,12.0,,86.6,57.3,54.9,22,14.6
896,Cheshire West and Chester,65,,54,35,34,13,11,,83.1,53.8,52.3,20.0,16.9,,66,,54,35,34,14,12.0,,81.8,53.0,51.5,21.2,18.2
909,Cumbria,147,,100,73,70,27,24,,68.0,49.7,47.6,18.4,16.3,,146,,102,73,70,27,24.0,,69.9,50.0,47.9,18.5,16.4
876,Halton,47,,37,25,23,11,9,,78.7,53.2,48.9,23.4,19.1,,47,,37,25,23,11,9.0,,78.7,53.2,48.9,23.4,19.1
340,Knowsley,67,,43,28,26,8,6,,64.2,41.8,38.8,11.9,9.0,,67,,43,28,26,8,6.0,,64.2,41.8,38.8,11.9,9
888,Lancashire,273,,206,144,130,57,52,,75.5,52.7,47.6,20.9,19.0,,272,,206,145,131,57,52.0,,75.7,53.3,48.2,21,19.1
341,Liverpool,154,,99,65,60,32,22,,64.3,42.2,39.0,20.8,14.3,,154,,99,65,60,32,22.0,,64.3,42.2,39.0,20.8,14.3
352,Manchester,114,,81,45,39,24,17,,71.1,39.5,34.2,21.1,14.9,,114,,81,45,39,25,18.0,,71.1,39.5,34.2,21.9,15.8
353,Oldham,69,,49,33,29,10,8,,71.0,47.8,42.0,14.5,11.6,,68,,48,33,29,11,8.0,,70.6,48.5,42.6,16.2,11.8
354,Rochdale,75,,54,32,26,7,6,,72.0,42.7,34.7,9.3,8.0,,74,,53,32,26,7,6.0,,71.6,43.2,35.1,9.5,8.1
355,Salford,67,,60,43,37,14,11,,89.6,64.2,55.2,20.9,16.4,,67,,60,43,37,15,12.0,,89.6,64.2,55.2,22.4,17.9
343,Sefton,55,,34,23,22,10,7,,61.8,41.8,40.0,18.2,12.7,,55,,34,24,22,10,7.0,,61.8,43.6,40.0,18.2,12.7
342,St Helens,83,,50,26,23,6,6,,60.2,31.3,27.7,7.2,7.2,,83,,50,26,23,6,6.0,,60.2,31.3,27.7,7.2,7.2
356,Stockport,71,,51,36,28,14,7,,71.8,50.7,39.4,19.7,9.9,,70,,50,36,28,14,7.0,,71.4,51.4,40.0,20,10
357,Tameside,41,,23,13,12,x,x,,56.1,31.7,29.3,x,x,,40,,22,13,12,x,x,,55.0,32.5,30.0,x,x
358,Trafford,72,,59,43,39,13,9,,81.9,59.7,54.2,18.1,12.5,,72,,59,43,39,15,10.0,,81.9,59.7,54.2,20.8,13.9
877,Warrington,47,,35,17,16,6,x,,74.5,36.2,34.0,12.8,x,,46,,35,17,16,6,x,,76.1,37.0,34.8,13,x
359,Wigan,96,,74,49,43,20,13,,77.1,51.0,44.8,20.8,13.5,,96,,74,49,43,20,13.0,,77.1,51.0,44.8,20.8,13.5
344,Wirral,128,,103,64,59,32,26,,80.5,50.0,46.1,25.0,20.3,,128,,103,65,59,32,28.0,,80.5,50.8,46.1,25,21.9
370,Barnsley,78,,57,36,32,14,13,,73.1,46.2,41.0,17.9,16.7,,76,,56,37,32,14,13.0,,73.7,48.7,42.1,18.4,17.1
380,Bradford,115,,72,52,42,11,10,,62.6,45.2,36.5,9.6,8.7,,115,,72,53,42,12,11.0,,62.6,46.1,36.5,10.4,9.6
381,Calderdale,47,,37,28,26,7,x,,78.7,59.6,55.3,14.9,x,,47,,38,29,28,8,6.0,,80.9,61.7,59.6,17,12.8
371,Doncaster,70,,52,40,39,11,7,,74.3,57.1,55.7,15.7,10.0,,70,,52,40,39,11,7.0,,74.3,57.1,55.7,15.7,10
811,East Riding of Yorkshire,85,,65,48,48,23,17,,76.5,56.5,56.5,27.1,20.0,,85,,65,48,48,23,17.0,,76.5,56.5,56.5,27.1,20
810,"Kingston Upon Hull, City of",141,,114,84,74,34,21,,80.9,59.6,52.5,24.1,14.9,,143,,116,86,76,35,23.0,,81.1,60.1,53.1,24.5,16.1
382,Kirklees,73,,38,28,26,12,10,,52.1,38.4,35.6,16.4,13.7,,73,,38,28,26,12,10.0,,52.1,38.4,35.6,16.4,13.7
383,Leeds,241,,190,126,119,43,37,,78.8,52.3,49.4,17.8,15.4,,238,,188,126,119,44,39.0,,79.0,52.9,50.0,18.5,16.4
812,North East Lincolnshire,88,,60,36,33,12,7,,68.2,40.9,37.5,13.6,8.0,,88,,60,36,33,12,7.0,,68.2,40.9,37.5,13.6,8
813,North Lincolnshire,35,,26,19,17,x,x,,74.3,54.3,48.6,x,x,,34,,26,19,17,x,x,,76.5,55.9,50.0,x,x
815,North Yorkshire,136,,95,58,56,19,12,,69.9,42.6,41.2,14.0,8.8,,134,,93,58,56,19,12.0,,69.4,43.3,41.8,14.2,9
372,Rotherham,105,,83,54,49,10,7,,79.0,51.4,46.7,9.5,6.7,,105,,83,55,50,10,7.0,,79.0,52.4,47.6,9.5,6.7
373,Sheffield,158,,119,89,83,27,22,,75.3,56.3,52.5,17.1,13.9,,157,,118,89,83,28,22.0,,75.2,56.7,52.9,17.8,14
