Financial Year,Quarter,"Legal help1 New 
matters 
started2",Claims submitted,Housing Possession court duty scheme starts (HPCDS),Completed HPCDS,Telephone Operator Service,Community legal advice centre,Civil representation Applications received,Certificates granted,Certificates closed
2000-01,,"803,828","761,583",-,-,-,-,..,..,..
2001-02,,"764,697","748,890",-,-,-,-,,,
2002-03,,"811,848","798,033",-,-,-,-,..,..,..
2003-04,,"709,769","756,569",-,-,-,-,..,..,..
2004-05,,"654,267","715,837",-,-,-,-,..,..,..
2005-06,,"783,455","786,522",-,-,-,-,..,..,..
2006-07 (r),,"851,023","876,071",-,-,-,-,"191,444","157,722",..
2007-08 (r),,"807,459","735,436",-,-,-,-,"173,190","144,866",..
2008-09 (r),,"886,862","756,446","33,842",-,"235,947","6,950","183,438","152,660","153,265"
2009-10 (r),,"933,815","905,950","31,831",-,"290,574","9,538","203,329","168,406","137,621"
2010-11 (r),,"785,376","812,926","29,625",-,"264,339","18,515","187,592","153,613","129,440"
2011-12 ,Apr-Jun (r),"171,392","174,705",..,..,"55,221",..,"42,787","34,872","31,242"
,Jul-Sep (r),"177,174","166,331",..,..,"51,637",..,"45,622","37,579","36,799"
,Oct-Dec (r),"155,333","161,156",..,..,"42,429",..,"43,406","37,533","34,155"
,Jan-Mar (r),"175,870","171,906",..,..,"51,450",..,"44,562","38,310","35,800"
2012-13,Apr-Jun (r),"154,300","156,049",..,..,"44,067",..,"43,543","36,143","34,462"
,Jul-Sep (r),"153,815","154,321",..,..,"43,781",..,"45,517","37,794","32,885"
,Oct-Dec (r),"131,105","144,986",..,..,"31,871",..,"44,278","36,460","34,694"
,Jan-Mar (r),"134,490","144,594",..,..,"35,226",..,"57,797","40,136","35,034"
2013-14,Apr-Jun (r),"41,416","107,686","12,170",..,"46,818",..,"35,369","34,900","36,481"
,Jul-Sep (r),"43,912","81,548","11,462",..,"41,659",..,"27,242","25,264","35,246"
,Oct-Dec (r),"42,121","65,571","10,257",..,"35,287",..,"27,581","23,658","36,643"
,Jan-Mar (r),"46,112","61,471","10,971",..,"38,151",..,"27,364","24,772","39,513"
2014-15,Apr-Jun (r),"41,581","50,357","10,771","12,023","33,333",..,"26,540","23,481","34,190"
,Jul-Sep (r),"43,261","49,376","11,420","11,323","36,418",..,"27,865","24,078","30,614"
,Oct-Dec (r),"42,763","46,410","11,404","10,218","31,322",..,"26,301","22,278","28,428"
,Jan-Mar (r),"43,945","48,697","13,150","11,027","34,855",..,"27,114","23,051","26,661"
2015-16,Apr-Jun (r),"41,084","44,685","9,792","10,234","37,151",..,"26,759","24,150","26,325"
,Jul-Sep (r),"39,905","41,952","9,590","10,206","34,781",..,"27,778","26,314","24,670"
,Oct-Dec (r),"38,524","39,846","9,001","9,678","31,234",..,"27,774","24,890","22,938"
,Jan-Mar,"38,210","41,203","10,347","11,337","33,178",..,"28,837","25,383","25,065"
