Numbers  Charge and outcome,Time of arrest Jul-Sep 2015,Oct-Dec 2015,Jan-Mar 2016,Apr-Jun 2016,Jul-Sep 2016,Oct-Dec 2016,Jan-Mar 2017,Apr-Jun 2017,Jul-Sep 2017,,Total year ending 30 Sep 2016,30 Sep 2017,,Change4,,Great Britain Total since Sep 11 2001
Charged3,2,5,5,9,4,3,7,5,3,,23,18,,-5,,453
of which:,,,,,,,,,,,,,,0,,
Not proceeded against,-,2,1,-,-,-,-,-,-,,3,-,,-3,,62
Awaiting prosecution,2,-,-,1,1,-,3,3,2,,2,8,,6,,13
Other outcome5,-,-,1,-,-,-,-,-,1,,1,1,,0,,3
Prosecuted,-,3,3,8,3,3,4,2,-,,17,9,,-8,,375
Convicted6,-,2,2,8,3,3,3,2,-,,15,8,,-7,,349
TACT offences7,-,-,-,-,-,-,-,-,-,,-,-,,0,,-
Schedule 7 TACT8,-,-,-,-,-,-,-,-,-,,-,-,,0,,-
Other legislation (non-TACT) - terrorism related9,-,-,-,1,-,-,-,-,-,,1,-,,-1,,1
Other legislation (non-TACT) - non-terrorism related10,-,2,2,7,3,3,3,2,-,,14,8,,-6,,348
Found not guilty,-,1,1,-,-,-,1,-,-,,2,1,,-1,,26
