Offence description and legislation,Time of arrest Jul-Sep 2016,Oct-Dec 2016,Jan-Mar 2017,Apr-Jun 2017,Jul-Sep 2017,Oct-Dec 2017,Jan-Mar 2018,Apr-Jun 2018,Jul-Sep 2018,,Total year ending 30 Sep 2017,30 Sep 2018,,Total since Sep 11 2001
Conspiracy to defraud,-,-,-,-,-,-,-,-,-,,-,-,,16
Perverting the course of justice,-,-,-,-,-,2,-,1,-,,-,3,,14
Murder,-,-,-,-,-,-,-,-,-,,-,-,,1
Conspiracy to make or possess explosives,-,-,-,-,-,-,-,-,-,,-,-,,1
Kidnapping,-,-,-,-,-,-,-,-,-,,-,-,,1
Wounding with intent to do grievous bodily harm,-,-,-,-,-,-,-,-,-,,-,-,,6
Assault occasioning bodily harm,-,-,-,-,-,-,-,-,-,,-,-,,1
Possession of noxious substances,-,-,-,-,-,-,-,-,-,,-,-,,1
Threats to kill,-,-,-,-,-,-,-,-,-,,-,-,,1
Soliciting to commit murder,-,-,-,-,-,-,-,-,-,,-,-,,1
Conspiracy to defraud,2,-,-,-,1,-,-,-,-,,1,-,,15
Offences related to bomb hoaxes,-,-,-,-,-,-,-,-,1,,-,1,,12
Conspiracy to supply drugs,-,-,-,-,-,-,-,-,-,,-,-,,8
Conspiracy to commit robbery,-,-,-,-,-,-,-,-,-,,-,-,,5
Conspiracy to disguise criminal property,2,-,-,-,-,-,-,-,-,,-,-,,5
Conspiracy to purchase ammunition without a valid licence,-,-,-,-,-,-,-,-,-,,-,-,,4
Assisting offenders by impeding their prosecution,-,-,-,-,-,-,-,-,-,,-,-,,3
Conspiracy to pervert the course of justice,-,-,-,-,-,-,-,-,-,,-,-,,2
Conspiracy to receive property,-,-,-,-,-,-,-,-,-,,-,-,,2
Conspiracy to obtain property by deception,-,-,-,-,-,-,-,-,-,,-,-,,2
Conspiracy to possess a firearm with intent to endanger life,-,-,-,-,-,-,-,-,-,,-,-,,1
Conspiracy to traffic within the UK for Sexual Exploitation,-,-,-,-,-,-,-,-,-,,-,-,,1
Conspiracy to acquire criminal property,-,-,-,-,-,-,1,-,-,,-,1,,1
Conspiracy to steal,-,-,-,-,-,-,-,-,-,,-,-,,1
Conspiracy to covert a firearm,-,-,-,-,-,-,-,-,-,,-,-,,1
