col_0,col_1,col_2,col_3
-0.10000,0.0,,
-0.09500,0.0,,
-0.09000,0.0,,
-0.08500,0.0,,
-0.08000,1.0,,
-0.07500,2.0,,
-0.07000,1.0,,
-0.06500,3.0,,
-0.06000,8.0,,
-0.05500,13.0,,
-0.05000,27.0,,
-0.04500,37.0,,
-0.04000,59.0,,
-0.03500,99.0,,
-0.03000,156.0,,
-0.02500,211.0,,
-0.02000,274.0,,
-0.01500,369.0,,
-0.01000,477.0,,
-0.00500,549.0,,
0.00000,638.0,,
0.00500,791.0,,
0.01000,894.0,,
0.01500,972.0,,
0.02000,1019.0,,
0.02500,1135.0,,
0.03000,1330.0,,
0.03500,1370.0,,
0.04000,1437.0,,
0.04500,1477.0,,
0.05000,1514.0,,
0.05500,1398.0,,
0.06000,1270.0,,
0.06500,1167.0,,
0.07000,951.0,,
0.07500,745.0,,
0.08000,545.0,,
0.08500,365.0,,
0.09000,244.0,,
0.09500,159.0,,
0.10000,91.0,,
0.10500,52.0,,
0.11000,43.0,,
0.11500,29.0,,
0.12000,25.0,,
0.12500,21.0,,
0.13000,16.0,,
0.13500,14.0,,
0.14000,17.0,,
0.14500,22.0,,
0.15000,24.0,,
0.15500,26.0,,
0.16000,16.0,,
0.16500,12.0,,
0.17000,15.0,,
0.17500,22.0,,
0.18000,26.0,,
0.18500,37.0,,
0.19000,35.0,,
0.19500,34.0,,
0.20000,41.0,,
0.20500,37.0,,
0.21000,49.0,,
0.21500,68.0,,
0.22000,83.0,,
0.22500,120.0,,
0.23000,151.0,,
0.23500,175.0,,
0.24000,233.0,,
0.24500,269.0,,
0.25000,329.0,,
0.25500,359.0,,
0.26000,370.0,,
0.26500,416.0,,
0.27000,418.0,,
0.27500,412.0,,
0.28000,424.0,,
0.28500,387.0,,
0.29000,339.0,,
0.29500,289.0,,
0.30000,231.0,,
0.30500,204.0,,
0.31000,161.0,,
0.31500,120.0,,
0.32000,81.0,,
0.32500,71.0,,
0.33000,43.0,,
0.33500,31.0,,
