sess 	discvr,rnd offint,aid rej,bid aid2,dist bid2,mssg Ldum,offer Hdum,acc YL,apay YH,bpay NL,NH,Scrdum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scr1,,1,1,16,L,Y,,76,Y,,76,101,,1.0,,1.0,,0.0,,101.0,,116.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,
Scr1,,1,2,14,L,N,150,Y,150,150,,0,,1.0,,0.0,,102.0,,114.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,,,,
Scr1,,1,3,17,L,N,,75,Y,,75,,75.0,,0.0,,1.0,,0.0,,103.0,,117.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,
Scr1,,1,4,11,H,Y,385,Y,385,410,,1,,3.0,,0.0,,104.0,,111.0,,0.0,,1.0,,0.0,,1.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,1,5,12,L,Y,150,Y,150,175,,1,,1.0,,0.0,,105.0,,112.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,1,6,15,L,N,500,Y,500,500,,0,,3.0,,0.0,,106.0,,115.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,,,,
Scr1,,1,7,13,H,N,615,Y,615,615,,0,,4.0,,0.0,,107.0,,113.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,1.0,,,,,,,
Scr1,,2,1,14,L,Y,125,Y,125,150,,1,,1.0,,0.0,,101.0,,114.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,2,2,11,L,Y,100,Y,100,125,,1,,1.0,,0.0,,102.0,,111.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,2,3,15,L,Y,200,Y,200,225,,1,,1.0,,0.0,,103.0,,115.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,2,4,12,L,Y,,80,Y,,80,105,,1.0,,1.0,,0.0,,104.0,,112.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,
Scr1,,2,5,17,H,N,100,N,375,525,,0,,1.0,,1.0,,105.0,,117.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,1.0,,,,,,,
Scr1,,2,6,13,L,Y,135,Y,135,160,,1,,1.0,,0.0,,106.0,,113.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,2,7,16,H,Y,376,Y,376,401,,1,,3.0,,0.0,,107.0,,116.0,,0.0,,1.0,,0.0,,1.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,3,1,16,L,Y,,76,N,,75,250,,1.0,,1.0,,1.0,,101.0,,116.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,
Scr1,,3,2,14,L,Y,125,Y,125,150,,1,,1.0,,0.0,,102.0,,114.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,3,3,11,L,Y,100,Y,100,125,,1,,1.0,,0.0,,103.0,,111.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,3,4,13,L,N,185,Y,185,185,,0,,1.0,,0.0,,104.0,,113.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,,,,
Scr1,,3,5,15,L,N,100,Y,100,100,,0,,1.0,,0.0,,105.0,,115.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,,,,
Scr1,,3,6,17,L,N,,95,Y,,95,,95.0,,0.0,,1.0,,0.0,,106.0,,117.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,
Scr1,,3,7,12,H,Y,375,N,375,550,,1,,3.0,,1.0,,107.0,,112.0,,0.0,,1.0,,0.0,,1.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,4,1,17,L,Y,,98,Y,,98,123,,1.0,,1.0,,0.0,,101.0,,117.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,
Scr1,,4,2,13,H,N,,60,N,375,525,,0.0,,0.0,,1.0,,102.0,,113.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,1.0,,,,,,
Scr1,,4,3,14,L,Y,125,Y,125,150,,1,,1.0,,0.0,,103.0,,114.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,4,4,12,L,Y,,80,Y,,80,105,,1.0,,1.0,,0.0,,104.0,,112.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,
Scr1,,4,5,16,L,Y,,76,N,,75,250,,1.0,,1.0,,1.0,,105.0,,116.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,
Scr1,,4,6,11,L,Y,100,Y,100,125,,1,,1.0,,0.0,,106.0,,111.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,4,7,15,L,Y,100,Y,100,125,,1,,1.0,,0.0,,107.0,,115.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,5,1,16,L,Y,,76,N,,75,250,,1.0,,1.0,,1.0,,101.0,,116.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,
Scr1,,5,2,11,L,Y,100,Y,100,125,,1,,1.0,,0.0,,102.0,,111.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,5,3,13,L,N,120,Y,120,120,,0,,1.0,,0.0,,103.0,,113.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,,,,
Scr1,,5,4,17,L,Y,,60,N,,75,250,,1.0,,0.0,,1.0,,104.0,,117.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,
Scr1,,5,5,14,L,Y,125,Y,125,150,,1,,1.0,,0.0,,105.0,,114.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,5,6,12,L,Y,,80,N,,75,250,,1.0,,1.0,,1.0,,106.0,,112.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,
Scr1,,5,7,15,L,N,100,N,,75,225,,0.0,,1.0,,1.0,,107.0,,115.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,,,
Scr1,,6,1,13,L,N,,95,Y,,95,,95.0,,0.0,,1.0,,0.0,,101.0,,113.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,
Scr1,,6,2,17,L,N,,70,N,,75,225,,0.0,,0.0,,1.0,,102.0,,117.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,,
Scr1,,6,3,14,H,Y,400,Y,400,425,,1,,3.0,,0.0,,103.0,,114.0,,0.0,,1.0,,0.0,,1.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,6,4,16,L,Y,100,Y,100,125,,1,,1.0,,0.0,,104.0,,116.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,6,5,11,L,Y,100,N,,75,250,,1.0,,1.0,,1.0,,105.0,,111.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,
Scr1,,6,6,15,L,N,200,Y,200,200,,0,,1.0,,0.0,,106.0,,115.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,,,,
Scr1,,6,7,12,L,Y,,85,N,,75,250,,1.0,,1.0,,1.0,,107.0,,112.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,
Scr1,,7,1,16,L,Y,100,Y,100,125,,1,,1.0,,0.0,,101.0,,116.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,7,2,15,L,N,200,Y,200,200,,0,,1.0,,0.0,,102.0,,115.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,,,,
Scr1,,7,3,12,L,Y,125,Y,125,150,,1,,1.0,,0.0,,103.0,,112.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,7,4,17,L,N,,75,N,,75,225,,0.0,,1.0,,1.0,,104.0,,117.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,,
Scr1,,7,5,11,H,Y,400,N,375,550,,1,,3.0,,1.0,,105.0,,111.0,,0.0,,1.0,,0.0,,1.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,7,6,13,L,N,,80,N,,75,225,,0.0,,1.0,,1.0,,106.0,,113.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,,
Scr1,,7,7,14,L,Y,125,Y,125,150,,1,,1.0,,0.0,,107.0,,114.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,8,1,14,H,Y,400,Y,400,425,,1,,3.0,,0.0,,101.0,,114.0,,0.0,,1.0,,0.0,,1.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,8,2,13,L,N,105,Y,105,105,,0,,1.0,,0.0,,102.0,,113.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,,,,
Scr1,,8,3,11,L,Y,100,Y,100,125,,1,,1.0,,0.0,,103.0,,111.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,8,4,16,H,Y,400,Y,400,425,,1,,3.0,,0.0,,104.0,,116.0,,0.0,,1.0,,0.0,,1.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,8,5,17,L,N,,80,N,,75,225,,0.0,,1.0,,1.0,,105.0,,117.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,,
Scr1,,8,6,15,L,Y,150,Y,150,175,,1,,1.0,,0.0,,106.0,,115.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,8,7,12,L,Y,125,Y,125,150,,1,,1.0,,0.0,,107.0,,112.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,9,1,12,H,Y,450,Y,450,475,,1,,3.0,,0.0,,101.0,,112.0,,0.0,,1.0,,0.0,,1.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,9,2,15,L,Y,150,Y,150,175,,1,,1.0,,0.0,,102.0,,115.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,9,3,17,L,Y,,80,Y,,80,105,,1.0,,1.0,,0.0,,103.0,,117.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,
Scr1,,9,4,11,L,Y,115,Y,115,140,,1,,1.0,,0.0,,104.0,,111.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,9,5,13,H,N,,90,N,375,525,,0.0,,1.0,,1.0,,105.0,,113.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,1.0,,,,,,
Scr1,,9,6,16,L,Y,100,Y,100,125,,1,,1.0,,0.0,,106.0,,116.0,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,,9,7,14,H,Y,400,Y,400,425,,1,,3.0,,0.0,,107.0,,114.0,,0.0,,1.0,,0.0,,1.0,,0.0,,0.0,,1.0,,,,,,,
Scr1,10,1,15,H,Y,150,N,375,550,,1,,1.0,,1.0,,101.0,,115.0,,0.0,,1.0,,0.0,,1.0,,0.0,,0.0,,1.0,,,,,,,,
Scr1,10,2,12,L,N,150,Y,150,150,,0,,1.0,,0.0,,102.0,,112.0,,1.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1.0,,,,,,,,
