col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18
,,,0.84059,,,2.45695,,,0.08000,,,,,,,,,
,,,0.84333,,,2.44436,,,0.03000,,,,,,,,,
,,,0.83966,,,2.46138,,,0.01000,,,,,,,,,
,,,0.84591,,,2.45065,,,0.05500,,,,,,,,,
,,,0.84141,,,2.46349,,-0.05700,,,,,,,,,,
,,,0.86931,,,2.45446,,,0.14000,,,,,,,,,
,,,0.89089,,,2.46465,,,0.07000,,,,,,,,,
,,,0.92318,,,2.45735,,,0.65000,,,,,,,,,
,,,0.86226,,,2.44348,,,0.33000,,,,,,,,,
,,,0.91856,,,2.45862,,,0.52000,,,,,,,,,
,,,0.88754,,,2.44159,,,0.09100,,,,,,,,,
,,,0.87287,,,2.46657,,,0.62000,,,,,,,,,
,,,0.90984,,,2.45720,,,0.10000,,,,,,,,,
,,,0.88004,,,2.47516,,,0.20000,,,,,,,,,
,,,0.88004,,,2.47518,,,0.20000,,,,,,,,,
,,,0.87960,,,2.46646,,,0.38000,,,,,,,,,
,,,0.86608,,,2.46980,,,0.27000,,,,,,,,,
,,,0.88865,,,2.47249,,,0.18000,,,,,,,,,
,,,0.87410,,,2.43974,,,0.14000,,,,,,,,,
,,,0.88180,,,2.46591,,,0.21000,,,,,,,,,
,,,0.84848,,,2.46165,,,0.08000,,,,,,,,,
,,,0.90112,,,2.45495,,,0.39000,,,,,,,,,
,,,0.92318,,,2.45730,,,0.66000,,,,,,,,,
,,,0.91591,,,2.44924,,,0.35000,,,,,,,,,
,,,0.89957,,,2.46690,,,0.04000,,,,,,,,,
,,,0.88314,,,2.45442,,,0.20000,,,,,,,,,
,,,0.90365,,,2.44450,,,0.30000,,,,,,,,,
,,,0.85415,,,2.45054,,,0.06000,,,,,,,,,
,,,0.87367,,,2.47588,,,0.20000,,,,,,,,,
,,,0.85887,,,2.46200,,,0.13000,,,,,,,,,
,,,0.88664,,,2.43564,,,0.05000,,,,,,,,,
,,,0.87749,,,2.45918,,,0.42000,,,,,,,,,
,,,0.91416,,,2.44740,,,0.79300,,,,,,,,,
,,,0.91373,,,2.44922,,,0.90000,,,,,,,,,
,,,0.87670,,,2.45750,,,1.20500,,,,,,,,,
,,,0.87361,,,2.45598,,,0.63800,,,,,,,,,
,,,0.91237,,,2.44789,,,1.48700,,,,,,,,,
,,,0.91240,,,2.44823,,,1.30000,,,,,,,,,
,,,0.91482,,,2.44481,,,0.99500,,,,,,,,,
,,,0.91395,,,2.44464,,,0.80500,,,,,,,,,
,,,0.88785,,,2.44236,,,0.23800,,,,,,,,,
,,,0.86098,,,2.44753,,,0.26800,,,,,,,,,
,,,0.87542,,,2.45992,,,1.40000,,,,,,,,,
,,,0.87479,,,2.46016,,,0.76300,,,,,,,,,
,,,0.88991,,,2.45492,,,0.33500,,,,,,,,,
,,,0.89113,,,2.45773,,,0.84800,,,,,,,,,
,,,0.89114,,,2.45770,,,0.74400,,,,,,,,,
,,,0.91436,,,2.44549,,,0.62000,,,,,,,,,
,,,0.91429,,,2.44544,,,0.67900,,,,,,,,,
,,,0.87558,,,2.46159,,,0.52200,,,,,,,,,
,,,0.87568,,,2.45863,,,0.67000,,,,,,,,,
,,,0.91378,,,2.44432,,,0.88000,,,,,,,,,
,,,0.90542,,,2.45031,,,0.91300,,,,,,,,,
,,,0.91786,,,2.43821,,,0.42000,,,,,,,,,
,,,0.89716,,,2.43837,,,0.20000,,,,,,,,,
,,,0.89149,,,2.44963,,,0.22000,,,,,,,,,
,,,0.90308,,,2.44946,,,0.15300,,,,,,,,,
,,,0.90322,,,2.44768,,,0.23000,,,,,,,,,
,,,0.88062,,,2.44700,,,0.03000,,,,,,,,,
,,,0.90238,,,2.44808,,,0.12000,,,,,,,,,
,,,0.93498,,,2.43384,,,0.24100,,,,,,,,,
,,,0.89955,,,2.43025,,,0.07000,,,,,,,,,
,,,0.93920,,,2.40508,,,0.79300,,,,,,,,,
,,,0.92062,,,2.42621,,,0.19500,,,,,,,,,
,,,0.93175,,,2.45329,,,0.21500,,,,,,,,,
,,,0.93699,,,2.40515,,,0.98200,,,,,,,,,
,,,0.93843,,,2.44675,,,0.03100,,,,,,,,,
,,,0.91568,,,2.42084,,,0.04000,,,,,,,,,
,,,0.93812,,,2.40214,,,1.51000,,,,,,,,,
,,,0.92903,,,2.43025,,,0.93300,,,,,,,,,
,,,0.93115,,,2.41803,,,1.93300,,,,,,,,,
,,,0.93260,,,2.41962,,,0.64500,,,,,,,,,
,,,0.93899,,,2.40873,,,0.83000,,,,,,,,,
,,,0.93294,,,2.41207,,,0.40600,,,,,,,,,
,,,0.93699,,,2.40515,,,0.98200,,,,,,,,,
,,,0.93920,,,2.40508,,,0.76000,,,,,,,,,
,,,0.93280,,,2.40749,,,0.70500,,,,,,,,,
,,,0.92316,,,2.41130,,,0.14000,,,,,,,,,
,,,0.93887,,,2.40154,,,1.56000,,,,,,,,,
,,,0.93531,,,2.41022,,,0.93000,,,,,,,,,
,,,0.93701,,,2.40880,,,0.80000,,,,,,,,,
,,,0.94211,,,2.42418,,,0.48000,,,,,,,,,
,,,0.90686,,,2.41300,,,0.14600,,,,,,,,,
,,,0.91067,,,2.43144,,,0.14500,,,,,,,,,
,,,0.93280,,,2.40749,,,0.67400,,,,,,,,,
,,,0.92551,,,2.44196,,,0.46000,,,,,,,,,
