-     Industry \1 -,-   NAICS code  -,- U.S. parents - Total Assets (mil. dol) -,-  - Capital expenditures (mil. dol) -,-  - Value added (mil. dol) -,"-  - Employment (1,000)  -","- All Affiliates Employment (1,000)  -",- MOFA's - Capital expenditures  -,-  - Value added (mil. dol) -,"-  - Employment (1,000)  -"
Mining,21,133488.0,11695.0,27681.0,128.2,156.4,17627.0,57622.0,136.6
Oil and gas extraction,211,70679.0,7014.0,15727.0,22.5,52.5,14805.0,49935.0,45.8
Other,"212,213",62810.0,4681.0,11953.0,105.8,103.9,2822.0,7687.0,90.8
Utilities,22,630560.0,27407.0,80542.0,369.1,95.3,4010.0,11046.0,59.0
Manufacturing,31-33,4024901.0,195730.0,995123.0,9172.3,5124.4,47432.0,315697.0,4408.8
Food,311,147600.0,6113.0,47214.0,639.5,411.7,2700.0,19231.0,361.1
Beverages and tobacco products,312,158093.0,4030.0,48239.0,257.4,414.3,1464.0,23705.0,159.9
"Textiles, apparel, and leather products",313-316,40205.0,1469.0,16928.0,346.5,147.2,256.0,3304.0,132.9
Wood products,321,6464.0,335.0,2097.0,38.2,29.2,395.0,1718.0,27.5
Paper,322,168632.0,6652.0,45793.0,436.2,166.1,2494.0,9667.0,138.5
Printing and related support activities,323,24997.0,1214.0,11653.0,217.7,35.6,217.0,1035.0,32.6
Petroleum and coal products,324,362398.0,18989.0,111858.0,225.0,58.2,2237.0,45172.0,41.0
Chemicals,325,603906.0,20930.0,141326.0,1018.0,623.8,9842.0,57745.0,566.6
Basic chemicals,3251,100560.0,4175.0,18731.0,152.1,105.0,1948.0,8709.0,83.6
"Resins and synthetic rubber, fibers and filaments",3252,83778.0,1998.0,20177.0,132.8,56.5,827.0,4786.0,41.5
Pharmaceuticals and medicines,3254,253252.0,9097.0,63245.0,363.6,206.2,3454.0,25717.0,204.1
"Soap, cleaning compounds, and toilet preparations",3256,88184.0,2861.0,19447.0,169.6,133.7,1750.0,8669.0,126.1
Other,"3253,3255,3259",78133.0,2799.0,19726.0,199.8,122.4,1863.0,9865.0,111.3
Plastics and rubber products,326,79149.0,3304.0,25088.0,348.6,171.7,1509.0,8837.0,165.2
Nonmetallic mineral products,327,59519.0,2939.0,13575.0,171.3,85.6,1721.0,4099.0,64.6
Primary and fabricated metals,"331,332",151456.0,6604.0,43925.0,588.9,265.4,2131.0,12316.0,240.8
Primary metals,331,86895.0,4373.0,22036.0,296.1,103.6,1121.0,5567.0,94.6
Fabricated metal products,332,64561.0,2231.0,21889.0,292.8,161.8,1010.0,6748.0,146.2
Machinery,333,465438.0,12228.0,75161.0,834.5,391.7,1468.0,17763.0,345.8
"Agriculture, construction, and mining machinery",3331,76229.0,1865.0,12403.0,154.7,75.8,387.0,3426.0,62.2
Industrial machinery,3332,26877.0,927.0,10816.0,85.3,37.6,176.0,2498.0,33.7
Other,"3333-3336,3339",362332.0,9435.0,51942.0,594.5,278.4,905.0,11839.0,249.8
Computers and electronic products,334,556000.0,26661.0,142085.0,1167.6,821.8,9949.0,42940.0,791.2
Computers and peripheral equipment,3341,94383.0,4342.0,21749.0,216.9,189.3,1416.0,13141.0,187.5
Communications equipment,3342,234409.0,8772.0,46919.0,402.7,129.9,1413.0,8208.0,128.2
Audio and video equipment,3343,21700.0,889.0,5406.0,55.6,38.5,76.0,697.0,38.5
