Source and sector,1989 (Quadrillion Btu),1990.0,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008 \1
Conventional hydroelectric power \2,2.837263,3.046391,3.015943,2.617436,2.891613,2.683457,3.205307,3.589656,3.640458,3.297054,3.267575,2.811116,2.241858,2.689017,2.824533,2.690078,2.702942,2.869035,2.446389,2.452073
Geothermal energy \3,0.317163,0.335801,0.346247,0.349309,0.363716,0.338108,0.293893,0.315529,0.324959,0.328303,0.330919,0.316796,0.311264,0.328308,0.330554,0.341082,0.342576,0.342876,0.34873,0.358497
Biomass \4,3.161916,2.737372,2.78441,2.934637,2.911622,3.03138,3.10522,3.15972,3.108968,2.931592,2.967555,3.013038,2.627476,2.706745,2.816604,3.022866,3.133146,3.360613,3.59737,3.884252
Solar/photovoltaic energy \5,0.055291,0.059718,0.062688,0.063886,0.066458,0.068548,0.069857,0.070833,0.070237,0.069787,0.068793,0.066388,0.065454,0.064391,0.06362,0.0645,0.06613,0.072222,0.080943,0.091003
Wind energy \6,0.022033,0.029007,0.030796,0.029863,0.030987,0.03556,0.03263,0.03344,0.033581,0.030853,0.045894,0.057057,0.069617,0.105334,0.114571,0.141749,0.178088,0.263738,0.340503,0.514224
Residential \7,0.977677,0.6414,0.673665,0.706153,0.618491,0.589728,0.591334,0.612444,0.502516,0.452363,0.46223,0.489955,0.439296,0.448951,0.471151,0.482736,0.506528,0.475486,0.526896,0.59907
Biomass \4,0.92,0.58,0.61,0.64,0.55,0.52,0.52,0.54,0.43,0.38,0.39,0.42,0.37,0.38,0.4,0.41,0.43,0.39,0.43,0.49
Wood \8,0.92,0.58,0.61,0.64,0.55,0.52,0.52,0.54,0.43,0.38,0.39,0.42,0.37,0.38,0.4,0.41,0.43,0.39,0.43,0.49
Geothermal \3,0.005,0.0055,0.0059,0.0064,0.0068,0.0062,0.0066,0.007,0.0075,0.0077,0.0085,0.0086,0.00945,0.010204,0.013,0.014,0.0159,0.0183,0.022,0.0264
Solar \5,0.052677,0.0559,0.057765,0.059753,0.061691,0.063528,0.064734,0.065444,0.065016,0.064663,0.06373,0.061355,0.059846,0.058747,0.058151,0.058736,0.060628,0.067186,0.074896,0.08267
Commercial \9,0.102181,0.098239,0.099744,0.109417,0.113617,0.111583,0.118439,0.135443,0.138217,0.126794,0.128625,0.127727,0.100624,0.103889,0.113043,0.118452,0.119255,0.117241,0.117558,0.122582
Biomass \4,0.098996,0.094007,0.095375,0.104951,0.109189,0.106426,0.112719,0.128843,0.131289,0.118466,0.120752,0.119109,0.091667,0.095006,0.101303,0.1054,0.104795,0.102314,0.102394,0.107037
Wood \8,0.076485,0.065738,0.06844,0.072027,0.075597,0.071715,0.072379,0.075668,0.073386,0.064014,0.066621,0.071469,0.066788,0.068658,0.071435,0.070327,0.069649,0.064729,0.069428,0.072281
Waste \10,0.021996,0.027764,0.026484,0.032451,0.033392,0.034522,0.040198,0.053028,0.057607,0.054162,0.053916,0.047256,0.024544,0.025879,0.029028,0.034237,0.034249,0.036309,0.03096,0.031959
Geothermal \3,0.0025,0.0028,0.003,0.0032,0.0034,0.0042,0.0045,0.0053,0.0057,0.0071,0.0067,0.0076,0.00827,0.008753,0.011,0.012,0.0136,0.014,0.0144,0.0148
