,2005- $ millions,2006- $ millions,2007- $ millions,2008- $ millions,2009- $ millions
  Wheat,"2,697.20","3,609.20","4,637.70","6,867.90","5,824.20"
  Other agricultural and fishing products,"27,399.60","27,602.00","29,783.10","33,989.60","31,434.90"
  Crude petroleum,"30,356.80","38,574.60","40,997.30","60,969.70","42,549.80"
  Natural gas,"35,988.60","27,804.70","28,071.10","33,046.00","15,960.00"
  Other energy products,"20,574.60","20,421.70","22,224.20","31,776.50","21,589.90"
  Lumber and sawmill products,"18,788.50","16,158.60","12,615.80","9,169.00","6,767.10"
  Wood pulp and other wood products,"5,830.40","6,141.60","6,685.00","6,398.20","4,579.60"
  Newsprint and other paper and paperboard products,"11,827.70","11,142.40","9,966.00","10,092.00","8,152.60"
  Metals and metal ores,"8,771.20","11,355.10","14,442.50","14,872.80","10,280.40"
"  Chemicals, plastics and fertilizers","29,919.50","30,600.40","33,203.40","35,910.10","25,602.60"
  Metals and alloys,"27,253.30","34,126.90","38,547.40","39,976.70","28,028.30"
  Other industrial goods and materials,"18,256.70","18,125.20","18,598.70","20,751.90","15,262.10"
  Industrial and agricultural machinery,"19,941.40","20,549.80","22,329.40","23,442.60","19,235.80"
  Aircraft and other transportation equipment,"19,794.70","20,141.00","20,898.20","20,339.60","19,565.90"
  Other machinery and equipment,"53,269.10","52,562.20","50,203.30","49,212.20","41,658.30"
  Passenger autos and chassis,"44,590.70","42,372.80","39,989.00","34,069.20","26,282.90"
  Trucks and other motor vehicles,"16,170.90","14,966.50","13,029.30","7,263.90","3,752.70"
  Motor vehicle parts,"27,232.90","24,959.00","24,287.80","19,749.50","13,732.90"
Other consumer goods,"17,147.70","17,810.70","18,736.90","18,170.20","17,932.40"
Special transactions trade,"8,288.20","8,732.40","8,176.00","8,192.70","6,403.80"
Unallocated adjustments,"6,109.80","6,194.20","5,704.40","5,596.70","5,165.90"
