,"Pupils, total",1st-7th grade,8th-10th grade,Of which pupils in special groups Pupils in special classes,Pupils in foreign language classes,Pupils which receive special education at another school,Other pupils outside ordinary groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Østfold,34 428,23 696,10 732, 320, 199,51,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akershus,74 443,51 989,22 454, 315, 290,74, 183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oslo,55 456,39 671,15 785, 478, 481,26,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedmark,22 915,15 591,7 324, 243, 123,20,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oppland,22 728,15 578,7 150, 122,90,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buskerud,32 232,22 361,9 871, 350, 179,47,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vestfold,29 525,20 063,9 462, 349, 256,29,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telemark,20 795,14 066,6 729, 305, 187,36,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aust-Agder,14 334,9 885,4 449,79, 117,19,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vest-Agder,23 150,15 723,7 427, 225, 243,17,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogaland,58 905,40 878,18 027, 571, 364,72, 240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hordaland,62 127,42 742,19 385, 471, 316,24, 299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sogn og Fjordane,14 671,9 931,4 740, 159,84,4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Møre og Romsdal,33 210,22 825,10 385, 191, 249,14,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sør-Trøndelag,36 148,24 916,11 232, 310, 238,51,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nord-Trøndelag,17 953,12 183,5 770,99,81,15,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordland,30 869,20 729,10 140, 380, 229,10,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troms Romsa,20 063,13 536,6 527, 397, 289,18,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnmark Finnmárku,9 745,6 669,3 076,46, 105,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svalbard, 234, 166,68,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
