Table 78,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2007",,,,,
State,City,Population,Total law enforcement employees,Total officers,Total civilians
COLORADO,Alamosa,8714.0,28.0,24.0,4.0
,Arvada,105197.0,221.0,151.0,70.0
,Aspen,5700.0,32.0,22.0,10.0
,Ault,1419.0,6.0,6.0,0.0
,Aurora,307621.0,746.0,610.0,136.0
,Avon,6517.0,19.0,17.0,2.0
,Basalt,3093.0,11.0,8.0,3.0
,Bayfield,1823.0,5.0,5.0,0.0
,Berthoud,5142.0,9.0,8.0,1.0
,Black Hawk,106.0,36.0,23.0,13.0
,Boulder,91047.0,252.0,167.0,85.0
,Breckenridge,2822.0,26.0,23.0,3.0
,Brighton,31215.0,69.0,54.0,15.0
,Broomfield,46393.0,187.0,107.0,80.0
,Brush,5216.0,10.0,8.0,2.0
,Buena Vista,2149.0,8.0,6.0,2.0
,Burlington,3454.0,9.0,8.0,1.0
,Calhan,865.0,3.0,3.0,0.0
,Campo,131.0,1.0,1.0,0.0
,Canon City,16198.0,47.0,35.0,12.0
,Carbondale,6128.0,15.0,13.0,2.0
,Castle Rock,43523.0,72.0,53.0,19.0
,Cedaredge,2270.0,6.0,4.0,2.0
,Centennial,97746.0,156.0,120.0,36.0
,Center,2452.0,6.0,5.0,1.0
,Central City,514.0,7.0,6.0,1.0
,Cherry Hills Village,6218.0,24.0,20.0,4.0
,Collbran,418.0,2.0,2.0,0.0
,Colorado Springs,374112.0,984.0,669.0,315.0
,Columbine Valley,1274.0,6.0,6.0,0.0
,Commerce City,42386.0,107.0,83.0,24.0
,Cortez,8513.0,51.0,28.0,23.0
,Craig,9262.0,29.0,23.0,6.0
,Crested Butte,1557.0,8.0,6.0,2.0
,Cripple Creek,1062.0,16.0,12.0,4.0
,Dacono,3865.0,12.0,10.0,2.0
,De Beque,485.0,3.0,3.0,0.0
,Del Norte,1660.0,6.0,5.0,1.0
,Delta,8473.0,19.0,14.0,5.0
,Denver,573387.0,1917.0,1561.0,356.0
,Dillon,777.0,8.0,7.0,1.0
,Durango,15785.0,64.0,53.0,11.0
,Eagle,5275.0,11.0,10.0,1.0
,Eaton,4281.0,9.0,8.0,1.0
,Edgewater,5117.0,18.0,15.0,3.0
,Elizabeth,1509.0,6.0,5.0,1.0
,Empire,332.0,1.0,1.0,0.0
,Englewood,32362.0,99.0,69.0,30.0
,Erie,15759.0,20.0,18.0,2.0
,Estes Park,6078.0,27.0,19.0,8.0
,Evans,19420.0,33.0,29.0,4.0
,Firestone,8463.0,25.0,21.0,4.0
,Fort Collins,130935.0,235.0,161.0,74.0
,Fort Lupton,7464.0,23.0,18.0,5.0
,Fort Morgan,10774.0,34.0,28.0,6.0
,Fountain,20012.0,53.0,40.0,13.0
,Fowler,1125.0,4.0,3.0,1.0
,Fraser/Winter Park,1621.0,9.0,8.0,1.0
,Frederick,8541.0,21.0,18.0,3.0
,Frisco,2509.0,15.0,13.0,2.0
,Fruita,7115.0,17.0,15.0,2.0
,Georgetown,1050.0,3.0,3.0,0.0
,Glendale,4800.0,36.0,23.0,13.0
,Glenwood Springs,8904.0,29.0,23.0,6.0
,Golden,17244.0,58.0,41.0,17.0
,Grand Junction,47235.0,181.0,107.0,74.0
,Greeley,90707.0,260.0,145.0,115.0
,Green Mountain Falls,794.0,2.0,2.0,0.0
,Greenwood Village,13744.0,85.0,60.0,25.0
,Gunnison,5296.0,28.0,15.0,13.0
,Haxtun,1000.0,2.0,2.0,0.0
,Hayden,1521.0,5.0,5.0,0.0
,Holyoke,2297.0,4.0,4.0,0.0
,Hotchkiss,1099.0,3.0,3.0,0.0
,Hugo,757.0,3.0,3.0,0.0
,Idaho Springs,1779.0,9.0,7.0,2.0
,Ignacio,624.0,7.0,7.0,0.0
,Johnstown,9021.0,15.0,13.0,2.0
,Kersey,1421.0,4.0,4.0,0.0
,Kiowa,609.0,2.0,2.0,0.0
,Kremmling,1545.0,5.0,5.0,0.0
,Lafayette,24340.0,46.0,37.0,9.0
,La Junta,7198.0,20.0,14.0,6.0
,Lakeside,19.0,5.0,5.0,0.0
,Lakewood,139407.0,437.0,300.0,137.0
,Lamar,8287.0,24.0,19.0,5.0
,La Salle,1927.0,6.0,6.0,0.0
,Las Animas,2503.0,5.0,4.0,1.0
,La Veta,883.0,5.0,4.0,1.0
,Leadville,2690.0,9.0,7.0,2.0
,Limon,1785.0,6.0,5.0,1.0
,Littleton,40343.0,89.0,65.0,24.0
,Lochbuie,4390.0,7.0,6.0,1.0
,Log Lane Village,1009.0,2.0,2.0,0.0
,Lone Tree,9349.0,42.0,38.0,4.0
,Longmont,84278.0,190.0,136.0,54.0
,Louisville,18335.0,38.0,33.0,5.0
,Loveland,62586.0,131.0,90.0,41.0
,Mancos,1242.0,4.0,3.0,1.0
,Manitou Springs,5085.0,22.0,18.0,4.0
,Manzanola,490.0,5.0,4.0,1.0
,Meeker,2309.0,3.0,3.0,0.0
,Milliken,6380.0,10.0,9.0,1.0
,Minturn,1141.0,4.0,3.0,1.0
,Monte Vista,4102.0,15.0,10.0,5.0
,Monument,2633.0,17.0,13.0,4.0
,Morrison,405.0,3.0,2.0,1.0
,Mountain View,517.0,7.0,6.0,1.0
,Mount Crested Butte,772.0,8.0,7.0,1.0
,Nederland,1323.0,4.0,3.0,1.0
,New Castle,3526.0,7.0,6.0,1.0
,Northglenn,33226.0,81.0,67.0,14.0
,Oak Creek,784.0,1.0,1.0,0.0
,Olathe,1739.0,7.0,6.0,1.0
,Ouray,908.0,5.0,5.0,0.0
,Pagosa Springs,1699.0,10.0,9.0,1.0
,Palisade,2756.0,7.0,6.0,1.0
,Palmer Lake,2306.0,6.0,5.0,1.0
,Paonia,1635.0,4.0,4.0,0.0
,Parachute,1217.0,9.0,7.0,2.0
,Parker,44624.0,77.0,54.0,23.0
,Platteville,2646.0,7.0,6.0,1.0
,Pueblo,103958.0,246.0,192.0,54.0
,Rangely,2089.0,9.0,4.0,5.0
,Ridgway,753.0,3.0,3.0,0.0
,Rifle,8699.0,24.0,19.0,5.0
,Rocky Ford,4096.0,10.0,8.0,2.0
,Salida,5394.0,16.0,15.0,1.0
,Sheridan,5443.0,34.0,25.0,9.0
,Silt,2516.0,8.0,6.0,2.0
,Silverthorne,3812.0,19.0,16.0,3.0
,Simla,728.0,3.0,3.0,0.0
,Snowmass Village,1732.0,14.0,10.0,4.0
,South Fork,552.0,3.0,3.0,0.0
,Springfield,1323.0,3.0,3.0,0.0
,Steamboat Springs,9233.0,37.0,23.0,14.0
,Sterling,12549.0,25.0,20.0,5.0
,Stratton,622.0,1.0,1.0,0.0
,Telluride,2274.0,15.0,10.0,5.0
,Thornton,113289.0,183.0,147.0,36.0
,Trinidad,9135.0,31.0,21.0,10.0
,Vail,4622.0,56.0,26.0,30.0
,Victor,419.0,5.0,4.0,1.0
,Walsenburg,3914.0,20.0,11.0,9.0
,Walsh,661.0,1.0,1.0,0.0
,Westminster,106383.0,264.0,178.0,86.0
,Wheat Ridge,30718.0,94.0,69.0,25.0
