Table 30,,,,,,,,,,,,,,,
Number and Rate of Arrests,,,,,,,,,,,,,,,
"by Region, 2017",,,,,,,,,,,,,,,
"[Rate:  Number of arrests per 100,000 inhabitants]",,,,,,,,,,,,,,,
Offense charged,"United States total
(12,606 agencies; 
population 253,634,894)",,"Northeast
(3,233 agencies; 
population 45,428,011)",,"Midwest
(3,082 agencies; 
population 49,278,965)",,"South
(4,502 agencies;
population 86,203,577)",,"West
(1,789 agencies;
population 72,724,341)",,,,,,
,Total,Rate,Total,Rate,Total,Rate,Total,Rate,Total,Rate,,,,,
TOTAL1,8246901.0,3251.5,1257202.0,2767.5,1569268.0,3184.5,3084662.0,3578.3,2335769.0,3211.8,,,,,
Murder and nonnegligent manslaughter,9576.0,3.8,1066.0,2.3,1742.0,3.5,4259.0,4.9,2509.0,3.5,,,,,
Rape2,18289.0,7.2,3221.0,7.1,4162.0,8.4,5865.0,6.8,5041.0,6.9,,,,,
Robbery,74340.0,29.3,13223.0,29.1,11026.0,22.4,24391.0,28.3,25700.0,35.3,,,,,
Aggravated assault,305291.0,120.4,40197.0,88.5,47954.0,97.3,90179.0,104.6,126961.0,174.6,,,,,
Burglary,156465.0,61.7,21099.0,46.4,22020.0,44.7,56384.0,65.4,56962.0,78.3,,,,,
Larceny-theft,750750.0,296.0,131267.0,289.0,161587.0,327.9,287753.0,333.8,170143.0,234.0,,,,,
Motor vehicle theft,71452.0,28.2,6682.0,14.7,13771.0,27.9,20542.0,23.8,30457.0,41.9,,,,,
Arson,7180.0,2.8,1061.0,2.3,1253.0,2.5,2176.0,2.5,2690.0,3.7,,,,,
Violent crime3,407496.0,160.7,57707.0,127.0,64884.0,131.7,124694.0,144.7,160211.0,220.3,,,,,
Property crime3,985847.0,388.7,160109.0,352.4,198631.0,403.1,366855.0,425.6,260252.0,357.9,,,,,
Other assaults,833396.0,328.6,143010.0,314.8,160928.0,326.6,321278.0,372.7,208180.0,286.3,,,,,
Forgery and counterfeiting,43534.0,17.2,7775.0,17.1,7737.0,15.7,18294.0,21.2,9728.0,13.4,,,,,
Fraud,96948.0,38.2,19418.0,42.7,18044.0,36.6,41515.0,48.2,17971.0,24.7,,,,,
Embezzlement,12532.0,4.9,1367.0,3.0,2383.0,4.8,6621.0,7.7,2161.0,3.0,,,,,
"Stolen property; buying, receiving, possessing",77474.0,30.5,10967.0,24.1,12732.0,25.8,25494.0,29.6,28281.0,38.9,,,,,
Vandalism,147959.0,58.3,32400.0,71.3,27565.0,55.9,38140.0,44.2,49854.0,68.6,,,,,
"Weapons; carrying, possessing, etc.",129210.0,50.9,15608.0,34.4,26392.0,53.6,45379.0,52.6,41831.0,57.5,,,,,
Prostitution and commercialized vice,28490.0,11.2,4313.0,9.5,3224.0,6.5,8918.0,10.3,12035.0,16.5,,,,,
Sex offenses (except rape and prostitution),37850.0,14.9,5980.0,13.2,6807.0,13.8,10846.0,12.6,14217.0,19.5,,,,,
Drug abuse violations,1275812.0,503.0,228158.0,502.2,232060.0,470.9,477504.0,553.9,338090.0,464.9,,,,,
Gambling,2510.0,1.0,350.0,0.8,675.0,1.4,998.0,1.2,487.0,0.7,,,,,
Offenses against the family and children,72229.0,28.5,14965.0,32.9,15804.0,32.1,30413.0,35.3,11047.0,15.2,,,,,
Driving under the influence,764569.0,301.4,125609.0,276.5,149100.0,302.6,237517.0,275.5,252343.0,347.0,,,,,
Liquor laws,161277.0,63.6,20672.0,45.5,56259.0,114.2,42387.0,49.2,41959.0,57.7,,,,,
Drunkenness,289608.0,114.2,30363.0,66.8,22236.0,45.1,150064.0,174.1,86945.0,119.6,,,,,
Disorderly conduct,276987.0,109.2,72124.0,158.8,84750.0,172.0,73728.0,85.5,46385.0,63.8,,,,,
Vagrancy,18542.0,7.3,1330.0,2.9,3248.0,6.6,4020.0,4.7,9944.0,13.7,,,,,
All other offenses (except traffic),2560932.0,1009.7,297618.0,655.1,470861.0,955.5,1053738.0,1222.4,738715.0,1015.8,,,,,
Suspicion,690.0,0.3,10.0,*,115.0,0.2,178.0,0.2,387.0,0.5,,,,,
Curfew and loitering law violations,23699.0,9.3,7359.0,16.2,4948.0,10.0,6259.0,7.3,5133.0,7.1,,,,,
1 Does not include suspicion.,,,,,,,,,,,,,,,
2 The rape figures in this table are aggregate totals of the data submitted based on both the legacy and revised Uniform Crime Reporting definitions.,,,,,,,,,,,,,,,
"3 Violent crimes are offenses of murder and nonnegligent manslaughter, rape, robbery, and aggravated assault. Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,,,,,,,
* Less than one-tenth of 1 percent.,,,,,,,,,,,,,,,
