Table 80,,,,
LOUISIANA,,,,
Full-time Law Enforcement Employees,,,,
"by Metropolitan and Nonmetropolitan Counties, 2017",,,,
Metropolitan/Nonmetropolitan,County,"Total law
enforcement
employees","Total
officers","Total
civilians"
Metropolitan Counties,Acadia,99.0,57.0,42.0
,Ascension,329.0,274.0,55.0
,Bossier,379.0,308.0,71.0
,Caddo,686.0,413.0,273.0
,Calcasieu,831.0,831.0,0.0
,De Soto,113.0,103.0,10.0
,East Baton Rouge,827.0,706.0,121.0
,East Feliciana,54.0,54.0,0.0
,Grant,73.0,61.0,12.0
,Iberia,254.0,172.0,82.0
,Jefferson,1458.0,1000.0,458.0
,Lafayette,769.0,600.0,169.0
,Lafourche,331.0,276.0,55.0
,Livingston,283.0,283.0,0.0
,Ouachita,396.0,396.0,0.0
,Plaquemines,228.0,228.0,0.0
,Pointe Coupee,104.0,56.0,48.0
,St. Bernard,270.0,248.0,22.0
,St. Charles,382.0,212.0,170.0
,St. Helena,42.0,26.0,16.0
,St. James,100.0,60.0,40.0
,St. John the Baptist,240.0,239.0,1.0
,St. Martin,170.0,118.0,52.0
,St. Tammany,661.0,498.0,163.0
,Tangipahoa,241.0,115.0,126.0
,Terrebonne,308.0,240.0,68.0
,Union,48.0,32.0,16.0
,Vermilion,145.0,119.0,26.0
,Webster,128.0,107.0,21.0
,West Baton Rouge,183.0,140.0,43.0
,West Feliciana,69.0,69.0,0.0
Nonmetropolitan Counties,Allen,82.0,82.0,0.0
,Assumption,83.0,53.0,30.0
,Avoyelles,92.0,62.0,30.0
,Beauregard,87.0,68.0,19.0
,Bienville,70.0,42.0,28.0
,Catahoula,107.0,31.0,76.0
,Claiborne,87.0,38.0,49.0
,Concordia,232.0,24.0,208.0
,East Carroll,41.0,14.0,27.0
,Evangeline,32.0,25.0,7.0
,Franklin,129.0,129.0,0.0
,Jackson,180.0,44.0,136.0
,Jefferson Davis,77.0,77.0,0.0
,La Salle,49.0,31.0,18.0
,Lincoln,79.0,56.0,23.0
,Madison,34.0,34.0,0.0
,Morehouse,130.0,130.0,0.0
,Natchitoches,196.0,160.0,36.0
,Richland,136.0,116.0,20.0
,Sabine,86.0,63.0,23.0
,St. Landry,201.0,90.0,111.0
,St. Mary,150.0,150.0,0.0
,Vernon,163.0,66.0,97.0
,Washington,79.0,62.0,17.0
,West Carroll,20.0,10.0,10.0
