,,Reg As,DSRO,A/O,Adjusted,Net Capital,Excess,Customers',Customer,Total Amount
,Futures Commission Merchant / Retail Foreign Exchange Dealer,,,Date,Net Capital,Requirement,Net Capital,Seg Required,Amount,of Retail Forex
,,,,,,,,4d(a)(2),Pt. 30 Required,Obligation
,,(a),(b),,,(c),(d),(e),(f),(g)
,,,,,,,,,,
1,ABN AMRO CLEARING CHICAGO LLC,FCM BD,CBOT,2010-12-31 00:00:00,223334513,95664932,127669581,1494689483,276743797,0
2,ADM INVESTOR SERVICES INC,FCM,CBOT,2010-12-31 00:00:00,292004689,164552915,127451774,2498246016,50828936,3221453
3,ADVANCED MARKETS LLC,RFED,NFA,2010-12-31 00:00:00,20219163,20000000,219163,0,0,1536882
4,ADVANTAGE FUTURES LLC,FCM,CME,2010-12-31 00:00:00,21341943,11438349,9903594,362516782,40559039,0
5,ALLIANZ GLOBAL INVESTORS DISTRIBUTORS LLC,FCM BD,NFA,2010-12-31 00:00:00,74553831,11501943,63051888,0,0,0
6,ALPARI (US) LLC,RFED,NFA,2010-12-31 00:00:00,21821249,20000000,1821249,0,0,5432547
7,AMERIPRISE FINANCIAL SERVICES INC,FCM BD,NFA,2010-12-31 00:00:00,119013207,1000000,118013207,0,0,0
8,AMP GLOBAL CLEARING LLC,FCM,NFA,2010-12-31 00:00:00,1380472,1000000,380472,22440576,88950,0
9,BARCLAYS CAPITAL INC,FCM BD,NYME,2010-12-31 00:00:00,6072239569,689934711,5382304858,4983085169,1951833130,0
10,BGC FINANCIAL LP,FCM BD,NFA,2010-12-31 00:00:00,45496814,1000000,44496814,0,0,0
11,BNP PARIBAS COMMODITY FUTURES INC,FCM,NYME,2010-12-31 00:00:00,376556237,210752076,165804161,1282006200,402961246,0
12,BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2010-12-31 00:00:00,1743573534,71087486,1672486048,439882745,0,0
13,BNY MELLON CLEARING LLC,FCM,CME,2010-12-31 00:00:00,77850302,4820037,73030265,673096,0,0
14,CANTOR FITZGERALD & CO,FCM BD,CBOT,2010-12-31 00:00:00,164750275,12449134,152301141,10836575,0,0
15,CAPITAL MARKET SERVICES LLC,RFED,NFA,2010-12-31 00:00:00,3048589,1000000,2048589,0,0,0
16,CIBC WORLD MARKETS CORP,FCM BD,CME,2010-12-31 00:00:00,491108043,1500000,489608043,0,0,0
17,CITADEL SECURITIES LLC,FCM BD,CME,2010-12-31 00:00:00,414093015,1000000,413093015,0,0,0
18,CITIGROUP GLOBAL MARKETS INC,FCM BD,CBOT,2010-12-31 00:00:00,8902804356,684878661,8217925695,10307993493,1404747746,0
19,COMMONWEALTH FOREIGN EXCHANGE INC,FCM,NFA,2010-12-31 00:00:00,1565758,1000000,565758,0,0,0
20,COMPASS PROFESSIONAL SERVICES LLC,FCM BD,NFA,2010-12-31 00:00:00,3328963,1000000,2328963,0,0,0
21,COUNTRY HEDGING INC,FCM,NFA,2010-12-31 00:00:00,26867889,19616150,7251739,169675927,44432,0
22,CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2010-12-31 00:00:00,8105024274,914725872,7190298402,5155653820,1398331513,0
23,CROSSLAND LLC,FCM,CBOT,2010-12-31 00:00:00,10705254,5735480,4969774,73362485,46119763,0
24,CUNNINGHAM COMMODITIES LLC,FCM,CBOT,2010-12-31 00:00:00,3166630,1000000,2166630,46983081,59143,0
25,CX CAPITAL MARKETS LLC,FCM,NFA,2010-12-31 00:00:00,2324913,1000000,1324913,23552383,0,0
26,DAIWA CAPITAL MARKETS AMERICA INC,FCM BD,CME,2010-12-31 00:00:00,337602216,1158861,336443355,8232249,40979,0
27,DEUTSCHE BANK SECURITIES INC,FCM BD,CBOT,2010-12-31 00:00:00,6131422510,571734615,5559687895,13677764613,1232840312,0
28,DORMAN TRADING LLC,FCM,CME,2010-12-31 00:00:00,7649889,1000000,6649889,106537087,1392282,0
29,EAGLE MARKET MAKERS INC,FCM,CBOT,2010-12-31 00:00:00,6392485,1000000,5392485,5778594,0,0
30,EASY FOREX US LTD,FCM,NFA,2010-12-31 00:00:00,2029017,1000000,1029017,0,0,0
31,ELECTRONIC BROKERAGE SYSTEMS LLC,FCM BD,NFA,2010-12-31 00:00:00,7853150,1000000,6853150,0,0,0
32,ENSKILDA FUTURES LTD,FCM,CME,2010-12-31 00:00:00,28885080,18436093,10448987,302692406,0,0
33,FARR FINANCIAL INC,FCM,NFA,2010-12-31 00:00:00,1814592,1000000,814592,42996376,113089,0
34,FCSTONE LLC,FCM,CME,2010-12-31 00:00:00,92452940,75460512,16992428,1025416482,11187781,16170712
35,FOREX CAPITAL MARKETS LLC,RFED,NFA,2010-12-31 00:00:00,87549746,26500998,61048748,0,0,140019969
36,FOREX CLUB FINANCIAL COMPANY INC,RFED,NFA,2010-12-31 00:00:00,20631753,20000000,631753,0,0,2469949
37,FRIEDBERG MERCANTILE GROUP INC,FCM,NFA,2010-12-31 00:00:00,3411418,1000000,2411418,9076245,376184,0
38,FRONTIER FUTURES INC,FCM,NFA,2010-12-31 00:00:00,1803161,1444179,358982,30790558,0,0
39,FUTURES TECH LLC,FCM,NFA,2010-12-31 00:00:00,1598972,1000000,598972,0,0,0
40,FX SOLUTIONS LLC,RFED,NFA,2010-12-31 00:00:00,38692609,20616699,18075910,0,0,22333976
41,FXDIRECTDEALER LLC,RFED,NFA,2010-12-31 00:00:00,24292230,21526800,2765430,0,0,40535996
42,GAIN CAPITAL GROUP LLC,RFED,NFA,2010-12-31 00:00:00,75975719,26408104,49567615,0,0,138162077
43,GLOBAL FUTURES & FOREX LTD,RFED,NFA,2010-12-31 00:00:00,70448625,24097848,46350777,439224,190557,91956970
44,GOLDMAN SACHS & CO,FCM BD,CBOT,2010-12-31 00:00:00,11144351902,1934352725,9209999177,19901570542,6587231873,0
45,GOLDMAN SACHS EXECUTION & CLEARING LP,FCM BD,CME,2010-12-31 00:00:00,1960801715,132932757,1827868958,1167454504,36979688,0
46,HSBC SECURITIES USA INC,FCM BD,CME,2010-12-31 00:00:00,1086263365,101082797,985180568,848031272,91787656,0
47,ICAP FUTURES LLC,FCM,NFA,2010-12-31 00:00:00,8280693,1000000,7280693,0,0,0
48,IG MARKETS INC,FCM,NFA,2010-12-31 00:00:00,29049601,20000000,9049601,113563,0,1292673
49,IKON GLOBAL MARKETS INC,FCM,NFA,2010-12-31 00:00:00,15655916,1000000,14655916,17040101,108434,0
50,INSTINET LLC,FCM BD,NFA,2010-12-31 00:00:00,120846803,1000000,119846803,0,0,0
51,INSTITUTIONAL LIQUIDITY LLC,FCM,NFA,2010-12-31 00:00:00,21146263,20000000,1146263,0,0,0
52,INTEGRATED BROKERAGE SERVICES LLC,FCM,NFA,2010-12-31 00:00:00,1778660,1000000,778660,0,0,0
53,INTERACTIVE BROKERS LLC,FCM BD,NFA,2010-12-31 00:00:00,1154986340,161767638,993218702,600801346,176713967,0
54,INTERBANK FX LLC,RFED,NFA,2010-12-31 00:00:00,25794840,21110769,4684071,0,0,32215388
55,IRONBEAM INC,FCM,NFA,2010-12-31 00:00:00,1828699,1000000,828699,0,0,0
56,ITG DERIVATIVES LLC,FCM BD,NFA,2010-12-31 00:00:00,5690907,1000000,4690907,0,0,0
57,JP MORGAN CLEARING CORP,FCM BD,CME,2010-12-31 00:00:00,5720845541,1814270694,3906574847,529511949,250807563,0
58,JP MORGAN FUTURES INC,FCM,NYME,2010-12-31 00:00:00,2346186811,1295860102,1050326709,15975573189,1899997154,0
59,JP MORGAN SECURITIES LLC,FCM BD,NFA,2010-12-31 00:00:00,6857016996,545747951,6311269045,0,0,0
