People QuickFacts,Roosevelt County,New Mexico
"Population, 2012 estimate","20,419","2,085,538"
"Population, 2010 (April 1) estimates base","19,846","2,059,180"
"Population, percent change, April 1, 2010 to July 1, 2012",2.9%,1.3%
"Population, 2010","19,846","2,059,179"
"Persons under 5 years, percent, 2011",7.9%,7.0%
"Persons under 18 years, percent, 2011",26.5%,24.9%
"Persons 65 years and over, percent, 2011",11.5%,13.6%
"Female persons, percent, 2011",49.6%,50.5%
,,
"White persons, percent, 2011 (a)",92.3%,83.4%
"Black persons, percent, 2011 (a)",2.5%,2.5%
"American Indian and Alaska Native persons, percent, 2011 (a)",2.0%,10.1%
"Asian persons, percent, 2011 (a)",1.2%,1.6%
"Native Hawaiian and Other Pacific Islander persons, percent, 2011 (a)",0.1%,0.2%
"Persons reporting two or more races, percent, 2011",1.9%,2.3%
"Persons of Hispanic or Latino Origin, percent, 2011 (b)",40.3%,46.7%
"White persons not Hispanic, percent, 2011",54.6%,40.2%
,,
"Living in same house 1 year & over, percent, 2007-2011",77.1%,84.6%
"Foreign born persons, percent, 2007-2011",8.1%,9.8%
"Language other than English spoken at home, percent age 5+, 2007-2011",26.0%,36.2%
"High school graduate or higher, percent of persons age 25+, 2007-2011",79.1%,83.1%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011",21.4%,25.4%
"Veterans, 2007-2011","1,295","176,805"
"Mean travel time to work (minutes), workers age 16+, 2007-2011",14.8,21.8
,,
"Housing units, 2011","8,230","908,132"
"Homeownership rate, 2007-2011",59.4%,69.6%
"Housing units in multi-unit structures, percent, 2007-2011",11.8%,15.0%
"Median value of owner-occupied housing units, 2007-2011","$104,300","$161,800"
"Households, 2007-2011","6,888","762,002"
"Persons per household, 2007-2011",2.7199999999999998,2.62
"Per capita money income in the past 12 months (2011 dollars), 2007-2011","$17,689","$23,537"
"Median household income, 2007-2011","$35,841","$44,631"
"Persons below poverty level, percent, 2007-2011",25.2%,19.0%
,,
Business QuickFacts,Roosevelt County,New Mexico
"Private nonfarm establishments, 2010",354.0,"44,221"
"Private nonfarm employment, 2010","4,048","600,165"
"Private nonfarm employment, percent change, 2000-2010",54.4,9.2
"Nonemployer establishments, 2010",862.0,"120,470"
,,
"Total number of firms, 2007","1,254","157,231"
"Black-owned firms, percent, 2007",F,1.2%
"American Indian- and Alaska Native-owned firms, percent, 2007",F,5.3%
"Asian-owned firms, percent, 2007",F,2.1%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007",F,0.1%
"Hispanic-owned firms, percent, 2007",S,23.6%
"Women-owned firms, percent, 2007",37.3%,31.7%
,,
"Manufacturers shipments, 2007 ($1000)",0.0,"17,122,725"
"Merchant wholesaler sales, 2007 ($1000)",D,"10,589,286"
"Retail sales, 2007 ($1000)","166,682","24,469,997"
"Retail sales per capita, 2007","$8,752","$12,429"
"Accommodation and food services sales, 2007 ($1000)","17,635","3,734,300"
"Building permits, 2011",63.0,"4,067"
,,
Geography QuickFacts,Roosevelt County,New Mexico
"Land area in square miles, 2010","2,447.43","121,298.15"
"Persons per square mile, 2010",8.1,17.0
FIPS Code,41.0,35.0
Metropolitan or Micropolitan Statistical Area,"Portales, NM Micro Area",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
