2012 High-Priority Occupations for Southwest Corner Workforce Investment Area,,,,,,,,,
,,,,,,,,,
,,,Wages (2011),,,Employment,,,
SOC Code,SOC Title,Educational Attainment,Annual Average,Entry Level,Exper. Level,Estimated 2008,Projected 2018,Percent Change,Annual Openings
11-1021,General & Operations Managers,AD+,120930,57020,152890,860,790,-0.0814,21
11-2022,Sales Managers,BD+,116530,63480,143060,240,230,-0.0417,5
11-3051,Industrial Production Managers,BD+,97520,57760,117400,220,200,-0.0909,8
11-9013,"Farmers, Ranchers & Other Agricultural Managers",WK EXP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13-1022,Wholesale & Retail Buyers,LT OJT,54890,37590,63530,70,60,-0.1429,2
13-1023,Purchasing Agents,LT OJT,59620,39390,69730,270,250,-0.0741,6
13-1031,"Claims Adjusters, Examiners & Investigators",LT OJT,62340,42690,72160,110,110,N/A,3
13-1051,Cost Estimators,BD,59610,44850,66990,360,390,0.0833,11
13-1081,Logisticians,BD+,52950,33840,62510,40,50,0.25,2
13-1111,Management Analysts,BD+,109770,62190,133560,360,400,0.11109999999999999,9
13-1151,Training & Development Specialists,BD,48680,30490,57780,N/A,N/A,N/A,N/A
13-1161,Market Research Analysts & Marketing Specialists,BD,57510,36320,68100,N/A,N/A,N/A,N/A
13-2011,Accountants & Auditors,BD,73710,44890,88110,1170,1250,0.0684,29
13-2052,Personal Financial Advisors,BD,72940,48930,84940,90,100,0.11109999999999999,2
13-2072,Loan Officers,MT OJT,52020,42550,56760,150,130,-0.1333,2
15-1121,Computer Systems Analysts,BD,73410,54240,82990,N/A,N/A,N/A,N/A
15-1131,Computer Programmers,BD,63820,45600,72940,N/A,N/A,N/A,N/A
15-1132,"Software Developers, Applications",BD,81730,55080,95050,N/A,N/A,N/A,N/A
15-1133,"Software Developers, Systems Software",BD,89130,59420,103990,N/A,N/A,N/A,N/A
15-1142,Network & Computer Systems Administrators,BD,66380,45470,76840,N/A,N/A,N/A,N/A
15-1150,Computer Support Specialists,PS,47580,30650,56040,N/A,N/A,N/A,N/A
17-2051,Civil Engineers,BD,77400,56960,87610,390,370,-0.0513,10
17-2112,Industrial Engineers,BD,76900,57360,86670,270,290,0.0741,9
17-2141,Mechanical Engineers,BD,66430,45870,76710,150,140,-0.0667,3
17-2199,"Engineers, Other",BD,N/A,N/A,N/A,20,20,N/A,0
17-3011,Architectural & Civil Drafters,AD,48590,31840,56960,110,90,-0.1818,3
17-3013,Mechanical Drafters,AD,48500,33780,55860,140,120,-0.1429,4
17-3023,Electrical & Electronic Engineering Technicians,AD,52780,33580,62380,360,300,-0.16670000000000001,7
17-3025,Environmental Engineering Technicians,AD,44470,42270,45570,20,20,N/A,0
17-3026,Industrial Engineering Technicians,AD,45910,36580,50580,70,70,N/A,1
19-4021,Biological Technicians,BD,N/A,N/A,N/A,10,10,N/A,0
21-1011,Substance Abuse & Behavioral Disorder Counselors,MT OJT,35630,27860,39520,250,300,0.2,10
21-1014,Mental Health Counselors,MD,35910,22680,42530,410,480,0.1707,15
21-1015,Rehabilitation Counselors,MD,42810,24920,51760,230,250,0.08700000000000001,6
21-1021,"Child, Family & School Social Workers",BD,34650,24440,39750,380,400,0.0526,10
21-1022,Healthcare Social Workers,MD,41290,33850,45000,280,310,0.10710000000000001,9
21-1023,Mental Health & Substance Abuse Social Workers,BD,38900,29580,43550,90,90,N/A,2
23-2011,Paralegals & Legal Assistants,AD,57750,42950,65150,160,180,0.125,4
23-2091,Court Reporters,ST OJT,N/A,N/A,N/A,90,110,0.22219999999999998,3
25-1011,"Business Teachers, Postsecondary",PhD,74580,49770,86980,70,80,0.1429,2
25-1072,"Nursing Instructors & Teachers, Postsecondary",MD,63080,45460,71900,60,70,0.16670000000000001,2
25-1081,"Education Teachers, Postsecondary",PhD,66280,44440,77200,50,60,0.2,2
