7.1 Population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Quarter,2009–10,2010–11,2011–12,2012–13,2013-14,,,,,,,,,
Estimated resident population (a) – '000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
September,21788.1,22104.4,22432,22827.8,23229.9,,,,,,,,,
December,21865.6,22172.5,22520.3,22920.8,23314.2,,,,,,,,,
March,21964.1,22268.8,22637.1,23037.4,23425.7,,,,,,,,,
June,22031.8,22340,22728.3,23129.3,,,,,,,,,,
,,,,,,,,,,,,,,
Annual change – '000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
September,422,316.3,327.6,395.8,402.1,,,,,,,,,
December,390,306.8,347.8,400.5,393.4,,,,,,,,,
March,362.4,304.7,368.4,400.2,388.4,,,,,,,,,
June,340.1,308.3,388.2,401,,,,,,,,,,
,,,,,,,,,,,,,,
Annual change – per cent,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
September,1.98,1.45,1.48,1.76,1.76,,,,,,,,,
December,1.82,1.4,1.57,1.78,1.72,,,,,,,,,
March,1.68,1.39,1.65,1.77,1.69,,,,,,,,,
June,1.57,1.4,1.74,1.76,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
(a) At the end of the quarter.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Source: ABS, Australian demographic statistics, Cat. no. 3101.0",http://www.rba.gov.au/Statistics/exchange_rates.html,http://www.rba.gov.au/Statistics/exchange_rates.html,http://www.rba.gov.au/Statistics/exchange_rates.html,http://www.abs.gov.au/AUSSTATS/abs@.nsf/second+level+view?ReadForm&prodno=3101.0&viewtitle=Australian%20Demographic%20Statistics~Sep%202007~Latest~19/03/2008&&tabname=Past%20Future%20Issues&prodno=3101.0&issue=Sep%202007&num=&view=&,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,Update,,,,,,
,,,,,,,,2014-12-18 00:00:00,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
