STATE SENATE DISTRICT NO. 5,,,,,
36837.0,"Rubens, r","Below, d",Scatter,,
Alexandria,388.0,212.0,,,
Andover,512.0,520.0,,,
Canaan,737.0,627.0,,,
Danbury,295.0,209.0,,,
Enfield,984.0,954.0,1.0,,
Grafton,300.0,223.0,1.0,,
Grantham,752.0,663.0,,,
Hanover,1652.0,3172.0,,,
Hill,258.0,158.0,,,
Lebanon Ward 1,827.0,1065.0,2.0,,
Lebanon Ward 2,829.0,988.0,,,
Lebanon Ward 3,817.0,895.0,1.0,,
New London,1435.0,1048.0,,,
Newbury,568.0,420.0,,,
Orange,72.0,68.0,,,
Plainfield,497.0,683.0,,,
Springfield,314.0,216.0,,,
Sutton,473.0,438.0,,,
Wilmot,301.0,318.0,1.0,,
,,,,,
Totals,12011.0,12877.0,6.0,,
,,,,,
STATE SENATE DISTRICT NO. 6,,,,,
,"Newton, r",Recount,"McCarley, d",Recount,Scatter
Barrington,1638.0,1641.0,1726.0,1735.0,
Nottingham,911.0,916.0,858.0,856.0,
Rochester Ward 1,1159.0,1168.0,1100.0,1111.0,2.0
Rochester Ward 2,1136.0,1153.0,1038.0,1053.0,1.0
Rochester Ward 3,1462.0,1474.0,1068.0,1071.0,3.0
Rochester Ward 4,1187.0,1193.0,1060.0,1070.0,
Rochester Ward 5,990.0,998.0,945.0,953.0,1.0
Somersworth Ward 1,440.0,443.0,587.0,591.0,1.0
Somersworth Ward 2,329.0,331.0,481.0,482.0,
Somersworth Ward 3,369.0,370.0,542.0,541.0,
Somersworth Ward 4,367.0,367.0,675.0,680.0,1.0
Somersworth Ward 5,248.0,248.0,441.0,446.0,
,,,,,
Totals,10236.0,10302.0,10521.0,10589.0,9.0
